"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"M22",0,0,0,0,0,0,1,
"SD60",0,0,0,0,1,0,0,
"SE72",0,0,0,0,1,0,0,"a"
"SO84",0,0,0,0,0,0,1,
"SO89",0,0,0,0,0,0,1,
"ST16",0,1,0,0,0,0,0,"a"
"SW53",1,0,0,0,0,0,0,"a"
"SZ48",0,0,0,0,0,0,1,
"TA05",0,0,0,1,0,0,0,"a"
"TF62",0,0,0,0,0,0,1,
"TL31",0,0,0,0,1,0,0,
"TL55",0,0,0,0,0,0,1,
"TL60",0,0,0,0,0,0,1,
"TL70",0,0,0,0,0,0,1,
"TM23",0,0,0,1,0,0,0,
"TQ05",1,0,0,1,1,1,1,"a"
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ30",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,1,1,1,"a"
"TQ38",0,0,0,0,1,1,1,"a"
"TQ56",0,0,0,0,0,1,0,
"TQ59",0,0,0,0,0,0,1,
"WA50",0,0,0,0,0,0,1,
"WV27",0,0,0,0,0,1,0,
"WV37",0,0,0,0,1,1,0,"a"
"WV38",0,1,0,1,1,1,1,"a"
"WV47",0,0,0,1,1,1,0,"a"
"WV54",0,0,0,0,1,0,1,"a"
"WV55",0,0,0,0,1,1,1,"a"
"WV64",0,0,0,0,0,0,1,
"WV65",0,0,0,0,0,0,1,
