"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C63",0,0,0,0,0,0,1,
"C73",0,0,0,0,0,0,1,
"C83",0,0,0,0,0,0,1,
"D14",0,0,0,0,0,0,1,
"G62",0,0,0,0,0,0,1,
"G86",0,0,0,0,0,0,1,
"HP60",0,0,0,0,0,0,1,
"HU31",0,0,0,0,0,0,1,
"HU33",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"HU47",0,0,0,0,0,0,1,
"HU69",0,0,0,0,0,0,1,
"J37",0,0,0,0,0,0,1,
"M24",0,0,0,0,0,1,0,
"M40",0,0,0,0,0,1,0,
"M80",0,0,0,0,0,0,1,
"N00",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND16",0,0,0,0,0,0,1,
"ND35",0,0,0,0,0,0,1,
"NG74",0,0,0,0,0,0,1,
"NG75",0,0,0,0,0,0,1,
"NG77",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH45",0,0,0,0,1,0,0,"a"
"NH55",0,0,0,0,1,0,1,"a"
"NH56",0,0,0,0,0,1,0,
"NH64",0,0,0,0,0,0,1,
"NH65",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH75",0,0,0,0,0,0,1,
"NH76",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH88",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NJ05",0,0,0,0,1,0,1,"a"
"NJ06",0,0,0,0,1,0,0,"a"
"NJ16",0,0,0,0,0,0,1,
"NJ24",0,0,0,0,1,0,0,"a"
"NJ26",0,0,0,0,0,1,0,
"NJ27",0,0,0,0,1,0,0,"a"
"NJ35",0,0,0,0,0,1,1,
"NJ91",0,0,0,0,0,1,0,
"NN91",0,0,0,0,0,0,1,
"NN95",0,0,0,0,0,0,1,
"NO12",0,0,0,0,0,0,1,
"NO21",0,0,0,0,0,0,1,
"NO22",0,0,0,0,0,0,1,
"NO32",0,0,0,0,0,0,1,
"NO33",0,0,0,0,0,0,1,
"NO41",0,0,0,0,0,0,1,
"NO50",0,0,0,0,0,0,1,
"NO51",0,0,0,0,0,0,1,
"NR25",0,0,0,0,0,0,1,
"NS18",0,0,0,0,1,0,0,
"NS25",0,0,0,0,0,1,0,
"NS27",0,0,0,0,0,1,0,
"NS28",0,0,0,1,1,0,1,"a"
"NS31",0,0,0,0,0,0,1,
"NS32",0,0,0,0,0,0,1,
"NS38",0,0,0,0,0,0,1,
"NS47",0,0,0,0,0,0,1,
"NS56",0,0,0,0,1,1,1,
"NS57",0,0,0,1,1,0,0,"a"
"NS67",0,0,0,0,0,1,0,
"NS75",0,0,0,0,0,0,1,
"NS88",0,0,0,0,0,0,1,
"NS99",0,0,0,0,1,1,0,"a"
"NT17",0,0,0,0,0,0,1,
"NT18",0,0,0,0,0,0,1,
"NT24",0,0,0,0,0,0,1,
"NT26",0,0,0,0,0,0,1,
"NT27",0,0,0,0,1,1,1,"a"
"NT39",0,0,0,0,0,0,1,
"NT51",0,0,0,0,0,0,1,
"NT77",0,0,0,0,1,1,0,"a"
"NT83",0,0,0,0,0,1,1,
"NT84",0,0,0,0,0,0,1,
"NT86",0,0,0,0,0,0,1,
"NT92",0,0,0,0,0,0,1,
"NT93",0,0,0,0,0,0,1,
"NT95",0,0,0,0,0,1,1,
"NT96",0,0,0,0,0,0,1,
"NU00",0,0,0,0,0,0,1,
"NU01",0,0,0,0,0,0,1,
"NU02",0,0,0,0,0,0,1,
"NU10",0,0,0,0,0,0,1,
"NU14",0,0,0,0,0,0,1,
"NU21",0,0,0,0,0,0,1,
"NU22",0,0,0,0,0,0,1,
"NX30",0,0,0,0,1,0,0,"a"
"NX40",0,0,0,0,1,0,1,"a"
"NX65",0,0,0,0,0,0,1,
"NX74",0,0,0,0,0,0,1,
"NX76",0,0,0,0,0,0,1,
"NX85",0,0,0,0,0,0,1,
"NX91",0,0,0,0,1,0,1,
"NX97",0,0,0,0,0,0,1,
"NY00",0,0,0,0,0,0,1,
"NY02",0,0,0,0,0,0,1,
"NY03",0,0,0,0,0,0,1,
"NY14",0,0,0,0,0,0,1,
"NY22",0,0,0,0,0,0,1,
"NY23",0,0,0,0,1,0,0,
"NY24",0,0,0,0,0,0,1,
"NY26",0,0,0,0,0,1,1,
"NY30",1,0,0,0,0,0,0,"a"
"NY31",0,0,0,1,0,0,0,"a"
"NY33",0,0,0,0,0,1,1,
"NY35",0,0,0,0,0,0,1,
"NY42",0,0,0,0,0,0,1,
"NY45",0,0,0,0,0,0,1,
"NY52",0,0,0,1,1,0,0,"a"
"NY61",0,0,0,1,0,0,0,
"NY62",0,0,0,0,0,0,1,
"NY65",0,0,0,0,0,0,1,
"NY66",0,0,0,0,0,1,1,
"NY76",0,0,0,0,0,0,1,
"NY84",0,0,0,0,0,0,1,
"NY88",0,0,0,0,0,1,0,
"NY93",0,0,0,0,0,1,0,
"NY96",0,0,0,0,0,0,1,
"NY98",0,0,0,0,0,0,1,
"NZ01",0,0,0,0,0,1,0,
"NZ03",0,0,0,0,0,1,1,
"NZ06",0,0,0,0,0,0,1,
"NZ10",0,0,0,0,0,0,1,
"NZ11",0,0,0,0,0,0,1,
"NZ13",0,0,0,0,0,0,1,
"NZ14",0,0,0,0,0,0,1,
"NZ15",0,0,0,0,0,1,0,
"NZ16",0,0,0,0,0,1,1,
"NZ20",0,0,0,0,0,0,1,
"NZ21",0,0,0,0,0,1,0,
"NZ24",0,0,0,0,0,1,1,
"NZ25",0,0,0,0,0,1,1,
