"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G01",0,0,0,0,0,0,1,
"G31",0,0,0,0,0,0,1,
"G40",0,0,0,0,0,0,1,
"G50",0,0,0,0,1,0,0,"a"
"H41",0,0,0,0,0,0,1,
"H63",0,0,0,0,1,0,1,"a"
"H71",0,0,0,0,0,0,1,"a"
"H72",0,0,0,0,0,0,1,"a"
"H80",0,0,0,0,0,0,1,
"J38",0,0,0,0,0,1,0,"a"
"L79",0,0,0,0,0,0,1,
"L99",0,0,0,0,0,0,1,
"M07",0,0,0,0,0,0,1,
"M49",0,0,0,0,1,0,0,"a"
"M55",0,0,0,0,0,0,1,
"M57",0,0,0,0,0,0,1,
"M59",0,0,0,0,0,0,1,
"N24",0,0,0,0,0,0,1,
"N57",0,0,0,0,0,0,1,
"NC14",0,0,0,0,1,0,0,"a"
"NG62",0,0,0,0,0,1,1,"a"
"NG72",0,0,0,0,0,0,1,"a"
"NG88",0,0,0,0,0,0,1,
"NH59",0,0,0,0,0,1,0,"a"
"NH80",1,0,0,0,0,0,1,"a"
"NH82",0,0,0,0,1,0,1,"a"
"NH91",0,0,0,0,1,0,1,"a"
"NH92",0,0,0,0,0,0,1,"a"
"NH95",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,0,0,1,"a"
"NJ03",0,0,0,0,0,0,1,
"NJ05",0,0,0,0,0,0,1,"a"
"NJ13",0,0,0,1,0,0,1,"a"
"NJ15",0,0,0,0,1,0,1,"a"
"NJ16",0,0,0,0,0,0,1,"a"
"NJ24",0,0,0,0,0,0,1,"a"
"NJ25",0,0,0,0,0,0,1,"a"
"NJ26",0,0,0,0,0,0,1,"a"
"NJ35",0,0,0,0,1,0,1,"a"
"NJ36",0,0,0,0,0,0,1,
"NJ40",0,0,0,0,0,0,1,
"NJ42",0,0,0,0,0,1,0,
"NJ43",0,0,0,0,0,0,1,"a"
"NJ51",0,0,1,0,0,0,0,
"NJ62",0,0,0,0,0,0,1,"a"
"NJ83",0,0,0,0,0,0,1,"a"
"NJ85",0,0,0,0,0,0,1,"a"
"NJ94",0,0,0,0,0,0,1,"a"
"NJ95",0,0,0,0,0,0,1,"a"
"NM80",0,0,0,0,1,0,0,"a"
"NM90",0,0,0,0,1,0,0,
"NM93",1,0,0,0,0,0,0,"a"
"NN03",0,0,0,0,1,0,0,"a"
"NN04",0,0,1,0,0,0,0,"a"
"NN05",0,0,0,0,1,0,1,"a"
"NN17",1,0,0,0,0,0,0,"a"
"NN28",0,0,0,0,0,0,1,
"NN32",0,0,1,0,0,0,0,
"NN48",1,0,0,0,0,0,0,
"NN53",1,0,0,0,0,0,0,
"NN80",0,0,0,0,1,0,0,"a"
"NO04",1,1,1,0,0,0,0,"a"
"NO13",0,0,0,0,0,0,1,"a"
"NO49",0,0,1,0,0,0,0,
"NO69",0,0,0,0,0,0,1,"a"
"NO76",0,0,0,0,0,0,1,"a"
"NO77",0,0,0,0,0,0,1,"a"
"NS18",1,0,0,0,0,0,0,"a"
"NS19",0,0,0,1,0,0,0,"a"
"NS28",0,0,0,1,1,0,0,"a"
"NS34",0,0,0,1,1,0,0,"a"
"NS37",0,0,0,1,0,0,0,"a"
"NS38",0,0,0,0,1,0,0,"a"
"NS40",0,0,0,0,1,0,0,"a"
"NS47",0,0,0,0,1,0,1,"a"
"NS55",0,0,0,0,0,0,1,"a"
"NS57",0,0,0,0,1,0,0,"a"
"NS61",0,0,0,0,1,0,1,"a"
"NS65",0,0,0,0,1,0,1,"a"
"NS66",0,0,0,1,1,1,1,"a"
"NS67",0,0,0,0,1,0,0,"a"
"NS75",0,0,0,0,1,0,0,"a"
"NS77",0,0,0,0,1,0,0,"a"
"NS83",0,0,0,0,1,0,0,"a"
"NS84",0,0,0,0,0,0,1,"a"
"NS86",0,0,0,0,1,0,0,"a"
"NS87",0,0,0,0,1,0,0,"a"
"NS92",0,0,0,0,1,0,0,"a"
"NS94",0,0,0,0,1,1,0,"a"
"NS97",0,0,0,0,1,0,0,"a"
"NT00",1,0,0,0,0,0,0,
"NT03",1,0,0,0,0,0,0,"a"
"NT07",0,0,0,0,1,0,0,"a"
