"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C41",0,0,0,0,1,0,0,
"C81",0,0,0,0,0,0,1,
"C90",0,0,0,0,0,1,0,
"D13",0,0,0,0,0,0,1,
"H79",0,0,0,0,0,0,1,
"H89",0,0,0,0,0,0,1,
"H98",0,0,0,1,0,0,0,"n"
"H99",0,0,0,0,0,0,1,
"J03",0,0,0,0,0,0,1,
"J05",0,0,0,0,0,0,1,
"J06",0,1,0,0,0,0,0,"n"
"J16",0,1,0,0,0,0,0,"n"
"J17",0,1,0,0,0,0,0,"n"
"J32",0,0,0,0,0,0,1,
"J34",0,0,0,0,0,1,0,
"J35",0,0,0,0,0,1,0,
"J54",0,0,0,0,0,0,1,
"N00",0,0,0,0,0,0,1,
"N11",0,0,0,0,0,0,1,
"N62",0,0,0,0,1,0,0,"n"
"N81",0,0,0,0,1,0,0,"n"
"NR39",1,0,0,0,0,0,0,
"NY43",0,0,0,0,0,1,0,
"NY44",0,0,0,0,0,1,0,
"NY52",0,0,0,0,0,1,0,
"NY74",0,0,0,0,0,1,0,
"NY76",0,0,0,0,0,0,1,
"NY85",0,0,0,0,0,0,1,
"NZ11",0,0,0,1,0,0,1,"n"
"NZ30",0,0,0,1,0,0,0,"n"
"NZ31",0,0,0,1,0,0,0,"n"
"NZ33",0,1,0,0,0,0,0,"n"
"NZ41",0,0,0,0,1,0,0,"n"
"NZ51",0,0,0,0,1,0,1,"n"
"NZ61",0,0,0,0,0,0,1,
"NZ62",0,0,0,0,1,0,0,"n"
"NZ71",0,0,0,0,1,0,0,"n"
"NZ80",0,0,0,0,0,1,0,
"NZ81",0,0,0,0,0,1,1,
"NZ90",0,0,0,0,0,0,1,
"O17",0,0,0,0,0,0,1,
"S09",0,0,0,0,0,0,1,
"S69",0,0,1,0,0,0,0,
"SD31",0,0,0,0,0,1,0,
"SD41",0,0,0,0,0,1,0,
"SD42",0,0,0,0,1,0,0,"n"
"SD50",0,0,0,0,0,0,1,
"SD52",0,0,0,0,0,0,1,
"SD63",0,0,0,0,0,0,1,
"SD64",0,0,0,0,0,1,0,
"SD69",0,0,0,0,1,0,0,"n"
"SD73",0,0,0,0,0,1,0,
"SD84",0,0,0,0,0,1,0,
"SD96",0,0,0,0,0,1,0,
"SE05",0,0,0,0,0,1,0,
"SE24",0,0,0,0,1,0,0,"n"
"SE27",0,0,0,0,0,1,0,
"SE47",0,0,0,0,0,1,0,
"SE50",0,0,0,0,1,0,1,"n"
"SE57",0,0,0,0,0,0,1,
"SE58",0,0,0,0,0,1,1,
"SE60",0,0,0,1,0,0,1,
"SE66",0,0,0,0,0,0,1,
"SE67",0,0,0,1,0,1,1,"n"
"SE68",0,0,0,0,0,1,1,
"SE76",0,0,0,0,0,1,1,
