"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NH06",1,0,0,0,0,0,0,
"NH28",0,0,1,0,0,0,0,
"NH90",0,1,1,0,0,0,0,
"NJ10",1,0,1,0,0,0,0,
"NN08",1,0,0,0,0,0,0,
"NN15",1,1,0,0,0,0,0,
"NN16",1,0,0,0,0,0,0,
"NN22",1,0,0,0,0,0,0,
"NN27",1,0,0,0,0,0,0,
"NN34",0,1,0,0,0,0,0,
"NN37",1,0,0,0,0,0,0,
"NN42",1,1,0,0,0,0,0,
"NN43",1,0,0,0,1,0,1,
"NN53",1,1,0,0,0,0,0,
"NN54",1,0,0,0,0,0,0,
"NN64",1,1,0,1,1,0,0,
"NN89",0,0,1,0,0,0,0,
"NN96",0,0,0,0,1,0,0,
"NN99",1,0,0,0,0,0,0,
"NO17",0,0,1,0,0,0,0,
"NO28",1,0,0,0,0,0,0,
