"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NZ41",0,0,0,0,0,1,0,
"NZ61",0,0,0,0,0,1,0,
"NZ62",0,0,0,0,0,1,0,
"SE39",0,0,0,0,0,0,1,
"SE43",0,1,0,0,0,0,0,
"SK27",0,0,0,0,0,0,1,
"SK50",0,1,1,0,0,0,0,
"SK53",0,0,0,0,0,1,1,
"SK58",0,0,0,0,0,0,1,
"SK63",0,0,0,0,1,0,0,
"SK75",0,0,0,0,0,1,0,
"SO86",0,0,0,0,1,0,0,
"SO94",0,0,0,0,1,0,0,
"SP02",0,0,0,0,0,1,0,
"SP19",0,0,0,0,0,0,1,
"SP27",0,0,0,0,0,1,0,
"SP50",0,1,0,0,0,0,0,
"SU84",0,1,0,0,0,0,0,
"SZ08",1,0,0,1,0,0,0,
"SZ38",0,0,0,0,0,0,1,
"SZ49",0,0,0,0,0,0,1,
"SZ58",0,0,0,0,0,1,1,
"TF74",0,0,0,0,0,1,0,
"TF91",0,0,0,0,0,0,1,
"TG13",0,0,0,0,0,1,0,
"TL12",0,0,0,0,0,0,1,
"TL15",0,1,1,0,0,0,0,
"TL21",0,0,0,0,1,0,0,
"TL46",0,0,0,0,0,1,0,
"TL54",0,0,0,0,0,0,1,
"TQ15",0,1,0,0,0,0,0,
"TQ35",0,0,0,0,1,0,0,
"TQ38",0,0,0,1,0,0,0,
"TQ41",0,0,0,0,0,1,0,
"TQ48",0,0,0,1,0,0,0,
"TQ67",0,0,0,0,1,0,0,
"TQ73",0,0,0,0,0,0,1,
"TQ75",0,0,0,0,1,0,0,
"TQ76",0,0,0,0,0,0,1,
"TQ77",0,0,0,0,0,1,0,
"TQ85",0,0,0,0,0,1,0,
"TQ96",0,0,0,0,0,1,0,
