"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G62",0,0,0,0,1,0,0,"n"
"H72",0,0,0,0,0,0,1,
"H87",0,0,0,0,0,0,1,
"J11",0,0,0,0,0,1,0,
"J13",0,0,0,0,0,1,1,
"J16",0,0,0,0,0,1,0,
"J55",0,0,0,0,0,0,1,
"L98",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"NG50",0,0,0,0,0,1,0,
"NG60",0,0,0,0,0,1,0,
"NG72",0,0,0,0,0,1,0,
"NG82",0,0,0,0,0,1,0,
"NG83",0,0,0,0,0,1,0,
"NG93",0,0,0,0,0,1,0,
"NG94",0,0,0,0,0,1,0,
"NH20",0,0,0,0,0,1,0,
"NH45",0,0,0,0,1,0,0,"n"
"NJ06",0,0,0,0,1,0,0,"n"
"NJ16",0,0,0,0,0,1,0,
"NJ26",0,0,0,0,1,0,0,"n"
"NJ51",0,0,0,0,0,0,1,
"NJ71",0,0,0,0,0,1,0,
"NM48",0,0,0,0,0,1,0,
"NM74",0,0,0,0,1,0,0,"n"
"NM86",0,0,0,0,1,0,0,"n"
"NN43",0,0,0,0,0,1,0,
"NN50",0,0,0,0,0,1,0,
"NN51",0,0,0,0,0,1,0,
"NN52",0,0,0,0,0,1,0,
"NN53",0,0,0,0,0,1,0,
"NN60",0,0,0,0,1,0,0,"n"
"NN65",0,0,0,0,1,0,0,"n"
"NN70",0,0,0,0,0,0,1,
"NN74",0,0,0,0,0,1,0,
"NO14",0,0,0,0,1,0,0,"n"
"NO20",0,0,0,0,1,0,0,"n"
"NO30",0,0,0,0,0,1,0,
"NO32",0,0,0,0,1,0,0,"n"
"NO79",0,0,0,0,0,1,0,
"NR26",0,0,0,0,0,0,1,
"NR92",0,0,0,0,0,0,1,
"NR93",0,0,0,0,0,1,0,
"NS03",0,0,0,0,1,0,1,"n"
"NS44",0,0,0,0,0,0,1,
"NS55",0,0,0,1,0,0,0,
"NS56",0,0,0,1,0,1,0,"n"
"NS57",0,0,0,1,1,0,0,
"NS58",0,0,0,0,1,0,0,"n"
"NS65",0,0,0,0,1,0,0,
"NS66",0,0,0,0,1,0,0,
"NS74",0,0,0,0,0,1,0,
"NS84",0,0,0,1,1,0,0,"n"
"NS85",0,0,0,0,1,0,0,"n"
"NS88",0,0,0,0,0,1,0,
"NS89",0,0,0,0,0,1,0,
"NS99",0,0,0,0,0,1,0,
"NT27",0,0,0,0,0,0,1,
"NT29",0,0,0,0,1,0,1,"n"
"NT51",0,0,0,0,1,0,0,"n"
"NU00",0,0,0,0,0,1,0,
"NU12",0,0,0,0,0,1,0,
"NX15",0,0,0,0,0,1,1,
"NX74",0,0,0,1,0,0,0,"n"
"NX91",0,0,0,1,0,1,0,"n"
"NY02",0,0,0,0,0,1,0,
"NY22",0,0,0,0,0,1,0,
"NY26",0,0,0,0,0,1,0,
"NY30",0,0,0,0,0,1,0,
"NY32",0,0,0,0,0,1,0,
"NY70",0,0,0,0,0,0,1,
"NY82",0,0,0,0,0,1,0,
"NY97",0,0,0,1,0,0,0,
"NZ16",0,0,0,0,0,1,0,
"NZ40",0,0,0,0,0,0,1,
"NZ42",0,0,0,0,0,0,1,
"NZ43",0,0,0,0,0,0,1,
"NZ50",0,0,0,0,0,1,1,
"NZ51",0,0,0,0,0,1,0,
"NZ62",0,0,0,0,0,0,1,
"NZ70",0,0,0,0,0,1,0,
"NZ71",0,0,0,0,1,0,1,"n"
"NZ80",0,0,0,0,0,0,1,
"NZ81",0,0,0,0,0,0,1,
"NZ90",0,0,0,0,0,0,1,
"R80",0,0,0,0,1,0,0,"n"
"S41",0,0,0,0,0,1,0,
"S70",0,0,0,0,0,0,1,
"S72",0,0,0,0,0,1,0,
"S81",0,0,0,0,0,0,1,
"S82",0,0,0,0,0,0,1,
"S83",0,0,0,0,0,0,1,
"S94",0,0,0,0,0,0,1,
"S95",0,0,0,0,0,0,1,
"SC39",0,0,0,0,0,0,1,
"SD20",0,0,0,0,0,1,1,
"SD31",0,0,0,0,0,1,1,
"SD33",0,0,0,0,0,0,1,
"SD40",0,0,0,0,0,1,0,
"SD41",0,0,0,0,0,1,1,
"SD46",0,0,1,0,1,0,0,"n"
"SD50",0,0,0,0,0,1,0,
"SD51",0,0,0,0,0,1,0,
"SD52",0,0,0,0,0,0,1,
"SD53",0,0,0,0,0,1,0,
"SD54",0,0,0,0,0,0,1,
"SD61",0,0,0,1,0,0,0,
"SD62",0,0,1,0,0,0,0,"n"
"SD74",0,0,0,0,0,1,0,
"SD82",0,0,0,0,0,0,1,
"SD91",0,0,0,0,0,0,1,
"SD92",0,0,0,0,0,1,1,
"SE13",1,0,0,0,1,1,1,"n"
"SE14",1,0,0,0,0,0,0,
"SE15",1,0,0,0,0,1,0,
"SE22",0,0,0,0,0,1,0,
"SE23",0,0,0,0,1,0,1,"n"
"SE24",0,0,0,0,0,0,1,
"SE26",0,0,0,0,0,1,0,
"SE32",0,0,0,0,0,1,1,
"SE33",0,0,0,0,1,0,0,"n"
"SE34",1,0,0,0,0,0,0,
"SE37",0,0,0,1,0,1,0,"n"
"SE42",1,0,0,0,0,0,0,
"SE46",0,0,0,0,0,1,0,
"SE47",0,0,0,0,0,0,1,
"SE48",0,0,0,0,0,1,0,
"SE50",0,0,0,1,1,1,0,
"SE54",0,0,0,0,0,1,0,
"SE56",0,0,0,0,0,1,0,
"SE57",0,0,0,0,0,0,1,
"SE60",0,0,0,0,0,0,1,
"SE65",0,0,0,0,0,1,0,
"SE66",0,0,0,0,0,0,1,
"SE67",0,0,0,0,0,0,1,
"SE69",0,0,0,0,0,1,0,
"SE74",1,0,0,0,0,0,0,"n"
"SE77",0,0,0,0,0,1,0,
"SE78",0,0,0,0,0,1,0,
"SE79",0,0,0,0,0,0,1,
"SE86",0,0,0,0,0,0,1,
"SE97",0,0,0,0,0,1,0,
"SE99",0,0,0,0,0,1,0,
"SH13",0,0,0,0,0,0,1,
"SH33",0,0,0,1,0,0,0,"n"
"SH47",0,0,0,0,0,1,0,
"SH48",0,0,0,0,0,1,0,
"SH52",0,0,0,0,1,0,0,"n"
"SH57",0,0,0,1,0,0,1,"n"
"SH61",0,0,0,0,1,0,1,"n"
"SH63",0,0,0,0,1,0,0,"n"
"SH70",0,0,0,0,1,0,0,"n"
"SH71",0,0,1,0,1,0,0,"n"
"SH74",0,0,0,0,0,1,1,
"SH75",0,0,0,0,0,1,0,
"SH76",0,0,0,0,0,1,0,
"SH94",0,0,0,0,0,0,1,
"SJ26",0,0,0,1,0,0,0,"n"
"SJ28",0,0,0,0,0,0,1,
"SJ39",0,0,0,0,0,1,0,
"SJ53",0,0,0,0,0,1,0,
"SJ57",0,0,0,0,0,1,1,
"SJ59",0,0,0,0,0,1,0,
"SJ68",0,0,0,0,0,1,0,
"SJ75",0,0,0,0,0,0,1,
"SJ77",0,0,0,0,0,1,1,
"SJ79",0,0,0,0,0,1,1,
"SJ86",0,0,0,0,0,0,1,
"SJ87",0,0,0,0,0,0,1,
"SJ88",0,0,0,0,0,1,1,
"SJ96",0,0,0,0,0,1,1,
"SJ98",0,0,0,0,0,1,1,
"SJ99",0,0,0,0,0,1,0,
"SK06",0,0,0,0,0,0,1,
"SK26",0,0,0,0,0,0,1,
"SK27",0,0,0,0,0,0,1,
"SK44",0,0,0,0,0,0,1,
"SK50",0,0,0,0,1,0,0,"n"
"SK53",0,0,0,0,1,0,0,"n"
"SK56",0,0,0,0,0,0,1,
"SK60",0,0,0,0,0,0,1,
"SK62",0,0,0,0,0,0,1,
"SK63",0,0,0,0,0,1,1,
"SK67",0,0,0,0,1,0,0,"n"
"SK69",0,0,0,0,0,0,1,
"SM81",0,0,0,0,1,0,0,"n"
"SM82",0,0,0,0,1,0,0,"n"
"SM91",0,0,0,0,1,0,0,"n"
"SN14",0,0,1,0,0,0,0,
"SN25",0,0,0,0,1,0,0,"n"
"SN33",0,0,0,0,0,0,1,
"SN34",0,0,0,0,1,0,0,"n"
"SN35",0,0,0,0,1,0,0,"n"
"SN44",0,0,0,0,1,0,0,"n"
"SN45",0,0,0,0,1,1,0,"n"
"SN46",0,0,0,0,1,0,0,"n"
"SN50",0,0,0,0,1,0,0,"n"
"SN51",1,0,1,0,0,1,0,"n"
"SN52",0,0,0,0,0,1,0,
"SN53",0,0,0,0,0,1,0,
"SN54",0,0,0,0,1,1,1,"n"
"SN56",0,0,0,0,1,0,0,"n"
"SN57",0,0,0,0,1,0,0,"n"
"SN58",0,0,0,0,1,0,0,"n"
"SN61",0,0,0,0,0,1,0,
"SN62",0,0,0,0,0,1,0,
"SN63",0,0,0,0,0,0,1,
"SN64",0,0,0,0,1,1,0,
"SN65",0,0,0,0,1,0,0,"n"
"SN66",0,0,0,0,1,0,0,"n"
"SN67",0,0,0,0,1,0,0,"n"
"SN68",0,0,0,0,1,1,0,"n"
"SN69",0,0,0,0,1,0,0,"n"
"SN73",0,0,0,0,0,1,0,
"SN74",0,0,0,0,1,1,0,"n"
