"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC51",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG72",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,0,1,0,
"NN95",0,0,0,0,0,1,1,
"NO12",0,0,0,0,0,0,1,
"NS38",0,0,0,0,0,0,1,
"NS56",0,0,0,0,0,0,1,
"NS79",0,0,0,0,0,0,1,
"NT17",0,0,0,0,0,0,1,
"NT18",0,0,0,0,0,0,1,
"NT27",0,0,0,0,0,0,1,
"NX75",0,0,0,0,0,0,1,
"NX97",0,0,0,0,0,0,1,
"NZ26",0,0,0,0,0,0,1,
"NZ41",0,0,0,0,0,0,1,
"NZ62",0,0,0,0,0,0,1,
"NZ81",0,0,0,0,0,1,0,
"O22",0,0,0,0,0,1,1,
"SC16",0,0,0,0,0,0,1,
"SC27",0,0,0,0,1,1,0,"a"
"SC28",0,0,0,0,1,0,0,"a"
"SC37",0,0,0,0,1,1,0,"a"
"SC39",0,0,0,0,1,0,0,"a"
"SC47",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,0,1,0,0,"a"
"SD20",0,0,0,0,1,1,1,"a"
"SD31",0,0,0,0,0,0,1,
"SD43",0,0,0,0,0,0,1,
"SD46",0,0,0,0,1,0,1,"a"
"SD47",0,0,1,1,1,0,1,"a"
"SD51",0,0,0,0,0,0,1,
"SE13",0,0,0,0,0,0,1,
"SE35",0,0,0,0,0,0,1,
"SE38",0,0,0,0,0,1,0,
"SE43",0,0,0,0,0,0,1,
"SE50",0,0,0,0,0,1,0,
"SE57",0,0,0,0,0,1,0,
"SE65",0,0,0,0,0,0,1,
"SE72",0,0,0,0,0,0,1,
"SH57",0,0,0,0,0,1,0,
"SH76",0,0,0,0,0,0,1,
"SH78",0,0,0,0,0,0,1,
"SJ27",0,0,0,0,0,0,1,
"SJ28",0,0,0,0,0,1,0,
