"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"R30",0,0,0,0,0,1,0,
"R31",0,0,0,0,0,0,1,
"R62",0,0,0,0,1,1,0,"a"
"S31",0,0,0,0,0,1,0,
"S32",0,0,0,0,1,1,0,
"S40",0,0,0,0,0,1,0,
"S42",0,0,0,0,0,1,0,
"S50",0,0,0,0,0,1,0,
"S51",0,0,0,0,0,1,0,
"S60",0,0,0,0,0,1,1,
"S61",0,0,0,0,0,1,1,
"SN58",0,0,0,1,1,1,1,"a"
"SN68",0,0,0,1,0,0,0,"a"
"SO89",0,0,0,0,1,0,0,"a"
"SO99",0,0,0,0,0,1,0,
"SP09",0,0,0,0,0,1,0,
"ST40",0,0,0,0,1,1,0,"a"
"ST63",0,0,0,0,1,0,0,"a"
"ST65",0,0,0,0,0,1,0,
"ST75",0,0,0,0,0,0,1,
"ST76",1,0,0,1,1,1,1,"a"
"ST84",0,0,0,0,0,0,1,
"ST87",0,0,0,0,0,0,1,
"SU60",0,0,0,0,0,1,1,
"SX36",0,0,0,0,0,0,1,
"SZ69",0,0,0,0,1,0,0,
"TQ20",0,0,0,0,0,1,0,
"TQ21",1,0,0,0,0,0,0,"a"
"W13",0,0,0,0,0,0,1,
"W25",0,0,0,0,1,0,1,"a"
"W26",0,0,0,0,0,1,1,
"W35",0,0,0,0,1,1,1,"a"
"W37",0,0,0,0,1,1,0,"a"
"W39",0,0,0,0,1,0,1,"a"
"W44",0,0,0,0,1,1,0,"a"
"W45",0,0,0,0,1,1,0,"a"
"W46",0,0,0,0,1,1,1,"a"
"W47",0,0,0,0,1,0,1,"a"
"W48",0,0,0,0,0,0,1,
"W49",0,0,0,0,0,0,1,
"W55",0,0,0,0,1,1,1,"a"
"W56",0,0,0,0,1,0,1,"a"
"W57",0,0,0,0,1,0,1,"a"
"W65",0,0,0,1,1,0,1,"a"
"W66",0,0,0,0,1,0,1,"a"
"W67",0,0,0,0,1,0,1,"a"
"W68",0,0,0,0,1,0,1,"a"
"W75",0,0,0,0,1,0,1,"a"
"W76",0,0,0,0,1,0,1,"a"
"W77",0,0,0,0,1,1,1,"a"
"W78",0,0,0,0,0,0,1,
"W79",0,0,0,0,1,1,1,"a"
"W86",0,0,0,0,1,0,1,"a"
"W87",0,0,0,0,1,0,1,"a"
"W88",0,0,0,0,0,0,1,
"W89",0,0,0,0,0,0,1,
"W96",0,0,0,0,1,1,1,"a"
"W98",0,0,0,0,0,0,1,
"W99",0,0,0,0,0,1,1,
"X07",0,0,0,0,0,0,1,
"X17",0,0,0,0,0,0,1,
"X18",0,0,0,0,0,1,0,
"X19",0,0,0,0,0,1,1,
"X28",0,0,0,0,0,1,0,
"X29",0,0,0,0,0,1,0,
