"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NY01",0,0,0,1,0,0,0,
"NY10",0,0,0,0,1,0,0,
"NY11",0,0,0,1,1,0,0,
"NY12",0,0,0,1,0,0,0,
"NY13",0,0,0,0,0,1,0,
"NY40",0,0,0,0,0,1,0,
"NY84",0,0,0,0,0,1,0,
"S07",0,0,0,0,0,0,1,
"SD19",0,0,0,1,1,1,0,
"SD29",0,0,0,1,1,0,0,
"SD38",0,0,0,0,0,1,0,
"SD49",0,0,0,1,1,0,0,
"SD59",0,0,0,0,1,0,0,
"SN71",0,0,0,1,0,0,0,
"SN75",0,0,0,0,1,1,0,
"SN76",0,0,0,0,1,0,0,
"SN95",0,0,0,1,0,0,0,
"SO11",0,0,0,0,1,0,0,
