"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NO36",0,0,0,1,0,0,0,
"NO79",0,0,0,0,1,0,0,
"NS28",0,0,0,1,0,0,0,
"NS45",0,0,0,1,0,0,0,
"NS93",1,0,0,0,0,0,0,
"NY37",0,0,0,0,1,0,0,
"NZ15",0,0,0,0,0,1,0,
"SC26",0,0,0,0,1,0,0,
"SH81",0,0,0,1,0,0,0,
"SK36",0,0,0,0,0,0,1,
"ST12",0,0,0,0,1,0,0,
"ST64",0,0,0,0,1,0,0,
"SW53",0,0,0,1,0,0,0,
"SW73",1,0,0,0,0,0,0,
"SX15",1,1,0,0,0,0,0,
"SX17",0,0,0,0,1,0,0,
"SX28",0,0,0,0,1,1,0,
"TQ24",0,0,0,0,1,0,0,
