"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC31",1,0,0,0,0,0,0,"n"
"NH08",0,0,0,0,1,0,0,"n"
"NH15",0,0,1,0,0,0,0,"n"
"NH27",0,0,0,1,0,0,0,"n"
"NH28",0,0,0,1,1,0,0,"n"
"NH90",0,1,0,0,1,0,0,"n"
"NM53",1,0,0,0,0,0,0,"n"
"NN03",0,0,0,0,1,0,0,"n"
"NN08",1,0,0,0,0,0,0,"n"
"NN17",1,0,1,0,0,0,1,"n"
"NN21",1,0,0,0,0,0,0,"n"
"NN22",1,0,0,0,1,1,0,"n"
"NN25",1,0,1,0,0,0,0,"n"
"NN27",1,0,1,0,0,0,0,"n"
"NN31",1,0,0,0,0,0,0,"n"
"NN32",1,1,0,0,0,0,0,"n"
"NN33",0,0,1,0,1,1,1,"n"
"NN34",1,0,0,0,1,0,0,"n"
"NN37",0,0,0,0,1,0,0,"n"
"NN42",1,0,0,0,0,0,0,"n"
"NN43",1,0,1,1,1,1,1,"n"
"NN44",0,1,0,1,0,0,0,"n"
"NN47",0,0,0,0,1,0,0,"n"
"NN52",1,0,0,0,0,0,0,"n"
"NN53",1,1,0,1,1,1,1,"n"
"NN54",1,1,1,1,1,0,1,"n"
"NN63",0,0,0,0,1,0,0,"n"
"NN64",1,1,1,1,1,1,1,"n"
"NN65",0,0,0,0,0,1,0,"n"
"NN75",1,0,0,0,0,0,0,"n"
"NN89",0,0,1,0,1,0,0,"n"
"NO07",0,0,0,0,1,0,0,"n"
"NO17",1,0,1,1,1,1,1,"n"
"NO18",1,0,0,0,1,1,1,"n"
"NO27",1,0,0,1,1,1,1,"n"
"NT05",1,1,1,0,0,0,0,"n"
