"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H66",0,0,0,0,0,0,1,
"S05",0,0,0,0,0,0,1,
"S45",0,0,0,0,1,0,0,"a"
"SE35",0,0,0,0,1,0,0,
"SK50",1,0,0,0,0,0,0,
"SK54",0,0,0,0,0,0,1,
"SK90",0,0,0,0,0,1,0,
"SO73",0,0,0,1,1,1,1,"a"
"SO75",0,0,1,0,0,0,0,"a"
"SO76",0,0,1,0,1,0,0,"a"
"SO90",0,1,0,1,0,1,1,"a"
"SP00",1,0,0,0,0,0,0,"a"
"SP01",0,1,0,0,0,0,0,"a"
"SP03",0,0,1,0,0,0,0,"a"
"SP10",0,0,0,0,1,0,0,"a"
"SP13",1,1,0,0,0,0,0,"a"
"SP61",0,0,0,0,1,0,0,"a"
"SP90",1,1,0,0,0,0,0,"a"
"ST45",0,1,0,0,1,1,0,"a"
"ST48",0,0,0,1,0,0,0,"a"
"ST52",0,0,1,0,1,1,1,"a"
"ST63",1,0,0,0,0,0,0,"a"
"ST68",0,1,0,1,1,1,0,"a"
"ST77",0,0,0,0,0,0,1,
"ST87",0,0,1,0,0,0,0,"a"
"SU24",1,1,0,0,0,0,0,"a"
"SU33",0,1,0,0,0,0,0,"a"
"SU42",0,1,1,1,0,0,0,"a"
"SU58",0,0,1,0,0,0,0,"a"
"SU64",1,1,0,0,0,0,0,"a"
"SU67",1,0,1,1,0,0,0,"a"
"SU78",1,1,1,1,0,0,0,"a"
"SU88",0,1,0,0,0,0,0,"a"
"SU89",0,1,0,0,0,0,0,"a"
"SW84",0,0,1,0,0,0,0,"a"
"SY58",1,1,0,0,0,0,0,"a"
"SY67",1,1,0,1,0,0,0,"a"
"SZ07",1,1,0,0,1,0,1,"a"
"SZ57",0,1,0,0,0,0,0,"a"
"TA23",0,0,0,0,1,0,0,
"TF00",0,1,0,0,0,0,0,"a"
"TF26",1,1,0,0,0,0,0,"a"
"TL15",1,0,1,1,0,0,0,"a"
"TL22",1,0,0,0,0,0,0,"a"
"TL33",1,0,0,0,0,0,0,"a"
"TL35",1,1,0,0,0,0,0,"a"
"TL45",0,1,1,0,0,1,0,"a"
"TL93",0,1,0,0,0,0,0,"a"
"TM02",1,0,0,0,0,0,0,"a"
"TM03",0,1,0,0,0,0,0,"a"
"TM48",0,0,1,0,0,0,0,"a"
"TQ05",1,1,0,0,0,0,0,"a"
"TQ06",1,1,0,0,0,0,0,"a"
"TQ09",0,1,0,0,0,0,0,"a"
"TQ10",1,0,0,0,0,0,0,"a"
"TQ19",1,0,0,0,0,0,0,"a"
"TQ20",1,0,0,0,0,0,0,"a"
"TQ21",0,1,0,0,0,0,0,"a"
"TQ25",1,0,1,1,1,0,0,"a"
"TQ30",0,0,0,0,1,1,1,"a"
"TQ35",1,0,0,0,0,0,0,"a"
"TQ36",1,1,0,0,0,0,0,"a"
"TQ66",0,0,1,0,0,1,0,"a"
"TQ75",0,0,0,0,1,0,1,
"TQ78",0,0,1,0,0,0,0,"a"
"TQ81",1,0,0,0,0,0,0,"a"
"TQ86",0,0,1,0,0,0,0,"a"
"TQ89",0,0,1,0,0,0,0,"a"
"TQ99",0,0,1,0,0,0,0,"a"
"TV59",0,1,0,0,0,0,0,"a"
"WA50",1,1,0,0,1,0,0,"a"
