"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NO02",0,0,0,0,0,0,1,
"NO13",0,0,0,0,0,0,1,
"NO79",0,0,0,0,1,0,0,
"NS66",0,0,0,0,0,1,0,
"NT37",0,0,0,0,0,0,1,
"NT85",0,0,0,0,0,1,0,
"NZ25",0,1,0,0,0,0,0,
"NZ32",0,0,0,0,0,1,0,
"NZ35",0,0,0,0,0,1,1,
"SD30",0,0,0,1,1,0,0,
"SD33",0,0,0,0,0,0,1,
"SD51",0,0,0,0,0,0,1,
"SD52",0,0,0,0,1,0,1,
"SD70",0,0,0,0,0,0,1,
"SE24",0,0,0,0,0,1,1,
"SE26",0,0,0,0,0,0,1,
"SE51",0,0,0,0,0,1,0,
"SE68",0,0,0,0,0,0,1,
"SE81",0,0,0,0,0,1,0,
"SH64",0,0,0,0,0,0,1,
"SH66",0,0,0,0,0,1,0,
"SH77",0,0,0,0,1,0,1,
"SJ20",0,0,0,0,0,0,1,
"SJ26",0,0,0,0,0,0,1,
"SJ34",1,0,0,0,0,0,0,
"SJ41",0,0,0,0,0,0,1,
"SJ48",0,0,0,0,1,0,1,
"SJ49",0,0,0,0,1,0,0,
"SJ55",0,0,0,0,0,1,0,
"SJ70",0,0,0,0,0,1,0,
"SJ73",0,0,0,0,0,0,1,
"SJ80",0,0,0,0,0,1,1,
"SJ81",0,0,0,1,0,1,0,
"SJ84",0,0,0,1,0,1,1,
"SJ89",0,0,0,0,0,0,1,
"SJ90",0,0,0,0,0,0,1,
"SJ91",0,0,0,1,0,0,0,
"SK04",0,0,0,1,0,0,0,
"SK10",0,0,0,0,0,1,0,
"SK24",0,0,0,0,0,1,0,
"SK38",0,0,0,0,0,1,0,
"SK50",0,0,0,0,0,0,1,
"SK52",0,0,1,0,0,0,0,
"SK53",0,0,0,0,0,0,1,
"SK60",0,0,0,0,0,0,1,
"SK62",0,0,0,0,0,0,1,
"SK68",0,0,0,0,0,0,1,
"SK91",0,0,0,0,0,0,1,
"SK96",0,0,0,1,1,0,1,
"SN03",0,0,0,0,0,0,1,
"SN40",0,0,0,0,0,1,0,
"SN41",0,0,0,0,0,0,1,
"SN61",0,0,0,0,0,0,1,
"SN62",0,0,0,0,0,0,1,
"SN70",0,0,0,0,0,1,0,
"SO30",0,0,0,0,1,0,1,
"SO78",1,0,0,1,0,0,0,
"SO86",0,0,0,0,0,0,1,
"SO89",0,0,0,0,0,1,0,
"SO93",0,0,0,0,0,1,1,
"SO98",0,0,0,1,0,0,0,
"SO99",0,0,0,0,1,0,0,
"SP09",0,0,0,1,1,1,0,
"SP18",0,0,0,0,0,0,1,
"SP37",0,0,0,0,0,0,1,
"SP50",0,0,0,0,0,0,1,
"SP51",0,0,0,0,0,1,0,
"SP60",0,0,0,0,0,0,1,
"SP82",0,0,0,0,0,0,1,
"SP85",0,0,0,0,1,0,0,
"SS42",0,0,0,0,0,0,1,
"SS48",0,0,0,0,0,0,1,
"SS49",0,0,0,0,0,0,1,
"SS51",0,0,0,0,1,0,0,
"SS69",0,0,0,0,0,1,0,
"ST17",0,0,0,0,0,0,1,
"ST30",0,0,0,0,1,0,0,
"ST40",0,0,0,0,1,0,0,
"ST50",0,0,0,0,1,0,0,
"ST51",0,0,0,0,1,0,0,
"ST70",0,0,0,0,1,0,0,
"ST80",0,0,0,0,1,0,0,
"ST93",0,0,0,0,0,0,1,
"ST94",0,0,0,0,0,0,1,
"SU10",0,0,0,0,0,0,1,
"SU12",0,0,0,0,0,0,1,
"SU16",0,0,0,0,0,1,0,
"SU33",0,0,0,0,1,0,0,
"SU35",0,0,0,0,0,0,1,
"SU36",0,0,0,0,0,0,1,
"SU40",0,0,0,0,0,0,1,
"SU41",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,1,1,
"SU59",0,0,0,0,0,0,1,
"SU75",0,0,0,0,0,0,1,
"SU77",0,0,0,0,0,0,1,
"SU78",0,0,0,0,0,1,0,
"SU82",0,0,0,0,0,1,0,
"SU83",0,0,0,0,0,0,1,
"SU84",0,0,0,0,0,0,1,
"SU85",0,0,0,0,0,1,1,
"SU88",0,0,0,0,0,1,1,
