"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NS03",0,0,0,0,1,0,0,"a"
"NT86",0,0,0,0,1,0,0,"a"
"SC26",0,0,0,0,0,0,1,
"SE52",0,0,0,0,0,0,1,
"SJ46",0,0,0,0,1,0,0,"a"
"SK52",0,0,0,0,0,1,1,
"SK64",0,0,0,0,0,1,0,
"SP08",0,0,0,0,0,1,0,
"SP92",0,0,0,0,0,1,0,
"ST42",0,0,0,0,0,0,1,
"ST45",0,0,0,0,0,0,1,
"ST46",0,0,0,0,0,0,1,
"SU34",0,0,0,0,0,0,1,
"SU70",0,0,0,0,1,1,1,"a"
"SU80",0,0,0,0,0,0,1,
"SU83",0,0,1,0,0,0,0,"a"
"SU90",0,0,0,0,0,0,1,
"SY08",0,0,0,0,0,0,1,
"SY98",0,0,0,0,0,1,0,
"SZ07",0,0,0,0,0,0,1,
"SZ08",0,0,0,0,0,1,1,
"SZ69",0,0,0,1,0,0,0,"a"
"TF01",0,0,0,0,0,0,1,
"TF02",0,0,0,1,0,0,0,"a"
"TF22",0,0,0,0,1,0,0,"a"
"TF41",0,0,0,0,0,0,1,
"TF61",0,0,0,0,0,1,0,
"TF84",0,0,0,0,0,0,1,
"TL10",0,0,0,0,0,0,1,
"TL25",0,0,0,0,0,1,0,
"TL30",0,0,0,0,1,0,0,"a"
"TL31",0,0,0,0,1,1,1,"a"
"TL32",0,0,0,0,1,0,0,"a"
"TL69",0,0,0,0,0,0,1,
"TL89",0,0,0,0,0,0,1,
"TM36",0,0,0,0,0,1,0,
"TQ01",0,0,1,1,0,0,0,"a"
"TQ06",0,0,0,0,0,0,1,
"TQ10",0,0,0,0,0,0,1,
"TQ11",0,0,0,0,0,0,1,
"TQ12",0,0,0,0,0,0,1,
"TQ17",0,0,0,0,0,1,0,
"TQ22",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,1,0,
"TQ28",0,0,0,0,0,1,1,
"TQ29",0,0,0,0,1,0,0,"a"
"TQ32",0,0,0,0,0,0,1,
"TQ33",0,0,0,0,0,1,1,
"TQ42",0,0,0,0,1,0,1,
"TQ43",0,0,0,0,1,0,0,"a"
"TQ60",0,0,0,0,0,1,0,
"WV47",1,1,1,0,0,0,0,"a"
