"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NO02",0,0,0,0,0,0,1,
"NO39",0,0,1,0,0,0,0,"a"
"NO43",0,0,1,0,0,0,0,"a"
"NT27",0,0,1,0,0,0,0,"a"
"NT37",1,0,0,0,0,0,0,"a"
"NT47",1,0,0,0,0,0,0,"a"
"NT58",1,0,0,0,0,0,0,"a"
"NU13",0,0,0,0,0,0,1,
"NW95",0,0,0,0,0,1,0,
"NX14",0,0,0,0,0,1,0,
"NX34",0,0,0,0,0,1,0,
"R98",0,0,0,1,0,0,0,"a"
"R99",0,0,0,1,0,0,0,"a"
"S17",0,0,0,1,0,0,0,"a"
"S71",0,0,0,0,0,1,0,
"SD17",0,0,0,0,0,1,0,
"SD30",0,0,0,0,0,1,0,
"SE53",0,0,0,0,0,0,1,
"SE55",0,0,1,0,0,0,0,"a"
"SJ15",0,0,0,0,0,0,1,
"SJ27",0,0,0,0,0,1,1,
"SJ28",0,0,0,0,0,1,0,
"SJ29",0,0,0,0,1,1,0,"a"
"SJ36",0,0,0,0,1,1,1,"a"
"SJ37",0,0,0,0,0,1,0,
"SJ38",0,0,0,0,0,1,0,
"SJ39",1,0,0,0,0,0,0,
"SJ57",0,0,0,0,0,1,1,
"SJ58",0,0,0,0,1,1,1,"a"
"SJ65",0,0,0,0,0,0,1,
"SJ74",0,0,0,0,1,0,0,"a"
"SK06",0,0,1,0,0,0,0,
"SK15",1,0,0,0,0,0,0,"a"
"SK16",0,0,0,0,0,0,1,
"SK33",0,0,0,0,0,1,0,
"SK43",0,0,0,0,0,0,1,
"SK56",1,0,1,0,0,0,0,"a"
"SK57",1,0,1,0,0,0,0,"a"
"SK82",0,0,0,0,0,0,1,
"SK91",0,0,0,0,0,0,1,
"SK96",0,0,0,0,0,0,1,
"SO84",1,0,0,0,0,0,0,
"SO86",0,0,0,0,0,1,0,
"SO88",0,0,0,0,0,1,0,
"SO93",1,0,0,0,0,0,1,
"SO95",0,0,0,0,0,1,0,
"SO98",0,0,0,0,1,0,0,
"SP03",0,0,0,0,0,0,1,
"SP04",0,0,0,0,1,0,0,
"SP06",1,0,0,0,0,0,0,
"SP08",0,0,0,0,1,0,0,"a"
"SP09",0,0,1,0,0,0,0,"a"
"SP10",0,0,0,0,0,0,1,
"SP13",0,0,0,0,1,0,0,"a"
"SP14",0,0,0,1,0,0,0,"a"
"SP16",0,0,1,0,1,0,0,"a"
"SP20",0,0,1,0,0,0,0,
"SP28",0,0,0,0,1,0,0,"a"
"SP29",0,0,0,0,0,0,1,
"SP30",0,0,1,0,0,0,0,
"SP32",0,0,1,0,1,0,0,"a"
