"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B92",0,0,0,0,0,1,1,"n"
"C70",1,0,1,0,1,0,1,"n"
"C71",0,0,0,0,1,0,1,"n"
"D02",0,0,0,0,0,0,1,
"D11",1,0,0,0,0,0,0,"n"
"D12",1,0,0,1,1,0,1,"n"
"D14",1,0,0,0,0,0,0,"n"
"D21",1,1,1,1,1,0,0,"n"
"D22",1,1,0,1,1,0,0,"n"
"G78",1,0,0,0,0,0,0,"n"
"H12",1,0,0,0,0,0,0,"n"
"H69",1,0,0,1,0,0,0,"n"
"J02",0,0,1,0,0,0,0,"n"
"J11",1,1,0,1,0,0,1,"n"
"J22",1,1,1,1,1,1,0,"n"
"J23",0,1,0,0,0,0,0,"n"
"J25",1,0,0,0,0,0,0,"n"
"J28",1,0,0,0,0,0,0,
"J32",1,0,1,1,0,0,0,"n"
"J33",1,0,1,0,0,0,0,"n"
"J48",1,0,0,0,0,0,0,"n"
"J49",1,0,0,0,0,0,0,"n"
"L74",1,0,0,0,0,0,0,
"L75",0,1,0,1,0,0,0,"n"
"N39",0,1,0,0,0,0,0,"n"
"NB00",0,0,0,0,0,0,1,"n"
"NB10",1,1,0,0,1,1,1,"n"
"NB13",0,0,0,1,0,0,0,"n"
"NC22",0,1,1,0,0,1,0,"n"
"NC32",0,0,0,1,1,0,0,"n"
"NC52",1,1,1,0,1,0,1,"n"
"NF83",0,1,1,0,0,0,0,"n"
"NG08",1,0,0,0,0,0,0,"n"
"NG14",0,0,0,0,0,1,1,"n"
"NG18",1,1,0,0,0,0,0,"n"
"NG30",1,0,1,0,0,0,0,"n"
"NG32",0,0,0,0,0,0,1,"n"
"NG41",0,0,1,1,0,0,1,"n"
"NG42",1,1,1,1,1,1,1,"n"
"NG43",0,0,0,0,0,0,1,"n"
"NG45",0,1,1,1,0,1,1,"n"
"NG51",0,0,1,0,0,0,0,"n"
"NG52",1,1,1,1,1,1,1,"n"
"NG53",1,1,1,1,1,1,1,"n"
"NG54",0,1,1,1,1,1,1,"n"
"NG55",0,0,1,0,0,0,0,"n"
"NG62",1,1,1,1,1,1,0,"n"
"NG70",0,1,1,0,1,0,0,"n"
"NG71",0,0,1,1,1,0,0,"n"
"NG72",1,0,0,1,1,1,0,"n"
"NG74",0,1,1,0,1,0,1,"n"
"NG80",0,1,1,0,1,1,0,"n"
"NG81",0,1,1,0,1,1,1,"n"
"NG82",0,1,1,0,0,0,0,"n"
"NG84",0,1,1,0,0,1,1,"n"
"NG85",0,1,1,0,0,0,0,"n"
