"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"M29",0,0,0,0,0,0,1,
"NO56",0,0,0,0,0,0,1,
"NS38",1,0,0,0,0,0,0,
"NS56",0,0,0,1,0,0,0,"a"
"NS57",1,0,0,0,0,0,0,"a"
"NS95",0,0,0,0,0,0,1,
"NT73",0,0,0,1,0,0,0,"a"
"NT90",1,0,0,0,0,0,0,"a"
"NU10",0,0,0,0,0,1,0,
"NY35",0,0,0,0,0,0,1,
"NZ14",0,0,0,0,0,1,0,
"NZ23",0,1,0,0,0,0,0,"a"
"SD16",0,0,1,0,0,0,0,"a"
"SD26",0,0,1,0,0,0,0,"a"
"SD60",0,0,1,0,0,0,0,"a"
"SD62",0,0,1,0,0,0,0,"a"
"SD70",0,0,0,0,1,0,0,
"SD71",0,0,1,0,0,0,0,"a"
"SE31",0,0,0,1,1,1,0,"a"
"SE50",0,0,0,0,1,1,1,"a"
"SE52",0,0,1,0,0,0,0,"a"
"SE54",1,0,0,1,0,0,0,"a"
"SE55",1,0,0,0,0,0,0,"a"
"SE60",0,0,0,1,0,1,0,"a"
"SE61",0,0,0,0,0,1,1,
"SE63",0,0,0,1,0,0,0,"a"
"SE64",0,0,0,1,0,0,1,"a"
"SE71",0,0,0,0,1,0,0,"a"
"SE72",0,0,0,0,1,0,0,"a"
"SE73",0,0,0,1,1,0,0,"a"
"SE74",0,0,0,1,0,0,0,"a"
"SE75",0,0,0,1,0,0,0,"a"
"SE80",0,0,0,0,1,1,1,"a"
"SE81",0,0,0,0,0,0,1,
"SE82",0,0,0,1,0,0,0,"a"
"SE83",0,0,0,1,0,0,0,"a"
"SE90",1,0,0,0,0,0,0,"a"
"SH46",0,0,0,0,1,0,0,
"SH47",0,0,0,0,0,0,1,
"SJ20",0,0,0,0,0,0,1,
"SJ36",1,0,0,0,0,0,0,"a"
"SJ41",0,0,0,0,0,1,1,
"SJ45",1,0,0,1,0,1,1,"a"
"SJ46",1,0,0,0,1,1,1,"a"
"SJ47",1,0,0,0,0,0,0,"a"
"SJ48",0,0,0,0,1,0,0,
"SJ50",1,0,0,0,0,0,1,"a"
"SJ51",1,0,0,0,0,0,0,
"SJ52",1,0,0,0,0,0,0,"a"
"SJ60",0,0,0,0,0,0,1,
"SK11",0,0,0,1,0,0,0,"a"
"SK22",0,0,0,1,0,1,0,"a"
"SK37",0,0,0,0,1,0,0,"a"
"SK38",0,0,0,1,0,0,0,"a"
"SK42",0,0,0,0,0,1,1,
"SK43",0,0,0,0,1,1,1,"a"
"SK44",0,0,0,0,0,0,1,
"SK51",0,0,1,1,1,0,1,"a"
"SK52",0,0,1,0,1,1,1,"a"
"SK53",0,0,1,0,1,1,1,"a"
"SK58",0,1,0,0,0,0,0,"a"
"SK61",0,0,0,0,0,0,1,
"SK63",0,0,0,0,1,1,1,"a"
"SK64",0,0,0,1,1,1,1,"a"
"SK68",0,0,0,0,0,0,1,
"SK69",0,0,1,1,1,1,1,"a"
"SK74",0,0,0,0,1,1,1,"a"
"SK75",0,0,1,1,1,1,1,"a"
"SK78",0,0,0,0,1,0,0,"a"
"SK79",0,0,0,1,1,1,0,"a"
"SK85",0,0,0,0,1,0,1,"a"
"SK86",1,0,1,1,1,1,1,"a"
"SK87",0,0,1,1,1,1,1,"a"
"SK88",0,0,0,0,1,1,1,
"SK89",0,0,0,0,0,1,0,
"SK91",0,0,0,0,1,0,0,"a"
"SO34",1,0,0,0,0,0,0,"a"
"SO38",0,0,0,1,0,0,0,
"SO51",0,0,0,0,1,0,0,"a"
"SO52",1,0,0,0,0,0,0,"a"
"SO53",1,0,0,0,1,0,0,"a"
"SO54",1,0,0,0,0,0,0,"a"
"SO60",1,0,0,0,0,0,0,"a"
"SO62",1,0,0,0,0,0,0,"a"
"SO65",0,0,0,0,0,1,0,
"SO71",1,1,1,1,1,1,1,"a"
"SO72",1,0,0,0,0,0,0,"a"
"SO77",1,0,0,0,0,0,0,"a"
"SO78",1,0,0,0,0,0,0,
"SO81",1,0,0,1,0,0,1,"a"
"SO82",1,0,1,1,1,1,1,"a"
"SO83",1,1,1,1,1,1,0,"a"
"SO84",1,1,1,1,1,1,1,"a"
"SO85",1,0,0,0,1,0,0,"a"
"SO86",0,0,0,0,1,0,0,"a"
"SO87",0,0,1,0,0,0,0,
"SO98",1,0,0,0,0,0,0,"a"
"SO99",0,0,0,0,1,0,0,"a"
"SP00",0,0,1,0,0,0,0,"a"
"SP03",1,0,1,0,0,0,0,"a"
"SP04",0,0,1,0,1,0,0,"a"
"SP08",1,1,0,0,0,0,1,"a"
"SP70",0,0,0,1,0,0,0,"a"
"SP96",0,0,0,0,0,0,1,
"SS80",0,0,0,1,0,0,0,
"ST34",1,0,0,0,0,0,0,"a"
"ST40",0,0,0,0,1,0,0,"a"
"ST56",0,0,0,0,1,0,0,"a"
"ST57",0,0,1,0,0,0,0,"a"
"ST81",1,0,0,1,1,0,0,"a"
"SU17",0,0,0,0,1,0,0,"a"
"SW53",1,0,0,0,0,0,0,"a"
"SY68",0,0,0,0,0,1,0,
"SZ08",0,0,0,0,1,1,0,
"SZ09",1,0,0,0,1,0,0,"a"
"TA03",0,0,0,1,1,1,0,"a"
"TA04",0,0,0,1,1,0,0,"a"
"TA05",0,0,0,0,0,0,1,
"TA08",0,0,0,1,0,0,0,
"TA09",0,0,0,0,1,0,0,
"TA13",0,0,0,1,1,0,0,"a"
"TA14",0,0,0,1,1,0,0,"a"
"TA32",0,0,0,0,0,0,1,
"TA41",0,0,0,1,0,0,0,"a"
"TF16",0,1,0,0,0,0,1,"a"
"TF24",1,0,1,0,0,0,0,"a"
"TF25",1,0,1,1,0,0,1,"a"
"TF26",1,1,0,0,0,0,0,"a"
"TF56",1,0,0,0,0,0,0,"a"
"TG30",0,0,1,0,0,0,0,
"TL37",0,0,0,0,1,0,0,"a"
"TL38",0,0,0,0,1,0,0,"a"
"TL46",0,0,0,1,0,0,0,"a"
"TL74",1,0,0,0,0,0,0,
"TL84",0,0,0,0,0,1,0,
"TL86",1,0,0,0,0,0,0,
"TL93",1,0,0,0,0,0,0,
"TL96",1,0,0,0,0,0,0,
"TM00",0,0,0,0,1,0,0,"a"
"TM59",0,0,0,0,1,0,1,"a"
"TQ07",1,0,0,0,0,0,0,"a"
"TQ08",0,0,1,0,0,0,0,
"TQ17",0,1,1,1,1,0,1,"a"
"TQ27",1,0,1,0,0,0,0,"a"
"TQ38",0,0,0,0,0,0,1,
"TQ48",1,0,0,0,0,0,0,"a"
"TQ56",0,0,1,0,0,0,0,"a"
"TQ57",0,0,1,0,0,0,0,
"TQ99",0,0,0,0,0,0,1,
