"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B91",0,0,0,0,0,1,0,"n"
"C31",0,0,1,0,0,0,0,"n"
"C34",0,0,0,0,1,0,0,"n"
"C41",0,0,0,1,0,0,0,"n"
"C50",0,0,0,1,1,0,0,"n"
"C53",0,0,0,0,1,0,0,"n"
"C73",0,0,0,0,1,0,0,"n"
"C83",0,1,0,0,0,0,0,"n"
"C91",0,0,0,0,1,0,1,"n"
"D10",0,0,0,0,1,0,0,"n"
"D21",0,0,0,0,1,0,0,"n"
"D40",0,0,0,0,1,0,0,"n"
"F83",0,0,0,0,0,0,1,"n"
"F84",0,0,0,0,0,0,1,"n"
"F91",0,0,0,0,1,0,0,"n"
"G40",0,0,0,0,0,0,1,"n"
"G41",0,0,0,0,0,0,1,"n"
"G51",0,0,0,0,1,0,0,"n"
"G52",0,0,1,0,0,0,0,"n"
"G62",1,0,0,0,0,0,0,"n"
"G71",0,0,0,0,1,0,0,"n"
"G72",0,0,1,0,0,0,0,"n"
"G73",1,0,0,0,0,0,0,"n"
"G84",0,0,1,0,0,0,0,"n"
"G86",0,0,0,0,1,0,0,"n"
"G90",0,0,1,0,0,0,0,"n"
"G91",0,0,1,0,0,0,0,"n"
"G95",0,0,0,0,1,1,0,"n"
"G96",0,0,0,0,1,0,0,"n"
"G97",0,0,0,0,0,0,1,"n"
"H00",0,0,0,0,0,1,0,"n"
"H01",0,0,1,0,0,0,0,"n"
"H05",1,0,0,0,1,0,0,"n"
"H15",1,0,0,0,1,0,0,"n"
"H16",1,0,0,0,0,1,0,"n"
"H23",0,0,0,1,0,1,0,"n"
"H24",0,0,0,0,1,0,0,"n"
"H25",0,0,0,0,1,1,0,"n"
"H27",0,0,1,0,0,0,0,"n"
"H31",0,0,0,0,0,1,0,"n"
"H32",0,0,0,1,0,1,1,"n"
"H33",0,0,0,0,1,1,0,"n"
"H36",0,0,1,0,0,0,0,"n"
"H38",0,0,0,0,0,0,1,"n"
"H39",1,0,0,0,1,0,0,"n"
"H44",0,0,0,0,1,1,0,"n"
"H45",0,0,0,0,0,1,0,"n"
"H46",0,0,1,0,0,0,0,"n"
"H47",1,1,0,0,0,1,0,"n"
"H48",0,0,1,0,0,0,0,"n"
"H49",0,0,1,0,0,0,0,"n"
"H51",0,0,0,0,0,0,1,"n"
"H54",0,0,0,0,1,0,0,"n"
"H55",0,0,0,0,1,0,0,"n"
"H56",0,0,1,0,0,0,0,"n"
"H57",0,0,0,0,0,1,0,"n"
"H58",1,0,1,1,1,0,0,"n"
"H59",0,0,0,1,0,0,0,"n"
"H61",0,0,0,0,0,1,0,"n"
"H68",0,0,1,0,0,0,0,"n"
"H74",0,0,0,1,0,0,0,"n"
"H75",0,0,0,1,0,0,0,"n"
"H77",0,0,0,0,0,0,1,"n"
"H80",0,0,0,0,0,1,0,"n"
"H82",1,0,1,0,0,1,0,"n"
"H83",0,0,0,0,1,0,0,"n"
"H85",0,0,0,1,1,0,0,"n"
"H86",0,0,0,0,1,0,0,"n"
"H87",0,0,0,0,1,0,0,"n"
"H88",0,0,0,0,0,1,0,"n"
"H91",0,0,0,0,1,0,0,"n"
"H93",0,0,0,0,1,0,0,"n"
"H94",0,0,1,0,0,0,0,"n"
"H96",0,0,0,1,1,0,0,"n"
"H97",0,0,1,1,0,0,0,"n"
"H98",0,0,0,0,0,1,1,"n"
"H99",0,0,0,1,1,0,1,"n"
"HP50",1,0,0,0,0,0,0,"n"
"HP60",1,0,0,0,0,0,0,"n"
"HP61",1,0,0,0,0,0,0,"n"
"HU25",0,0,0,1,0,0,0,"n"
"HU31",1,0,0,0,0,0,0,"n"
"HU43",1,0,1,0,0,0,0,"n"
"HU44",0,0,1,0,0,0,0,"n"
"HU45",0,0,1,0,0,0,0,"n"
"HU46",0,0,1,0,0,0,0,"n"
"HU59",1,0,1,0,0,0,0,"n"
"HY20",0,0,0,1,1,0,0,"n"
"HY21",1,0,0,0,0,0,0,"n"
"HY22",1,0,0,0,0,0,0,"n"
"HY30",0,0,1,0,1,0,0,"n"
"HY31",0,0,0,0,1,0,0,"n"
"HY32",0,0,0,0,1,0,0,"n"
"HY40",0,0,0,1,1,0,0,"n"
"HY41",1,0,0,1,0,0,0,"n"
"HY42",0,0,0,1,1,0,0,"n"
"HY43",0,0,1,0,1,0,0,"n"
"HY50",1,0,1,0,1,0,0,"n"
"HY51",0,0,0,1,1,0,0,"n"
"HY52",0,0,0,1,0,0,0,"n"
"HY53",0,0,1,1,1,0,0,"n"
"HY55",0,0,0,1,1,0,0,
"HY61",0,0,0,0,1,0,0,"n"
"HY62",0,0,0,1,1,0,0,"n"
"HY63",0,0,0,0,1,0,0,"n"
"HY64",1,1,0,1,0,0,0,"n"
"J03",0,0,0,0,0,0,1,"n"
"J04",1,0,0,1,0,0,0,"n"
"J05",0,0,0,0,1,0,0,"n"
"J06",0,0,0,1,1,0,1,"n"
"J15",0,0,0,0,1,0,0,"n"
"J17",0,0,0,1,0,0,1,"n"
"J18",0,0,0,0,1,0,1,"n"
"J20",1,0,0,0,0,0,0,"n"
"J21",0,0,1,0,0,0,0,"n"
"J25",0,0,0,0,1,0,0,"n"
"J26",1,0,0,0,1,1,0,"n"
"J27",0,0,0,0,1,0,0,"n"
"J29",0,0,0,0,1,0,0,"n"
"J34",0,0,0,0,1,0,0,"n"
"J35",0,0,1,1,1,1,0,"n"
"J36",0,0,1,0,1,0,0,"n"
"J37",1,0,0,1,0,0,0,"n"
"J44",0,0,0,0,1,1,0,"n"
"J45",0,0,0,0,1,0,0,"n"
"J46",0,0,0,1,1,0,0,"n"
"J55",0,0,0,1,0,0,0,"n"
"L46",1,0,0,0,0,0,0,"n"
"L56",1,0,0,0,0,0,0,"n"
"L63",1,0,1,0,0,0,0,"n"
"L73",0,0,0,0,1,0,0,"n"
"L83",0,0,1,0,0,0,0,"n"
"L98",0,0,1,0,0,0,0,"n"
"M06",0,0,1,0,0,0,0,"n"
"M22",0,0,0,1,0,0,0,
"M27",0,0,0,0,1,0,0,"n"
"M33",0,0,0,0,1,0,0,"n"
"M35",0,0,0,0,1,0,0,"n"
"M40",0,0,0,0,0,0,1,"n"
"M46",0,0,0,0,0,0,1,
"M57",0,0,0,0,0,0,1,
"M63",0,0,0,0,0,1,0,"n"
"M65",0,0,0,0,0,1,0,
"M73",0,0,0,0,0,0,1,
"M74",0,0,0,0,1,0,0,"n"
"M77",0,0,0,0,1,0,0,"n"
"M79",0,0,0,0,1,0,0,"n"
"M80",0,0,0,0,0,1,0,
"M83",0,0,0,0,1,0,0,"n"
"M88",0,0,1,0,1,0,0,"n"
"M95",0,0,0,0,1,0,0,"n"
"M96",0,0,0,0,1,0,0,"n"
"M98",0,0,0,0,0,0,1,"n"
"N17",0,1,0,0,0,0,0,"n"
"N24",0,0,0,0,0,0,1,"n"
"N26",0,0,0,1,0,0,1,"n"
"N27",0,0,0,0,0,0,1,
"N29",0,0,0,0,0,1,0,"n"
"N35",0,0,1,0,0,0,0,"n"
"N37",0,0,0,0,1,0,0,"n"
"N38",0,0,0,0,0,1,0,"n"
"N39",0,0,0,0,1,0,0,"n"
"N45",1,0,0,0,1,0,1,"n"
"N56",0,0,0,0,0,1,0,"n"
"N57",0,0,0,0,0,0,1,"n"
"N59",0,0,0,0,0,1,0,"n"
"N64",0,0,0,0,1,0,1,"n"
"N65",0,0,0,0,1,0,1,"n"
"N69",0,0,0,0,1,0,0,"n"
"N74",0,0,0,0,1,0,0,"n"
"N76",0,0,0,0,0,0,1,"n"
"N78",0,0,0,0,0,0,1,"n"
"N79",0,0,0,0,0,0,1,
"N84",0,0,0,0,0,1,0,
"N85",0,0,0,0,0,1,0,"n"
"N86",0,0,0,0,1,0,0,"n"
"N91",0,0,0,0,1,0,0,"n"
"N92",0,0,0,0,1,0,0,"n"
"N96",0,0,0,0,1,0,0,"n"
"N97",0,0,0,0,1,0,1,"n"
"NA91",1,0,0,0,0,0,0,"n"
"NB03",0,0,0,0,1,0,0,"n"
"NB24",0,0,0,1,0,0,0,"n"
"NB34",1,0,0,1,0,0,0,"n"
"NB35",0,0,0,1,0,0,0,"n"
"NB43",1,0,0,0,0,0,0,"n"
"NC21",0,0,0,0,1,0,0,"n"
"NC22",0,0,0,0,1,0,0,"n"
"NC76",1,0,0,0,0,0,0,"n"
"NC86",0,0,0,0,1,0,0,"n"
"NC95",0,0,0,0,1,0,0,"n"
"ND03",0,0,0,1,0,0,0,"n"
"ND05",0,0,0,1,0,0,0,"n"
"ND06",0,0,0,0,0,1,0,"n"
"ND12",0,0,0,1,0,0,0,"n"
"ND23",0,0,0,1,0,0,0,"n"
"ND29",0,1,0,0,1,0,0,"n"
"ND34",0,0,0,1,0,0,0,"n"
"ND35",0,0,0,0,0,1,0,"n"
"ND38",0,0,1,0,1,0,0,"n"
"ND39",0,0,0,1,1,0,0,"n"
"ND47",0,0,0,0,1,0,0,"n"
"ND48",1,0,1,0,0,0,0,"n"
"ND49",1,0,1,0,0,0,0,"n"
"NF09",1,0,0,0,0,0,0,"n"
"NF73",0,0,0,1,0,0,0,"n"
"NF85",1,1,0,0,0,0,0,"n"
"NF86",1,1,0,0,0,0,0,"n"
"NG13",0,0,0,0,1,0,0,"n"
"NG88",1,0,0,0,0,0,0,"n"
"NG91",0,0,1,0,0,0,0,"n"
"NH31",1,0,0,0,0,0,0,"n"
"NH70",0,0,0,1,0,0,0,"n"
"NH80",0,0,0,1,1,0,0,"n"
"NH91",0,0,0,1,1,0,0,"n"
"NJ05",0,0,1,0,0,0,0,"n"
"NJ13",0,0,0,1,0,1,0,"n"
"NJ16",0,0,0,0,1,0,1,"n"
"NJ25",0,0,0,0,0,0,1,"n"
"NJ26",0,0,0,0,1,0,0,"n"
"NJ35",0,0,0,1,0,0,0,"n"
"NJ36",0,0,0,1,0,0,0,"n"
"NJ66",1,0,0,0,0,0,0,"n"
"NJ71",0,0,0,0,0,1,0,"n"
"NJ74",0,0,0,1,0,0,1,"n"
"NJ75",0,0,0,0,0,0,1,"n"
"NJ80",1,0,0,0,0,0,0,"n"
"NJ85",0,0,0,0,0,1,0,"n"
"NJ95",0,0,0,1,0,0,0,"n"
"NK04",0,0,0,1,0,0,0,"n"
"NK05",0,0,0,1,0,0,0,"n"
"NK14",0,0,0,1,0,0,0,"n"
"NM84",1,0,1,0,0,0,0,"n"
"NM91",0,0,0,0,1,0,0,"n"
"NM93",0,0,0,0,1,0,0,"n"
"NN01",0,0,0,0,1,0,0,"n"
"NN05",1,0,1,0,0,0,0,"n"
"NN11",0,0,0,0,1,0,0,"n"
"NN20",1,0,0,0,0,0,0,"n"
"NN50",0,0,1,0,0,0,0,"n"
"NN79",0,0,0,1,0,0,0,"n"
"NN81",0,0,0,0,0,0,1,"n"
"NN90",0,0,0,1,0,0,0,"n"
"NN95",0,0,0,1,1,0,0,"n"
"NO00",0,0,0,1,1,1,0,"n"
"NO06",0,0,0,1,0,0,0,"n"
"NO10",0,0,0,1,1,0,0,"n"
"NO13",0,0,0,1,0,0,0,"n"
"NO20",0,0,0,0,1,0,0,"n"
"NO21",0,0,0,1,1,0,1,"n"
"NO23",0,0,0,0,0,1,0,"n"
"NO24",0,0,0,1,1,1,0,"n"
"NO25",0,0,0,0,1,0,0,"n"
"NO26",0,0,0,0,0,1,0,"n"
"NO30",0,0,0,0,1,0,0,"n"
"NO31",0,1,0,1,1,0,1,"n"
"NO36",0,0,0,0,0,1,0,"n"
"NO40",1,0,0,0,0,0,0,"n"
"NO42",0,1,0,0,0,1,1,"n"
"NO44",0,0,0,0,0,1,0,"n"
"NO46",0,0,0,0,0,1,0,"n"
"NO55",1,0,0,0,0,0,0,"n"
"NO77",0,0,0,1,0,0,0,"n"
"NO87",0,0,0,1,0,0,0,"n"
"NR26",0,0,1,1,1,1,1,"n"
"NR39",1,0,0,0,0,0,0,"n"
"NR46",0,1,1,0,0,0,0,"n"
"NR56",0,0,0,0,1,0,0,"n"
"NR79",0,0,0,0,1,0,0,"n"
"NS17",0,0,1,0,0,0,0,"n"
"NS20",0,0,0,1,0,0,0,"n"
"NS26",0,0,0,0,0,1,0,"n"
"NS27",0,0,0,0,0,1,0,"n"
"NS30",0,0,0,1,0,0,0,"n"
"NS31",0,0,0,1,0,0,0,"n"
