"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NN81",0,0,0,0,0,0,1,
"NS65",0,0,0,0,1,0,1,"n"
"NT36",0,0,0,1,0,0,0,"n"
"NT48",0,0,0,1,1,0,0,"n"
"NT54",0,0,0,1,1,0,0,"a"
"NT62",0,0,0,0,1,1,0,"n"
"NT73",0,0,0,0,0,1,1,"n"
"NT83",0,0,0,0,1,0,0,"n"
"NT85",0,0,1,0,0,0,0,
"NT86",1,0,0,0,0,0,0,
"NT95",1,0,0,0,0,0,0,
"NX56",0,0,0,0,1,0,0,
"NX76",0,0,0,0,1,0,0,
"NY34",0,0,0,0,0,1,1,"n"
"NZ01",0,0,0,1,0,1,0,"n"
"NZ02",0,0,0,1,0,0,0,"n"
"NZ10",1,0,1,0,0,0,1,"n"
"NZ11",0,0,0,1,1,1,0,"n"
"NZ21",0,0,0,1,1,0,0,"n"
"NZ22",0,0,0,0,1,0,0,"n"
"NZ80",0,0,0,0,0,0,1,"n"
"SD27",0,0,0,0,1,1,1,"n"
"SE08",1,0,1,0,1,0,1,"n"
"SE09",0,0,0,1,1,0,0,"n"
"SE13",0,0,0,1,0,1,1,"n"
"SE18",1,0,1,1,0,0,0,"n"
"SE27",0,0,0,1,0,1,0,"n"
"SE28",0,0,0,1,0,0,0,"n"
"SE35",0,0,0,1,0,0,1,"n"
"SE36",0,0,0,0,0,1,0,
"SE57",0,0,0,0,0,0,1,
"SE61",0,0,0,1,0,0,0,"n"
"SE67",0,0,0,1,0,1,1,"n"
"SE68",0,0,0,0,0,0,1,"n"
"SE75",0,0,0,1,0,0,0,"n"
"SE76",0,0,0,1,0,0,1,"n"
"SE78",0,0,0,0,0,1,0,"n"
"SE85",0,0,1,1,0,0,0,"n"
"SE86",0,0,0,1,0,0,0,"n"
"SH33",0,0,0,0,1,0,0,"n"
"SH77",0,0,0,1,1,1,1,"n"
"SH78",0,0,0,0,1,1,1,"n"
"SH87",0,0,0,0,0,1,0,
"SH88",1,0,0,1,1,1,1,"n"
"SH97",0,0,0,0,1,0,1,"n"
"SJ06",0,0,1,0,0,0,0,"n"
"SJ07",0,0,0,0,1,0,1,"n"
