"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NH55",0,0,0,0,0,1,0,
"NH78",0,0,0,0,0,0,1,
"NJ05",0,0,0,0,0,0,1,
"NN76",0,0,0,0,1,0,0,
"NO01",1,0,1,0,0,0,0,"a"
"NO04",0,0,0,0,1,0,0,"a"
"NO12",0,0,0,1,0,0,0,
"NS34",0,0,0,0,0,0,1,
"NT17",1,0,0,0,0,0,0,"a"
"NT26",1,1,0,0,0,0,0,"a"
"NT29",0,0,1,0,0,0,0,"a"
"NT36",1,0,0,0,0,0,0,"a"
"NT37",1,0,0,0,0,0,0,"a"
"NT53",1,1,0,0,0,0,0,"a"
"NT54",1,0,0,0,0,0,0,"a"
"NT85",1,0,0,0,0,0,0,
"NU11",1,0,0,0,0,0,0,
"NU21",0,0,0,0,0,0,1,
"NU22",1,0,0,0,0,0,0,"a"
"NX76",0,0,0,0,1,0,0,"a"
"NX85",1,0,0,0,0,0,0,
"NX97",0,0,0,0,1,0,0,"a"
"NY45",0,0,0,0,0,0,1,
"NZ03",0,0,0,0,1,0,0,"a"
"NZ16",0,0,0,0,0,1,0,
"NZ21",0,0,0,0,0,1,0,
"NZ24",0,1,0,1,0,0,0,"a"
"SC49",0,0,0,1,0,0,0,"a"
"SD32",0,0,1,1,0,0,0,"a"
"SD43",0,0,1,1,0,0,0,"a"
"SD44",0,0,1,1,0,0,0,
"SD45",0,0,0,0,0,0,1,
"SD56",0,1,1,1,0,0,0,"a"
"SD62",0,0,0,1,1,0,0,"a"
"SD67",0,0,0,1,1,0,0,"a"
"SD95",0,0,0,0,0,0,1,
"SD98",0,0,0,1,0,0,0,
"SE18",0,0,0,1,0,0,0,
"SE38",1,0,1,0,0,0,0,"a"
"SE44",0,0,1,0,0,0,0,
"SE78",0,0,0,0,0,0,1,
"SE90",0,0,0,0,1,0,0,"a"
"SJ12",0,0,0,0,0,0,1,
"SJ23",1,0,0,0,1,0,0,"a"
"SJ40",1,0,0,0,0,0,0,"a"
"SJ41",1,0,0,0,0,0,0,"a"
"SJ44",0,0,0,1,1,0,0,"a"
"SJ50",1,0,0,0,0,0,0,"a"
"SJ61",1,0,0,0,0,0,0,"a"
"SJ69",1,0,0,0,0,0,0,
"SK02",1,0,1,0,0,0,0,"a"
"SK10",0,0,0,0,1,1,0,"a"
"SK32",0,0,0,0,0,1,0,
"SK33",0,0,0,0,0,0,1,
