"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,0,0,1,0,0,"n"
"C23",0,0,0,0,0,1,0,
"C41",0,0,0,0,0,0,1,
"C42",0,0,0,0,1,0,0,"n"
"C52",0,0,0,0,0,0,1,
"C60",0,0,0,1,1,0,0,"n"
"C62",0,0,0,0,0,1,0,"n"
"C72",0,0,0,0,0,0,1,
"C83",0,0,0,0,0,0,1,"n"
"C92",0,0,0,0,0,0,1,"n"
"D21",0,0,0,0,0,1,0,"n"
"D40",0,0,0,0,0,0,1,
"F70",0,0,0,0,0,0,1,
"G54",0,0,0,0,0,1,1,
"G62",0,0,0,0,1,0,0,"n"
"G63",0,0,0,0,1,1,1,"n"
"G73",0,0,0,0,1,0,0,"n"
"G75",0,0,0,0,0,0,1,
"G84",0,0,0,0,0,0,1,
"G85",0,0,0,0,0,0,1,
"H14",0,0,0,0,0,1,0,
"H16",0,0,0,0,1,0,0,"n"
"H24",1,0,0,0,1,1,1,"n"
"H25",0,0,0,0,1,1,1,"n"
"H33",0,0,0,0,1,0,0,"n"
"H37",0,0,0,0,0,0,1,
"H39",1,0,0,0,0,0,0,"n"
"H47",0,0,0,0,0,1,0,
"H53",0,0,0,0,1,0,0,"n"
"H55",0,0,0,0,0,0,1,
"H56",0,0,0,0,1,1,0,"n"
"H64",0,0,0,0,0,0,1,
"H67",0,0,0,0,0,1,1,
"H68",0,0,0,0,1,1,0,"n"
"H70",0,0,0,0,0,0,1,
"H75",0,0,0,0,0,1,1,
"H76",1,0,0,0,1,1,0,"n"
"H77",0,0,0,0,1,0,0,"n"
"H78",0,0,0,0,0,1,0,
"H80",0,0,0,0,0,0,1,
"H83",0,0,1,0,0,0,0,"n"
"H84",0,0,0,1,1,0,1,"n"
"H85",0,0,0,1,1,1,1,"n"
"H86",1,0,0,0,0,1,0,"n"
"H87",0,0,0,1,0,0,0,"n"
"H88",0,0,0,0,1,1,0,"n"
"H90",0,0,0,0,0,0,1,
"H93",0,0,0,1,0,0,0,"n"
"H94",0,0,0,1,0,0,1,"n"
"H95",0,0,0,0,0,0,1,
"H96",0,0,0,1,0,1,1,"n"
"H97",0,0,0,0,0,1,0,
"H99",0,0,0,0,0,1,1,"n"
"HU44",0,0,0,0,1,0,0,"n"
"HU59",0,0,0,0,0,0,1,
"HY41",0,0,0,0,0,0,1,
"J00",0,0,0,0,0,1,1,
"J02",0,0,0,0,1,0,1,"n"
"J03",0,0,0,0,0,0,1,
"J04",0,0,0,1,0,1,1,"n"
"J05",0,0,0,1,1,1,1,"n"
"J06",0,0,0,1,0,0,0,"n"
"J07",0,0,0,0,0,0,1,
"J09",0,0,0,0,1,0,1,"n"
"J10",0,0,0,0,0,0,1,
"J11",0,0,0,0,1,0,1,"n"
"J12",0,0,0,0,1,0,0,"n"
"J14",1,0,0,1,1,0,1,"n"
"J16",0,0,0,0,0,0,1,"n"
"J18",0,0,1,0,0,1,1,"n"
"J20",0,0,0,0,0,0,1,
"J21",1,0,0,0,0,0,1,"n"
"J25",0,0,0,0,0,0,1,"n"
"J26",0,0,0,0,0,0,1,"n"
"J29",0,0,0,0,0,0,1,"n"
"J33",0,0,0,0,0,0,1,
"J34",0,0,0,0,0,0,1,
"J36",0,0,0,0,0,1,1,"n"
"J37",1,0,0,1,1,1,1,"n"
"J43",0,0,0,1,0,0,0,"n"
"J44",0,1,0,1,0,0,1,"n"
"J47",0,0,0,1,0,0,1,"n"
"J48",0,0,0,0,0,1,1,"n"
"J49",0,0,0,0,0,0,1,"n"
"J53",0,0,0,0,0,0,1,
"J54",0,0,0,0,1,0,1,"n"
"J55",1,0,0,0,1,0,0,"n"
"J57",0,0,0,0,1,0,1,"n"
"J58",0,0,0,0,1,0,0,"n"
"J64",0,0,0,0,0,0,1,
"J66",0,0,0,0,1,0,0,"n"
"L55",0,0,0,1,0,0,0,"n"
"L67",0,0,0,0,0,0,1,
"L98",0,0,0,0,0,0,1,
"M06",0,0,0,0,0,0,1,
"M08",0,0,0,0,0,0,1,
"M10",0,0,0,0,0,0,1,
"M14",0,0,0,0,0,0,1,
"M22",0,0,0,0,0,0,1,
"M28",0,0,0,0,0,0,1,
"M32",1,0,0,0,1,0,1,"n"
"M52",0,0,0,0,0,0,1,
"M67",0,0,0,0,0,0,1,
"M71",0,0,0,0,1,0,0,"n"
"M93",0,0,0,0,0,0,1,
"M95",0,0,0,0,0,0,1,
"N00",0,0,0,0,0,0,1,
"N01",0,0,0,0,0,0,1,
"N04",0,0,0,0,0,0,1,
"N10",0,0,0,0,0,0,1,
"N29",0,0,0,0,0,0,1,
"N42",0,0,0,0,0,0,1,
"N63",0,0,0,0,0,0,1,
"N68",0,0,0,0,1,0,0,"n"
"N72",0,0,0,0,0,1,1,
"N80",0,0,0,0,0,0,1,
"N81",0,0,0,0,0,0,1,
"N82",0,0,0,0,0,0,1,
"N84",0,0,0,0,0,0,1,
"N85",0,0,0,0,0,0,1,
"N92",0,0,0,0,0,0,1,
"N93",0,0,1,1,1,0,1,"n"
"N94",0,0,0,0,0,0,1,
"N95",0,0,0,0,0,0,1,
"NB32",0,0,0,0,0,0,1,
"NC02",0,0,0,0,0,0,1,
"NC70",0,0,0,0,1,0,1,"n"
"NC71",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND35",0,0,0,0,0,0,1,
"ND48",0,0,0,0,1,0,1,
"NG36",0,0,0,0,0,0,1,
"NG44",0,0,0,0,0,0,1,
"NG46",0,0,0,0,0,0,1,
"NH55",0,0,0,0,0,1,1,
"NH64",0,0,0,1,0,0,1,"n"
"NH67",0,0,0,0,0,0,1,
"NH74",0,0,0,0,0,0,1,
"NH75",0,0,0,0,1,0,1,"n"
"NH78",0,0,0,0,1,0,1,"n"
"NH79",0,0,0,0,1,0,1,"n"
"NH82",0,0,0,0,0,0,1,
"NH85",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,1,0,0,"n"
"NJ05",0,0,0,0,1,1,0,"n"
"NJ06",0,0,0,0,0,0,1,
"NJ15",0,0,0,0,0,1,0,
"NJ16",0,0,0,0,1,1,1,"n"
"NJ26",1,0,0,0,1,1,1,"n"
"NJ35",0,0,1,0,0,0,1,"n"
"NJ36",0,0,0,0,0,1,1,
"NJ45",0,0,0,0,1,1,0,"n"
"NJ54",0,0,0,0,0,1,0,
"NJ61",0,0,0,0,0,0,1,
"NJ62",0,0,0,0,0,1,1,
"NJ65",0,0,0,0,0,0,1,
"NJ66",0,1,1,0,0,1,0,"n"
"NJ70",0,0,0,0,0,0,1,
"NJ72",0,0,0,0,0,1,0,
"NJ73",0,0,0,0,0,1,0,
"NJ80",0,0,0,0,0,0,1,
"NJ81",0,0,0,0,0,0,1,
"NJ83",0,0,0,0,0,1,0,
"NJ90",1,0,0,0,0,0,1,"n"
"NJ91",0,0,0,0,0,1,1,
"NJ92",0,0,0,0,0,1,1,
"NJ93",0,0,0,0,1,0,0,"n"
"NJ95",0,0,0,0,0,1,0,
"NJ96",0,0,0,0,1,1,0,"n"
"NK14",0,0,0,0,0,1,1,
"NM65",0,0,0,0,1,0,0,"n"
"NM73",0,0,0,0,0,0,1,
"NM80",0,0,0,0,0,0,1,
"NN69",0,0,0,1,0,0,0,"n"
"NN82",0,0,0,0,1,0,0,"n"
"NN90",0,0,0,0,0,0,1,
"NN91",0,0,0,0,0,0,1,
"NN93",0,0,0,0,0,0,1,
"NN94",0,0,0,0,0,1,1,
"NN95",0,0,0,0,1,0,0,"n"
"NN96",0,0,0,0,0,0,1,
"NO01",0,0,0,0,0,0,1,
"NO03",0,0,0,0,0,1,1,
"NO11",0,0,0,1,0,0,1,"n"
"NO12",1,0,0,1,1,0,1,"n"
"NO20",0,0,0,0,0,0,1,
"NO21",0,0,0,0,1,0,0,"n"
"NO22",0,0,0,0,1,0,1,"n"
"NO23",0,0,0,0,0,0,1,
"NO30",0,0,0,0,0,1,0,
"NO31",0,0,0,0,1,0,0,"n"
"NO32",0,0,0,0,1,0,1,"n"
"NO33",0,0,0,0,1,0,1,"n"
"NO35",0,0,0,0,0,1,1,
"NO40",0,0,0,0,1,0,0,"n"
"NO41",0,0,0,0,1,0,1,"n"
"NO42",0,0,0,0,1,0,0,"n"
"NO43",0,0,0,0,1,0,1,"n"
"NO45",0,0,0,0,1,1,0,"n"
"NO49",0,0,0,0,0,0,1,
"NO50",0,0,0,0,1,0,0,"n"
"NO51",0,0,0,0,1,0,0,"n"
"NO53",0,0,1,0,1,1,1,"n"
"NO55",0,0,0,1,0,0,0,"n"
"NO57",0,0,0,0,0,0,1,
"NO59",0,0,0,0,1,0,0,"n"
"NO60",0,0,0,0,1,1,1,"n"
"NO64",0,0,0,1,0,0,1,"n"
"NO65",0,0,0,1,1,0,0,"n"
"NO66",0,0,0,0,1,0,1,"n"
"NO69",0,0,0,0,1,1,1,"n"
"NO75",0,0,0,0,0,1,1,"n"
"NO76",0,0,0,0,0,1,1,
"NO79",0,0,0,0,0,1,0,
"NO86",0,0,0,0,0,0,1,
"NO87",0,0,0,0,0,1,0,
"NO88",0,0,0,0,0,1,0,
"NO99",0,0,0,0,1,0,1,"n"
"NR62",0,0,0,0,0,1,0,
"NR71",0,0,0,0,0,0,1,
