"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B81",0,0,0,0,1,0,0,"n"
"B91",0,0,0,0,1,0,0,"n"
"B92",0,0,0,0,1,0,0,"n"
"C01",0,0,0,0,1,0,0,
"C02",1,0,0,0,0,0,0,
"C91",1,0,0,0,0,0,0,"n"
"D01",1,0,0,0,0,0,0,"n"
"D22",0,0,0,1,1,0,0,"n"
"F60",0,0,0,0,0,0,1,
"F64",0,0,0,0,0,0,1,
"F71",0,0,0,0,0,0,1,
"F72",0,0,0,0,0,0,1,
"F81",0,0,0,0,0,0,1,
"F84",0,0,0,0,0,0,1,
"G79",0,0,1,0,0,0,0,"n"
"H05",0,0,0,0,0,0,1,
"H06",0,1,0,0,0,0,0,"n"
"H67",1,0,0,0,0,0,0,
"HY20",0,0,0,0,0,0,1,
"J06",0,0,0,1,0,0,0,"n"
"J09",1,0,0,0,0,0,0,"n"
"J18",1,0,0,0,0,0,0,"n"
"L64",0,0,0,1,0,0,0,
"L74",0,0,0,1,0,1,0,
"L94",1,0,0,0,0,0,0,"n"
"L95",0,0,0,0,0,0,1,
"M07",0,0,0,0,0,0,1,
"N28",0,0,0,0,1,0,0,"n"
"N33",0,0,0,0,0,0,1,
"N36",0,0,1,0,0,0,0,
"N63",1,0,0,0,0,0,0,"n"
"NA91",1,0,0,0,0,0,0,"n"
"NB00",1,0,0,0,0,0,0,"n"
"NB01",0,0,1,0,0,0,0,"n"
"NB02",0,1,0,0,0,0,0,"n"
"NB10",0,1,0,0,0,0,0,"n"
"NB11",1,0,0,0,0,0,0,
"NB12",0,1,0,0,0,0,0,"n"
"NB21",0,0,0,0,1,1,1,"n"
"NB22",0,0,1,0,0,0,0,"n"
"NB31",0,0,1,0,0,0,0,"n"
"NB32",0,0,1,0,0,0,0,"n"
"NC02",1,0,0,0,0,0,0,"n"
"NC11",0,0,0,0,1,1,0,"n"
"NC12",0,0,0,0,0,0,1,
"NC13",0,0,0,0,0,1,0,
"NC14",1,1,0,0,1,0,0,"n"
"NC15",0,1,0,0,0,0,0,"n"
"NC21",0,0,0,0,0,1,0,
"NC22",1,0,0,0,1,0,1,"n"
"NC23",0,0,0,0,0,1,1,
"NC24",0,0,0,0,0,0,1,
"NC25",0,1,0,0,0,0,1,"n"
"NC26",0,1,0,0,0,0,0,"n"
"NC30",0,1,0,0,0,1,0,"n"
"NC31",1,0,1,0,0,0,0,"n"
"NC35",0,1,0,0,1,1,0,"n"
"NC43",0,0,0,0,0,0,1,
"NC44",0,0,0,0,0,1,1,
"NC45",0,0,0,0,1,0,1,"n"
"NC46",0,0,0,1,0,0,0,
"NC52",0,0,0,0,0,0,1,
"NC53",0,1,0,0,0,0,0,"n"
"NC63",0,0,1,0,0,0,0,
"NC71",0,0,0,0,0,1,0,
"NC72",0,0,0,0,0,1,0,
"NC74",0,0,0,0,0,1,0,
"ND17",0,0,0,1,0,0,0,"n"
"ND24",0,0,0,0,0,1,0,
"ND27",0,0,0,1,0,1,0,"n"
"ND28",0,0,0,0,0,0,1,
"NF09",1,0,0,0,0,0,0,"n"
"NF60",0,0,0,0,0,1,0,
"NF71",0,0,0,0,0,0,1,
"NF73",0,0,1,0,1,0,1,"n"
"NF77",0,0,0,0,0,0,1,
