"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",1,0,1,0,1,1,1,"n"
"B70",0,0,1,0,1,0,1,"n"
"B71",0,0,1,0,1,1,1,"n"
"B72",0,0,0,0,1,1,1,"n"
"B73",0,0,0,0,0,0,1,
"B80",0,0,0,0,1,0,0,"n"
"B81",0,0,0,0,1,1,0,"n"
"B82",0,0,1,0,0,1,0,"n"
"B83",0,0,0,0,1,1,0,"n"
"B84",1,0,1,0,1,1,1,"n"
"B90",0,0,1,0,1,0,1,"n"
"B91",1,0,1,0,1,1,1,"n"
"B92",0,0,1,0,1,1,1,"n"
"B94",0,0,0,0,0,1,1,
"C00",0,0,0,0,0,1,0,
"C02",0,0,1,0,1,1,0,"n"
"C03",0,0,1,0,1,1,1,"n"
"C04",0,0,0,0,1,1,1,"n"
"C12",0,0,0,0,1,1,1,"n"
"C13",0,0,0,0,0,0,1,
"C14",0,0,1,0,1,0,1,"n"
"C20",0,0,0,0,0,0,1,
"C23",0,0,1,0,1,1,1,"n"
"C24",1,0,1,0,1,1,1,"n"
"C31",0,0,0,0,0,0,1,
"C32",0,0,0,0,1,1,0,"n"
"C33",0,0,0,0,1,0,1,"n"
"C34",0,0,0,0,1,0,1,"n"
"C35",0,0,0,0,1,0,1,"n"
"C36",0,0,0,0,0,0,1,
"C40",0,0,1,0,1,0,1,"n"
"C42",0,0,0,0,0,1,1,
"C43",0,0,0,0,1,1,1,"n"
"C44",0,0,1,0,1,0,1,"n"
"C45",0,0,0,0,1,0,1,"n"
"C50",0,0,0,0,1,0,0,"n"
"C53",0,0,0,0,1,0,0,"n"
"C54",0,0,1,0,1,1,1,"n"
"C55",0,0,0,0,1,0,1,"n"
"C60",0,0,0,0,0,0,1,
"C64",0,0,0,0,0,1,1,
"C70",0,0,1,0,1,1,1,"n"
"C71",0,0,0,0,1,0,0,"n"
"C73",0,0,0,0,1,0,1,"n"
"C81",0,0,0,1,0,0,0,"n"
"C90",0,0,0,1,0,0,0,"n"
"C91",0,0,0,0,0,0,1,
"C93",0,0,0,1,1,0,1,"n"
"C94",0,0,0,0,1,0,0,"n"
"D01",0,0,1,1,1,0,0,"n"
"D02",0,0,0,0,1,0,0,"n"
"D03",0,0,0,1,1,0,0,"n"
"D04",0,0,1,1,1,1,1,"n"
"D05",0,0,0,0,0,0,1,
"D11",1,0,1,1,1,1,1,"n"
"D12",0,0,1,1,1,1,1,"n"
"D13",0,0,0,1,1,1,1,"n"
"D14",1,0,1,1,1,0,1,"n"
"D15",0,0,0,0,1,0,1,"n"
"D20",0,0,1,1,1,0,1,"n"
"D21",0,0,1,1,1,1,1,"n"
"D22",0,0,1,0,1,1,1,"n"
"D23",0,0,1,1,1,0,1,"n"
"D24",0,0,0,0,1,0,1,"n"
"D30",0,0,0,0,1,0,1,"n"
"D31",0,0,0,0,1,0,0,"n"
"F50",1,0,1,0,0,0,1,"n"
"F60",1,0,1,0,1,0,1,"n"
"F63",0,0,0,0,0,0,1,
"F64",0,0,0,0,0,0,1,
"F73",0,0,1,0,0,0,1,"n"
"F74",0,0,0,0,1,0,1,"n"
"F80",0,0,0,0,1,0,0,
"F81",0,0,0,0,1,0,0,
"F84",0,0,0,0,1,0,1,"n"
"F90",0,0,1,0,0,0,0,"n"
"F91",0,0,1,0,1,1,1,"n"
"F92",0,0,0,0,1,0,0,
"F93",0,0,0,0,0,0,1,
"F94",0,0,1,0,1,0,1,"n"
"G01",0,0,0,0,1,0,0,
"G02",1,0,1,0,0,0,1,"n"
"G03",0,0,1,0,1,0,0,"n"
"G04",0,0,1,0,1,0,1,"n"
"G10",0,0,1,0,0,0,1,"n"
"G11",1,0,0,0,0,0,0,"n"
"G14",0,0,1,0,0,0,1,"n"
"G31",1,0,0,0,1,0,0,"n"
"G32",1,0,0,0,1,0,1,"n"
"G41",1,0,0,0,1,0,0,"n"
"G42",1,0,0,0,1,1,0,"n"
"G48",0,0,1,0,1,0,1,"n"
