"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H67",0,0,0,0,0,1,0,
"H81",0,0,0,0,0,0,1,
"J00",0,0,0,0,0,0,1,
"J37",1,0,0,0,0,0,0,"a"
"N00",0,0,0,0,0,0,1,
"N37",0,0,1,0,0,0,0,"a"
"N72",0,0,0,1,1,0,1,"a"
"N74",0,0,0,0,0,1,0,
"N80",0,0,0,0,1,0,0,"a"
"N84",0,0,0,1,1,0,0,"a"
"N85",0,0,0,0,1,0,0,"a"
"N89",0,0,0,0,0,0,1,
"N90",0,0,0,0,1,0,0,"a"
"N92",0,0,0,0,1,0,1,"a"
"N93",0,0,0,1,1,0,0,"a"
"N94",0,0,0,0,0,0,1,
"NJ06",0,0,0,1,0,0,0,"a"
"NO51",1,0,0,0,0,0,0,"a"
"NR60",0,0,1,0,0,0,0,"a"
"NR61",0,0,1,0,0,0,0,"a"
"NR72",0,0,1,0,0,0,0,"a"
"NS47",1,0,0,0,0,0,0,"a"
"NS76",1,0,0,0,0,0,0,"a"
"NS77",0,0,1,0,0,0,0,"a"
"NS80",0,0,0,0,1,0,0,"a"
"NS98",1,1,0,0,0,0,0,"a"
"NS99",1,0,0,0,0,0,0,"a"
"NT08",1,0,0,0,0,0,0,"a"
"NT18",1,1,0,0,0,0,0,"a"
"NT27",0,0,0,1,0,0,0,"a"
"NT28",1,1,0,0,0,0,0,"a"
"NT37",1,0,0,0,0,0,0,"a"
"NT39",1,1,0,0,0,0,0,"a"
"NT47",1,0,0,0,0,0,0,"a"
"NT53",1,0,1,0,0,0,0,"a"
"NT72",1,0,1,0,0,0,0,"a"
"NT73",1,0,1,0,0,0,0,"a"
"NU20",0,0,0,1,0,0,0,"a"
"NX88",0,0,1,0,0,0,0,"a"
"NY33",0,0,1,0,0,0,0,"a"
"NY34",0,0,1,0,0,0,0,"a"
"NY44",0,0,1,0,0,0,0,"a"
"NY74",0,0,1,0,0,0,0,"a"
"NZ11",0,0,0,0,0,1,0,
"NZ16",0,0,0,1,0,0,0,
"NZ18",0,0,0,0,1,0,0,"a"
"NZ24",0,0,0,0,1,0,0,
"NZ26",1,0,0,1,1,0,0,"a"
"NZ35",1,0,0,0,0,0,0,"a"
"NZ36",0,0,0,1,0,0,0,"a"
"NZ37",1,0,0,0,0,1,1,"a"
"NZ38",0,0,0,0,0,0,1,
"NZ51",0,0,0,0,1,0,0,"a"
"NZ53",1,0,0,1,1,0,0,"a"
"NZ71",0,0,0,0,0,1,0,
"NZ81",0,0,0,0,1,1,0,"a"
"NZ91",0,0,0,0,0,1,0,
"O02",0,0,0,0,1,0,1,"a"
"O03",0,0,0,1,1,0,1,"a"
"O04",0,0,0,0,1,0,0,"a"
"O06",0,0,0,0,1,0,0,"a"
"O08",0,0,0,0,1,0,0,"a"
"O12",0,0,1,0,1,0,1,"a"
"O13",1,0,1,1,1,1,1,"a"
"O14",0,0,0,1,1,0,1,"a"
"O15",0,0,0,0,1,0,1,"a"
"O16",0,0,0,0,0,0,1,
"O17",0,0,0,0,0,1,0,
"O20",0,0,0,0,1,0,1,"a"
"O21",0,0,0,0,1,0,1,"a"
"O22",0,0,1,0,1,1,1,"a"
"O23",0,0,0,0,1,1,1,"a"
"O24",0,0,0,0,1,0,1,"a"
"O25",0,0,0,0,1,1,1,"a"
"O26",0,0,0,0,1,0,1,"a"
"O30",0,0,0,0,0,0,1,
"R25",0,0,0,0,1,0,0,"a"
"R55",1,0,0,0,0,0,0,"a"
"R89",0,0,0,0,1,0,0,"a"
"S32",0,0,0,0,0,1,0,
"S34",0,0,0,0,0,0,1,
"S41",0,0,0,0,0,1,0,
"S42",0,0,0,0,0,1,0,
"S45",0,0,0,0,0,0,1,
"S46",0,0,0,0,0,0,1,
"S50",1,1,0,0,1,1,1,
"S51",1,1,0,0,1,1,1,
"S54",0,0,0,0,1,0,0,"a"
"S55",0,0,0,0,1,0,1,"a"
"S56",0,0,0,0,1,0,0,"a"
"S60",0,0,0,0,1,1,1,"a"
"S61",1,0,1,0,1,1,1,"a"
"S65",0,0,0,0,1,0,0,"a"
"S70",0,0,0,0,0,1,0,
"S71",0,0,0,0,1,1,1,"a"
"S72",0,1,0,0,0,1,0,
"S74",1,0,0,0,0,0,0,"a"
"S75",1,0,0,0,0,0,1,"a"
"S91",0,0,0,0,0,0,1,
"S93",1,0,0,0,0,0,0,
"S94",0,0,0,0,0,0,1,
"SC16",1,1,1,0,0,0,0,"a"
"SC26",0,0,1,0,1,0,0,"a"
"SC37",0,0,0,1,0,0,0,"a"
"SC39",1,0,1,0,0,0,0,"a"
"SD17",0,0,1,0,0,0,0,"a"
"SD20",0,1,0,0,0,0,0,"a"
"SD21",0,1,0,0,0,0,0,
"SD27",0,0,1,0,0,0,0,"a"
"SD30",0,0,0,0,1,0,0,
"SD31",0,0,0,0,1,0,0,
"SD33",0,0,1,0,0,0,0,"a"
"SD34",1,0,0,0,0,0,0,"a"
"SD44",1,0,1,0,0,0,0,"a"
"SD48",0,0,0,0,0,1,0,
"SD54",0,0,1,0,0,0,0,"a"
"SD62",0,0,0,1,1,1,0,"a"
"SD64",0,0,0,0,0,0,1,
"SD66",0,0,1,0,0,0,0,"a"
"SD75",0,0,1,0,0,0,0,"a"
"SD81",0,0,1,0,0,0,0,
"SD84",0,0,0,0,0,0,1,
"SE13",0,0,0,0,0,1,0,
"SE21",1,0,0,0,0,0,0,"a"
"SE22",0,0,0,1,1,0,0,"a"
"SE23",1,0,0,0,0,0,0,"a"
"SE27",0,0,0,0,0,1,0,
"SE32",0,0,0,0,0,1,1,
"SE37",1,0,1,0,0,0,0,"a"
"SE40",0,0,0,0,0,1,0,
"SE41",0,0,0,0,0,1,0,
"SE50",0,0,0,0,0,1,0,
"SE57",0,0,0,0,0,1,0,
"SE68",0,0,0,0,0,1,0,
"SE80",0,0,0,1,0,1,0,"a"
"SH36",0,0,0,0,1,0,0,
"SH46",0,0,0,0,0,0,1,
"SH53",0,0,1,0,0,0,0,"a"
"SH57",0,0,1,0,0,0,0,"a"
"SH61",0,0,1,0,1,0,0,"a"
"SH67",0,0,0,0,1,0,0,"a"
"SH78",0,0,0,0,1,0,1,"a"
"SH87",0,0,0,0,1,0,0,"a"
"SJ10",0,1,0,0,0,0,0,"a"
"SJ17",0,0,0,1,0,0,0,"a"
"SJ25",0,0,0,0,0,1,0,
"SJ26",0,0,0,0,1,0,0,"a"
"SJ28",0,0,0,0,0,1,0,
"SJ36",0,0,0,1,0,1,0,"a"
"SJ38",1,1,0,0,0,0,0,"a"
"SJ39",1,0,0,0,0,1,0,
"SJ40",0,0,0,0,1,1,1,"a"
"SJ41",1,0,1,1,1,1,1,"a"
