"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G20",0,0,0,0,0,0,1,"n"
"J06",0,0,1,0,0,0,0,"a"
"L71",0,0,0,0,0,0,1,"n"
"L80",1,0,0,0,0,0,1,"n"
"L81",0,0,0,0,0,0,1,"n"
"L83",0,0,1,0,0,0,0,"n"
"L84",0,0,0,0,0,0,1,"n"
"L90",0,0,0,0,0,0,1,"n"
"L96",0,0,0,0,0,0,1,"n"
"M02",0,0,0,0,1,0,0,"n"
"M04",0,0,0,0,1,0,1,"n"
"M06",0,0,1,0,0,0,0,"n"
"M08",0,0,0,0,1,0,0,"n"
"M13",0,0,0,0,1,0,1,"n"
"M14",1,0,0,1,1,0,1,"n"
"M15",0,0,0,0,1,1,1,"n"
"M16",0,0,0,0,0,1,0,"n"
"M17",0,0,0,0,0,1,0,"n"
"M19",0,0,0,0,0,0,1,"n"
"M22",1,0,0,0,0,0,1,"n"
"M23",1,0,1,0,1,1,1,"n"
"M24",1,0,1,0,0,1,1,"n"
"M25",0,0,0,0,1,0,1,"n"
"M26",0,0,0,0,0,0,1,"n"
"M27",0,0,0,0,0,0,1,"n"
"M29",0,0,0,0,0,0,1,"n"
"M31",0,0,1,0,0,0,1,"n"
"M39",0,0,0,0,1,0,0,"n"
"M46",0,0,0,0,0,0,1,"n"
"M48",0,0,0,0,1,0,0,"n"
"M51",0,0,0,0,0,0,1,"n"
"M52",0,0,0,1,1,0,0,"n"
"M58",0,0,0,0,1,0,0,"n"
"M59",0,0,0,0,0,0,1,"n"
"M90",0,0,0,0,0,0,1,"n"
"N06",0,0,0,0,0,0,1,
"N11",0,0,0,0,0,1,0,"n"
"N46",0,0,0,0,0,0,1,"n"
"NN60",1,0,1,0,0,0,1,"a"
"NN71",0,0,1,0,0,0,0,"a"
"NO33",0,0,0,0,1,0,0,"a"
"NS24",0,0,0,0,0,0,1,"a"
"NS56",0,0,0,1,0,0,0,
"NS97",1,0,0,0,0,0,0,"a"
"NT07",1,0,0,0,0,0,0,"a"
"NT16",1,0,0,0,0,0,1,"a"
"NT27",0,0,1,1,1,1,1,"a"
"NT73",1,0,1,0,0,0,0,"n"
"NU00",0,0,0,1,0,0,0,"n"
"NU10",0,0,0,0,1,0,0,"n"
"NU12",0,0,0,1,0,0,0,"n"
"NU20",0,0,0,0,0,0,1,"n"
"NU22",0,0,0,1,0,0,0,"n"
"NY01",0,0,0,0,0,1,0,"n"
"NY08",0,0,0,0,1,0,0,"a"
"NY22",0,0,0,0,0,1,0,"n"
"NY35",0,0,0,0,0,0,1,"n"
"NY42",0,0,0,0,0,1,0,"n"
"NY60",0,0,0,0,0,1,1,"n"
"NY70",0,0,0,0,1,1,1,"n"
"NY71",0,1,0,0,0,0,1,"n"
"NY81",0,0,0,1,1,1,1,"n"
"NY82",1,0,0,0,0,0,0,"n"
"NY86",0,0,0,1,1,1,1,"n"
"NY87",1,0,1,0,0,0,0,"n"
"NY92",0,0,1,0,0,0,0,"n"
"NY96",0,0,0,1,0,1,1,"n"
"NY97",1,0,0,1,0,0,0,"n"
"NY99",0,0,0,0,1,0,1,"n"
"NZ03",0,0,0,1,0,0,0,"n"
"NZ06",0,0,0,1,0,0,0,"n"
"NZ08",0,0,0,0,0,0,1,"n"
"NZ10",0,0,1,0,0,0,1,"n"
"NZ13",0,0,0,1,0,0,0,"n"
"NZ15",0,0,0,1,0,1,0,"n"
"NZ16",0,0,0,1,1,1,1,"n"
"NZ18",0,0,1,1,1,1,1,"n"
"NZ19",0,0,0,0,0,0,1,"n"
"NZ20",1,0,1,0,0,0,1,"n"
"NZ21",0,0,0,1,0,0,0,"n"
"NZ22",0,0,0,0,1,0,0,"n"
"NZ24",0,0,0,0,0,0,1,"n"
"NZ25",0,0,0,0,0,1,1,"n"
"NZ26",0,0,0,0,1,0,0,"n"
"NZ27",0,0,0,0,1,0,0,"n"
"NZ28",1,0,1,1,1,1,1,"n"
"NZ29",0,0,0,1,0,0,1,"n"
"NZ30",1,0,1,0,0,1,0,"n"
"NZ31",0,0,0,1,0,0,0,"n"
"NZ32",0,0,0,1,0,0,0,"n"
"NZ34",0,0,0,0,1,1,0,"n"
"NZ35",1,0,0,1,0,0,1,"n"
"NZ36",0,0,1,0,1,1,0,"n"
"NZ40",0,0,0,0,0,1,0,"n"
"NZ41",0,0,0,1,1,1,0,"n"
"NZ42",0,0,0,0,0,1,0,"n"
"NZ43",1,0,0,0,0,0,0,"n"
"NZ44",0,0,1,0,0,1,1,"n"
"NZ45",0,0,0,0,1,0,0,"n"
"NZ50",0,0,1,1,1,0,0,"n"
"NZ51",0,0,0,1,1,0,0,"n"
"NZ52",0,0,0,0,1,0,0,"n"
"NZ53",1,0,0,0,0,0,0,"n"
"NZ70",0,0,0,0,0,1,0,"n"
"NZ72",0,0,0,0,1,0,0,"n"
"NZ80",0,0,1,1,1,1,1,"n"
"Q30",1,0,1,0,1,0,0,"n"
"Q60",0,0,0,0,1,0,1,"n"
"Q61",0,0,1,0,1,0,0,"n"
"Q70",0,0,0,0,1,0,1,"n"
"Q81",0,0,0,0,1,0,1,"n"
"Q82",1,0,0,0,0,0,1,"n"
"Q90",1,0,0,0,0,0,1,"n"
"R00",0,0,0,0,0,0,1,"n"
"R04",1,0,0,0,0,0,1,"n"
"R12",0,0,0,0,1,0,1,"n"
"R13",0,0,0,0,0,0,1,"n"
"R14",0,0,0,0,1,1,1,"n"
"R22",0,0,1,0,0,1,1,"n"
"R23",0,0,0,0,1,1,1,"n"
"R24",1,0,1,0,1,1,1,"n"
"R25",1,0,1,1,1,1,1,"n"
"R27",0,0,0,0,1,0,0,"n"
"R31",0,0,0,0,0,0,1,"n"
"R32",0,0,1,0,1,0,1,"n"
"R33",0,0,1,0,1,1,1,"n"
"R34",1,0,1,0,0,0,1,"n"
"R35",0,0,0,1,0,1,0,"n"
"R36",0,0,0,0,0,0,1,"n"
"R37",1,0,1,0,0,0,0,"n"
"R39",0,0,0,0,1,0,0,"n"
"R40",0,0,0,0,1,0,0,"n"
"R41",0,0,1,0,1,0,0,"n"
"R42",0,0,0,0,1,0,1,"n"
"R43",1,0,1,0,1,0,1,"n"
"R44",0,0,0,0,1,1,1,"n"
"R45",1,0,1,0,1,0,0,"n"
"R50",0,0,0,0,1,0,1,"n"
"R51",0,0,1,1,1,0,1,"n"
"R52",0,0,1,0,1,0,1,"n"
"R53",0,0,1,0,1,0,1,"n"
"R54",1,0,0,0,0,0,1,"n"
"R55",1,0,0,0,1,0,1,"n"
"R57",0,0,0,0,0,1,0,"n"
"R60",0,0,1,0,1,0,1,"n"
"R61",0,0,0,0,1,0,1,"n"
"R62",1,0,1,0,1,1,1,"n"
"R63",0,0,1,0,1,0,1,"n"
"R64",0,0,0,0,1,0,1,"n"
"R65",1,0,1,0,1,1,1,"n"
"R66",0,0,1,0,1,0,1,"n"
"R70",0,0,1,0,1,0,1,"n"
"R71",0,0,0,0,1,1,1,"n"
"R72",0,0,0,0,0,0,1,"n"
"R73",0,0,0,0,0,0,1,"n"
"R74",0,0,0,0,1,1,1,"n"
"R75",1,0,0,0,1,1,1,"n"
"R80",0,0,0,0,1,0,0,"n"
"R81",0,0,0,0,1,0,0,"n"
"R83",0,0,1,0,1,0,0,"n"
"R84",0,0,1,0,1,1,1,"n"
"R85",0,0,0,0,0,0,1,"n"
"R86",0,0,0,0,0,0,1,"n"
"R87",0,0,0,0,0,0,1,"n"
"R89",0,0,0,0,0,0,1,"n"
"R96",0,0,0,1,0,0,0,"n"
"R97",0,0,0,0,1,0,0,"n"
"R98",0,0,0,0,0,0,1,"n"
"R99",0,0,0,0,1,0,0,"n"
"S02",0,0,0,0,1,0,0,"n"
"S06",0,0,0,1,0,0,0,"n"
"S08",0,0,0,0,0,0,1,"n"
"S18",0,0,0,0,1,0,0,"n"
"S19",0,0,0,0,0,1,0,"n"
"S23",0,0,1,0,0,0,1,"n"
"S24",0,0,0,0,0,0,1,"n"
"S27",1,0,0,0,0,0,0,"n"
"S40",0,0,0,0,0,1,0,"n"
"S41",0,0,0,0,0,1,0,"n"
"S42",0,0,0,0,0,1,0,"n"
"S50",0,0,0,0,1,1,0,"n"
"S51",0,0,0,0,1,1,1,"n"
"SD20",1,0,0,0,0,0,0,"n"
"SD27",0,0,0,0,0,0,1,"n"
"SD33",1,0,0,0,0,1,0,"n"
"SD40",0,0,0,0,0,0,1,"n"
"SD41",0,0,0,0,0,0,1,"n"
"SD42",0,0,0,1,1,0,0,"n"
"SD43",0,0,0,0,1,0,0,"n"
"SD44",1,0,1,0,0,0,0,"n"
"SD45",0,0,1,1,1,0,1,"n"
"SD46",0,0,1,1,1,0,0,"n"
"SD47",0,0,1,1,1,1,1,"n"
"SD48",0,0,0,1,0,1,0,"n"
"SD50",0,0,1,0,0,0,0,"n"
"SD51",0,0,1,1,1,1,1,"n"
"SD52",1,1,1,1,1,1,1,"n"
"SD53",0,0,1,0,1,1,1,"n"
"SD54",1,0,1,0,0,1,1,"n"
"SD55",1,0,1,0,0,0,0,"n"
"SD56",0,0,0,0,0,0,1,"n"
"SD57",0,0,1,1,1,1,0,"n"
"SD58",0,0,0,0,0,1,1,"n"
