"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C40",0,0,0,0,0,0,1,
"C60",0,0,0,0,1,0,0,"a"
"C93",0,0,0,0,0,0,1,
"D00",0,0,0,0,0,1,0,
"D02",0,0,0,0,0,0,1,
"D10",0,0,0,0,0,1,0,
"D31",0,0,0,0,0,0,1,
"G73",0,0,0,0,1,0,0,"a"
"G75",0,0,0,0,1,0,0,"a"
"G96",0,0,0,0,1,0,0,"a"
"H13",0,0,0,0,0,1,0,
"H15",0,1,0,0,0,0,0,
"H24",0,1,0,0,0,0,0,
"H25",0,0,0,0,1,1,1,"a"
"H26",0,0,0,0,1,0,0,"a"
"H35",0,0,0,0,1,0,0,"a"
"H36",0,0,0,0,0,0,1,
"H38",0,0,0,0,1,1,0,"a"
"H39",0,0,0,0,1,1,1,"a"
"H42",0,0,0,0,0,1,0,
"H44",0,0,0,0,0,1,0,
"H47",0,0,0,0,1,1,1,"a"
"H48",0,0,0,0,1,0,1,"a"
"H52",0,0,0,0,1,0,1,
"H55",0,0,0,0,0,1,0,
"H56",0,0,0,0,0,0,1,
"H58",0,0,0,1,0,0,0,"a"
"H62",0,0,0,0,1,0,0,"a"
"H63",0,0,0,0,1,0,0,"a"
"H64",0,0,0,0,1,1,1,"a"
"H73",0,0,0,0,0,0,1,
"H74",0,0,0,0,0,1,1,
"H76",0,0,0,0,1,1,1,"a"
"H77",0,0,0,0,1,0,1,"a"
"H78",0,0,0,0,1,0,1,"a"
"H79",0,0,0,0,1,1,1,"a"
"H82",0,0,0,1,0,0,0,"a"
"H85",0,0,0,0,1,0,0,"a"
"H87",0,0,0,1,1,0,0,"a"
"H88",0,0,0,0,1,1,0,"a"
"H89",0,0,0,0,1,0,0,"a"
"H96",0,0,0,1,0,0,0,"a"
"H97",1,0,0,0,1,0,0,"a"
"H98",0,0,0,0,1,0,1,"a"
"H99",0,0,0,0,1,0,0,"a"
"HY31",0,0,0,0,0,0,1,
"J14",0,0,0,0,0,0,1,
"J17",0,0,0,0,1,0,0,"a"
"J18",0,0,0,0,0,1,1,
"J27",0,0,0,0,1,1,0,"a"
"J29",0,0,0,0,0,0,1,
"J33",0,0,0,0,0,0,1,
"J36",0,0,0,0,0,1,0,
"J37",0,0,0,0,1,0,0,
"J38",0,0,0,0,0,1,0,
"J39",0,0,0,0,0,0,1,
"J54",0,0,0,0,0,0,1,
"N44",0,0,0,0,0,0,1,
"N98",0,0,0,0,0,0,1,
"NC32",0,0,0,0,0,0,1,
"NC42",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC63",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,1,1,
"NC82",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"NC92",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND12",0,0,0,0,0,0,1,
"ND15",0,0,0,0,0,0,1,
"ND16",0,0,0,0,0,0,1,
"ND27",0,0,0,0,0,1,0,
"NG35",0,0,0,1,0,0,1,
"NG36",0,0,0,0,0,0,1,
"NG50",0,0,0,0,0,0,1,
"NG51",0,0,0,1,0,0,0,
"NG53",0,1,0,0,0,0,0,
"NG60",0,0,0,0,0,0,1,
"NG82",0,0,0,0,0,1,0,
"NG94",0,0,0,0,0,0,1,
"NH30",0,0,0,1,0,0,1,
"NH45",0,0,0,0,0,1,1,
"NH52",0,1,0,0,0,0,0,
"NH53",0,1,0,0,0,0,1,
"NH55",0,0,0,0,0,1,1,
"NH64",0,0,1,1,1,1,1,"a"
"NH68",0,0,0,0,0,1,1,
"NH69",0,0,0,0,0,0,1,
"NH70",0,0,0,0,0,0,1,
"NH74",0,0,1,0,0,0,1,
"NH75",0,0,0,0,1,1,0,"a"
"NH76",0,0,0,0,1,0,0,"a"
"NH77",0,0,0,0,0,1,0,
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH84",0,0,1,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NH91",0,0,0,0,0,0,1,
"NH92",0,0,0,0,1,1,1,"a"
"NH95",0,0,1,0,0,0,1,
"NJ02",0,0,0,0,0,1,1,
"NJ03",0,0,0,0,1,0,1,"a"
"NJ04",0,0,0,0,0,0,1,
"NJ05",0,1,0,1,1,1,1,"a"
"NJ06",0,0,0,0,1,0,1,"a"
"NJ13",0,0,0,0,0,1,1,
"NJ15",0,0,0,0,0,1,1,
"NJ16",0,0,0,0,0,0,1,
"NJ24",0,0,1,0,1,1,1,"a"
"NJ25",0,0,0,0,1,0,1,"a"
"NJ26",1,1,0,0,0,0,1,
"NJ33",0,0,0,0,0,1,0,
"NJ34",0,0,1,0,1,0,1,
"NJ35",1,0,0,0,1,1,1,"a"
"NJ36",0,1,0,0,1,1,1,"a"
"NJ41",0,0,0,0,0,0,1,
"NJ43",0,0,0,0,0,1,1,
"NJ44",0,0,1,0,0,1,0,
"NJ45",0,0,0,0,0,1,1,
"NJ46",0,0,1,0,0,0,0,
"NJ50",0,0,0,0,0,0,1,
"NJ52",0,0,0,0,1,0,0,"a"
"NJ54",0,0,0,1,0,0,0,
"NJ55",0,0,0,0,0,0,1,
"NJ56",0,0,1,0,0,1,1,
"NJ61",0,0,0,0,0,0,1,
"NJ62",0,0,0,0,1,1,0,"a"
"NJ65",0,0,0,0,1,1,0,
"NJ66",1,0,0,0,0,1,1,
"NJ71",0,0,0,0,1,1,1,"a"
"NJ72",0,0,0,0,1,1,0,"a"
"NJ73",0,0,0,0,0,1,0,
"NJ74",0,0,0,0,0,1,1,
"NJ75",0,0,0,0,0,1,0,
"NJ76",0,0,0,0,1,0,0,
"NJ80",0,1,0,0,1,1,1,"a"
"NJ81",0,0,0,0,0,1,1,
"NJ82",0,0,0,0,0,1,0,
"NJ83",0,0,0,0,0,1,1,
"NJ84",0,0,0,0,0,1,0,
"NJ85",0,0,0,0,0,1,0,
"NJ90",0,0,0,0,0,1,1,
"NJ91",0,0,0,0,0,1,0,
"NJ92",0,0,0,0,0,1,1,
"NJ95",0,0,0,0,1,0,0,"a"
"NJ96",0,0,0,0,0,1,0,
"NK03",0,0,0,0,0,1,0,
"NK04",0,0,0,0,1,1,0,"a"
"NK05",0,0,0,0,0,1,0,
"NK14",0,0,0,0,1,0,1,"a"
"NM35",0,0,1,1,0,0,0,
"NM43",1,0,0,0,0,0,0,
"NM54",0,0,0,0,0,1,0,
"NM82",0,0,0,0,0,1,0,
"NM83",0,0,0,0,1,0,1,
"NM94",0,0,0,0,0,1,0,
"NM96",1,0,0,0,0,0,0,"a"
"NN00",0,0,0,0,1,0,0,"a"
"NN03",0,0,0,0,0,1,1,
"NN07",0,0,0,0,0,0,1,
"NN10",0,0,0,0,0,0,1,
"NN20",0,0,0,0,1,0,0,"a"
"NN30",0,0,0,0,0,0,1,
"NN50",0,0,0,0,0,1,1,
"NN53",0,0,0,0,0,0,1,
"NN60",0,0,0,0,1,0,1,"a"
"NN69",0,0,0,1,0,0,0,
"NN70",0,0,0,0,0,0,1,
"NN72",0,0,0,1,1,0,1,"a"
"NN80",0,0,0,0,0,0,1,
"NN81",0,0,0,0,1,1,0,
"NN82",0,0,0,0,1,1,0,"a"
"NN84",0,0,0,0,0,0,1,
"NN86",0,0,0,0,0,0,1,
"NN95",0,0,0,0,0,0,1,
"NO00",0,0,0,1,1,0,1,"a"
"NO01",1,0,1,1,0,1,0,"a"
"NO02",1,0,0,1,1,1,1,"a"
"NO03",0,0,0,0,1,1,1,
"NO04",0,0,0,0,0,0,1,
"NO06",0,0,0,0,0,1,0,
"NO08",0,0,0,0,0,0,1,
"NO10",0,0,0,1,0,0,0,"a"
"NO11",0,0,0,0,0,0,1,
"NO12",0,0,0,0,0,1,1,
"NO13",0,0,0,0,1,0,1,
"NO14",0,0,0,1,1,1,0,"a"
"NO20",0,0,0,0,1,0,0,"a"
"NO21",0,0,0,0,1,0,0,
"NO23",0,0,0,0,0,0,1,
"NO24",0,0,0,0,1,1,0,"a"
"NO25",0,0,1,0,0,0,0,
"NO30",0,0,0,0,0,1,0,
"NO31",0,0,0,0,1,0,1,"a"
"NO32",0,0,0,1,0,0,1,"a"
"NO33",0,0,0,1,0,0,1,"a"
"NO34",0,0,0,0,0,0,1,
"NO35",0,0,0,0,1,1,0,"a"
"NO40",0,0,0,0,1,0,0,"a"
"NO41",0,0,0,0,1,0,1,"a"
"NO43",0,0,0,1,0,0,1,"a"
"NO44",0,0,0,1,0,1,0,"a"
"NO45",0,0,0,1,0,1,1,"a"
"NO47",0,0,0,0,0,0,1,
"NO50",0,0,0,0,1,0,0,"a"
"NO51",0,0,0,0,1,0,0,"a"
"NO54",0,0,0,0,1,0,1,"a"
"NO55",0,0,0,0,0,1,0,
"NO57",0,0,0,0,0,0,1,
"NO66",0,0,0,0,0,0,1,
"NO69",0,1,0,0,0,1,1,
"NO76",0,0,0,1,0,0,0,"a"
"NO77",0,0,0,0,0,1,0,
"NO87",0,0,0,0,1,0,0,"a"
"NO88",0,1,0,0,0,1,1,
"NO99",0,0,0,0,0,1,0,
"NR36",0,0,0,0,1,0,0,
"NR39",1,0,0,0,0,0,1,
"NR63",0,0,0,0,0,1,0,
"NR93",0,0,0,0,0,0,1,
"NS02",0,0,0,0,0,1,1,
"NS03",0,0,0,0,0,0,1,
"NS04",0,0,0,0,0,0,1,
"NS05",0,0,0,0,0,1,1,
"NS06",0,0,0,0,0,0,1,
"NS15",0,0,0,0,0,0,1,
"NS16",0,0,0,0,1,0,1,"a"
"NS18",0,0,0,0,1,0,0,"a"
"NS21",0,0,1,1,0,0,0,"a"
"NS27",0,0,0,0,1,0,1,"a"
"NS28",0,0,1,1,1,0,1,"a"
"NS29",0,0,0,1,1,0,0,"a"
"NS31",0,0,0,0,1,0,1,"a"
"NS32",0,0,0,0,1,0,1,"a"
"NS34",0,0,0,0,1,1,1,"a"
"NS35",0,0,0,0,1,0,0,"a"
"NS36",0,0,1,1,1,1,1,"a"
"NS37",0,0,0,1,1,1,1,"a"
"NS38",0,0,0,1,1,1,1,"a"
"NS42",0,0,0,0,0,0,1,
"NS45",0,0,0,0,1,0,1,"a"
"NS46",0,0,1,1,1,1,1,"a"
"NS47",0,0,0,1,1,0,1,"a"
"NS48",0,0,0,0,0,0,1,
"NS55",0,0,1,1,1,1,1,"a"
"NS56",0,0,0,1,1,1,1,"a"
"NS57",0,0,0,1,1,1,1,"a"
"NS59",0,0,0,0,0,1,1,
"NS65",0,0,0,1,1,1,1,"a"
"NS66",0,0,0,1,1,1,1,
"NS67",0,0,0,1,1,1,1,"a"
"NS69",0,0,0,0,0,0,1,
"NS74",0,0,0,0,1,1,1,
"NS75",0,0,0,0,1,1,1,"a"
"NS76",0,0,0,0,1,1,1,
"NS77",0,0,0,0,1,1,1,"a"
"NS79",0,0,0,0,1,0,1,"a"
"NS83",0,0,0,0,0,0,1,
"NS84",0,0,0,0,1,1,1,"a"
"NS86",0,0,0,1,1,0,0,"a"
"NS88",0,0,0,0,0,0,1,
"NS89",0,0,0,0,0,1,1,
"NS93",0,0,0,0,1,1,0,"a"
"NS95",0,0,0,0,0,0,1,
"NS97",0,0,0,1,1,0,1,"a"
"NS98",0,0,0,1,0,1,1,
"NS99",0,0,0,0,1,0,0,"a"
"NT00",0,0,0,0,1,0,1,"a"
"NT03",0,0,0,0,1,0,1,
"NT04",0,0,0,0,0,0,1,
"NT06",0,0,0,0,0,1,1,
"NT07",0,0,0,1,1,1,0,"a"
"NT08",0,0,0,0,1,0,0,"a"
"NT09",0,0,0,0,0,0,1,
"NT15",0,0,0,0,1,1,1,"a"
"NT16",0,0,1,0,1,0,1,"a"
"NT17",0,0,0,1,1,1,1,"a"
"NT18",0,0,1,0,1,0,1,"a"
"NT19",0,0,0,0,1,0,0,"a"
"NT23",0,0,0,1,0,0,0,"a"
"NT24",0,0,1,1,0,0,1,"a"
"NT25",0,0,0,0,0,1,1,
"NT26",0,0,1,1,1,1,1,"a"
"NT27",0,0,1,0,1,1,1,"a"
"NT28",0,0,0,0,0,0,1,
"NT29",0,0,0,0,1,0,1,"a"
"NT32",0,0,0,0,0,0,1,
"NT33",0,0,0,0,0,0,1,
"NT35",0,0,0,0,0,0,1,
"NT36",0,0,0,0,0,1,0,
"NT37",0,0,0,0,1,0,1,"a"
"NT39",0,0,0,0,1,0,1,"a"
"NT41",0,0,0,0,1,1,1,"a"
"NT42",1,1,0,1,0,0,1,"a"
"NT43",0,0,0,1,1,0,1,"a"
"NT44",0,0,0,0,0,0,1,
"NT45",0,0,0,0,0,0,1,
"NT46",0,0,1,0,1,1,1,"a"
"NT47",0,0,0,1,1,1,1,"a"
"NT51",1,0,0,1,1,0,1,"a"
"NT52",0,0,0,0,0,0,1,
"NT53",0,0,0,1,1,0,1,"a"
"NT54",0,0,0,0,1,0,1,"a"
"NT55",0,0,0,0,1,0,0,"a"
"NT56",0,0,0,1,1,0,1,"a"
"NT57",0,0,1,0,1,0,0,"a"
"NT58",0,0,0,0,0,1,0,
"NT62",0,0,0,0,0,0,1,
"NT63",0,0,0,0,0,1,0,
"NT67",0,0,0,0,1,0,0,"a"
"NT72",0,0,0,0,0,0,1,
"NT82",0,0,0,0,0,1,0,
"NT84",0,0,1,0,1,1,0,"a"
"NT85",0,0,0,1,0,1,1,
"NT92",0,0,0,0,0,0,1,
"NT95",1,0,1,0,0,1,0,"a"
"NT96",0,0,0,0,0,0,1,
"NU00",0,0,0,0,0,0,1,
"NU03",0,0,0,0,0,0,1,
"NU04",0,0,0,0,0,0,1,
"NU11",0,0,0,0,1,0,1,"a"
"NU12",0,0,0,0,0,0,1,
"NU13",0,0,0,0,0,0,1,
"NU20",0,0,0,0,1,0,1,"a"
"NU21",0,0,0,0,0,1,0,
"NX16",0,0,0,0,1,0,0,"a"
"NX18",0,0,1,0,1,0,0,"a"
"NX25",0,0,0,0,0,1,0,
"NX37",0,0,0,0,0,1,1,
"NX44",0,0,0,0,1,0,0,"a"
"NX45",0,0,0,0,0,0,1,
"NX46",0,0,0,0,0,0,1,
"NX55",0,0,0,0,0,1,0,
"NX65",0,0,0,1,1,1,1,"a"
"NX68",0,0,0,0,1,0,0,"a"
"NX75",0,0,0,0,0,0,1,
"NX76",0,0,0,0,1,0,1,"a"
"NX79",0,0,0,0,1,0,0,"a"
"NX85",0,0,0,0,0,0,1,
"NX97",0,0,0,0,0,0,1,
"NX98",0,0,0,0,0,0,1,
"NY01",0,0,0,0,0,0,1,
"NY03",0,0,0,0,0,0,1,
"NY07",0,0,0,0,0,0,1,
"NY12",0,0,0,0,1,0,0,
"NY13",0,0,0,0,0,1,1,
"NY15",0,0,0,1,0,1,0,
"NY19",0,0,0,0,0,0,1,
"NY22",0,0,0,0,0,1,1,
"NY23",0,0,0,0,0,1,1,
"NY25",0,0,0,0,0,0,1,
"NY26",0,0,0,0,0,0,1,
"NY30",0,0,0,1,0,0,0,"a"
"NY32",0,0,0,0,0,0,1,
"NY33",0,0,0,0,0,1,0,
"NY34",0,0,0,0,0,1,1,
"NY35",0,0,0,0,0,0,1,
"NY36",0,0,0,0,0,0,1,
"NY37",0,0,0,0,0,0,1,
"NY38",0,0,0,0,0,1,1,
"NY40",0,0,0,0,0,0,1,
"NY42",0,0,0,0,1,1,1,
"NY43",0,0,0,0,0,1,1,
"NY44",0,0,0,0,0,1,1,
"NY45",0,0,0,1,0,1,1,"a"
"NY46",0,0,0,0,1,1,1,
