"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",1,0,1,0,0,0,1,"a"
"B70",0,0,0,0,0,0,1,
"B71",1,0,1,0,1,0,1,"a"
"B72",0,0,0,0,0,1,0,
"B80",1,0,1,0,1,0,1,"a"
"B81",0,0,0,0,0,0,1,
"B82",0,0,0,0,1,0,1,"a"
"B83",0,0,0,0,1,1,0,"a"
"B91",1,0,1,0,1,1,1,"a"
"B92",1,0,1,0,1,0,1,"a"
"B93",0,0,0,0,1,0,1,"a"
"C00",0,0,0,0,1,0,0,"a"
"C01",0,0,0,1,1,1,1,"a"
"C02",1,0,1,1,1,0,1,"a"
"C03",1,0,1,0,1,1,1,"a"
"C04",0,0,0,0,0,0,1,
"C10",0,0,0,0,0,0,1,
"C11",0,0,0,0,0,1,0,
"C12",1,0,0,0,0,0,1,
"C13",0,0,1,0,1,0,0,"a"
"C14",0,0,0,0,1,0,1,"a"
"C20",1,0,0,0,0,0,1,
"C21",0,0,0,0,1,1,0,"a"
"C22",0,0,0,0,0,1,0,
"C23",0,0,0,0,0,1,1,
"C24",0,0,0,0,1,0,1,"a"
"C30",0,0,0,0,1,1,1,"a"
"C31",1,0,1,0,1,1,1,"a"
"C32",0,0,0,0,1,0,0,"a"
"C33",0,0,0,0,1,0,1,"a"
"C40",0,0,0,0,1,1,1,"a"
"C41",0,0,0,0,1,1,1,"a"
"C42",0,0,0,0,1,1,1,"a"
"C43",0,0,0,0,0,0,1,
"C44",0,0,0,0,1,0,1,"a"
"C45",0,0,0,0,0,1,0,
"C50",0,0,0,0,1,1,1,"a"
"C51",1,0,1,1,1,1,1,"a"
"C52",0,0,0,0,0,1,0,
"C53",0,0,0,0,0,0,1,
"C60",0,0,0,0,1,1,1,"a"
"C61",0,0,0,0,1,1,1,"a"
"C62",0,0,0,0,1,1,1,"a"
"C63",0,0,0,0,1,1,1,"a"
"C64",0,0,0,0,1,0,0,"a"
"C71",1,0,1,0,1,0,0,"a"
"C72",1,0,1,0,1,0,1,"a"
"C73",0,0,0,1,1,1,1,"a"
"C80",0,0,0,0,0,0,1,
"C81",0,0,0,0,1,1,1,"a"
"C82",1,0,1,0,1,1,1,"a"
"C83",0,0,0,0,1,1,1,
"C90",0,0,0,0,1,1,1,"a"
"C91",0,0,0,0,0,1,0,
"C92",1,0,1,0,1,1,1,"a"
"C93",1,0,1,1,1,1,1,"a"
"C94",0,0,0,0,0,1,1,
"D00",0,0,0,0,1,1,1,"a"
"D01",1,0,1,0,0,0,0,"a"
"D02",1,0,1,0,0,1,1,"a"
"D03",0,0,0,1,1,0,0,"a"
"D04",0,0,1,0,0,0,0,"a"
"D10",0,0,0,0,0,1,1,
"D11",1,0,1,0,0,0,0,"a"
"D12",0,0,1,0,1,0,1,"a"
"D13",0,0,0,1,1,1,1,"a"
"D14",0,0,0,0,1,1,0,"a"
"D21",0,0,0,0,0,1,0,
"D22",0,0,0,1,1,0,1,"a"
"D30",0,0,0,0,0,1,0,
"D31",0,0,0,0,1,1,1,"a"
"F50",0,0,0,0,0,0,1,
"F60",1,0,1,0,1,0,1,"a"
"F70",1,0,1,0,0,0,1,"a"
"F71",0,0,0,0,1,0,1,"a"
"F72",0,0,0,0,1,0,1,"a"
"F73",0,0,0,0,1,0,1,"a"
"F80",1,0,1,0,1,0,1,"a"
"F81",1,0,1,0,1,0,1,"a"
"F82",1,0,1,0,1,0,1,"a"
"F83",0,0,0,0,1,0,1,"a"
"F84",0,0,0,0,0,0,1,
"F90",0,0,1,0,1,1,1,"a"
"F91",1,0,0,0,0,0,1,
"F92",1,0,1,0,1,0,1,"a"
"F93",0,0,1,0,1,0,1,"a"
"F94",0,0,0,0,1,0,1,"a"
"G00",0,0,0,0,1,0,1,"a"
"G01",1,0,1,0,1,1,1,"a"
"G02",1,0,1,0,1,0,1,"a"
"G03",1,0,0,0,0,0,0,
"G04",0,0,1,0,0,0,1,"a"
"G10",1,0,1,0,0,1,1,"a"
"G11",0,0,0,0,1,1,1,"a"
"G12",0,0,0,0,0,0,1,
"G13",1,0,1,0,1,1,0,"a"
"G14",0,0,0,0,1,0,0,"a"
"G20",0,0,0,0,1,1,1,"a"
"G22",1,0,1,0,1,0,1,"a"
"G30",0,0,0,0,0,0,1,
"G31",0,0,0,0,0,0,1,
"G33",0,0,0,0,0,0,1,
"G40",0,0,0,0,0,1,1,
"G41",0,0,0,0,1,0,0,"a"
"G50",0,0,0,0,0,0,1,
"G51",0,0,0,0,0,0,1,
"G52",0,0,1,0,0,0,1,"a"
"G53",0,0,0,0,1,0,1,"a"
"G57",0,0,1,0,0,0,1,"a"
"G58",0,0,0,0,0,0,1,
"G60",1,0,1,0,0,0,0,"a"
"G61",0,0,1,0,1,1,1,"a"
"G62",0,0,1,1,1,1,1,"a"
"G63",0,0,0,0,0,0,1,
"G64",1,0,1,0,1,1,1,"a"
"G65",0,0,0,0,0,1,1,
"G67",0,0,0,0,0,0,1,
"G68",0,0,0,0,1,0,1,"a"
"G69",0,0,0,0,1,0,0,"a"
"G70",0,0,0,0,0,0,1,
"G71",1,0,1,0,0,1,1,"a"
"G72",1,0,1,0,1,1,1,"a"
"G73",0,0,1,0,1,1,1,"a"
"G74",0,0,1,0,1,1,1,"a"
"G75",1,0,1,0,1,1,1,"a"
"G77",0,0,0,0,0,0,1,
"G78",0,0,0,0,1,0,0,"a"
"G79",0,0,0,0,1,0,1,"a"
"G80",0,0,1,0,1,1,1,"a"
"G81",0,0,0,0,0,1,1,
"G82",0,0,0,0,0,1,1,
"G83",0,0,1,0,1,1,1,"a"
"G84",0,0,1,0,1,0,1,"a"
"G85",0,0,0,0,1,1,1,"a"
"G87",0,0,0,0,1,0,1,"a"
"G88",0,0,0,0,1,0,0,"a"
"G89",0,0,0,0,0,0,1,
"G90",0,0,0,0,1,0,0,"a"
"G91",0,0,0,0,0,0,1,
"G92",1,0,1,0,1,1,1,"a"
"G93",0,0,0,0,1,1,1,"a"
"G94",0,0,0,0,0,1,1,
"G95",0,0,0,0,1,0,1,"a"
"G96",0,0,0,0,1,1,1,"a"
"G97",1,0,0,0,1,0,1,"a"
"G98",1,0,1,0,1,1,1,"a"
"H00",0,0,0,0,0,0,1,
"H01",0,0,0,0,0,0,1,
"H02",0,0,0,0,0,0,1,
"H03",0,0,0,0,1,1,1,"a"
"H04",0,0,0,0,0,1,1,
"H05",1,1,1,1,1,1,1,"a"
"H06",1,0,0,0,1,1,1,"a"
"H07",0,0,1,0,1,1,1,"a"
"H08",1,0,0,0,1,1,1,"a"
"H09",0,0,0,0,1,0,1,"a"
"H10",0,0,0,0,1,0,1,"a"
"H13",0,0,0,0,1,1,1,"a"
"H14",0,0,0,0,1,1,0,"a"
"H15",0,0,0,0,1,1,1,"a"
"H16",1,0,0,1,1,1,1,"a"
"H17",1,0,0,0,1,0,1,"a"
"H18",0,0,1,0,1,0,0,"a"
"H19",0,0,1,0,1,0,1,"a"
"H20",0,0,0,0,1,1,1,"a"
"H22",0,0,0,0,1,1,0,"a"
"H23",0,0,0,1,1,1,1,"a"
"H24",0,0,0,0,1,1,1,"a"
"H25",1,0,1,1,1,1,1,"a"
"H26",0,0,0,0,1,1,1,"a"
"H27",1,0,1,0,1,1,1,"a"
"H28",1,0,0,0,1,1,1,"a"
"H29",1,0,0,0,0,0,0,
"H30",1,0,1,0,1,0,1,"a"
"H31",1,0,1,0,0,0,0,"a"
"H32",1,1,0,1,1,1,1,"a"
"H33",0,0,0,0,0,1,0,
"H34",0,0,0,0,1,1,1,"a"
"H35",0,0,0,0,1,1,1,"a"
"H36",0,0,0,0,1,1,0,"a"
"H37",0,0,0,1,1,1,1,"a"
"H38",0,0,1,1,1,1,1,"a"
"H39",0,0,0,0,1,1,1,"a"
"H40",1,0,1,0,0,0,1,"a"
"H41",1,0,1,0,1,1,1,"a"
"H42",1,0,1,0,1,1,1,"a"
"H43",0,0,0,0,1,0,1,"a"
"H44",0,1,0,1,1,1,1,"a"
"H45",1,0,1,0,1,1,1,"a"
"H46",0,0,0,0,1,1,1,"a"
"H47",0,0,0,0,1,1,1,"a"
"H48",1,0,0,0,1,1,1,"a"
"H49",0,0,0,0,0,1,0,
"H50",0,0,0,0,1,0,0,"a"
"H51",1,0,0,0,1,0,1,"a"
"H52",0,0,0,0,1,1,1,"a"
"H53",0,0,0,0,1,0,0,"a"
"H54",0,0,0,0,1,1,1,"a"
"H55",1,0,1,0,1,1,0,"a"
"H56",1,0,1,0,1,1,1,"a"
"H57",0,0,0,0,0,1,1,
"H58",1,0,1,0,1,1,0,"a"
"H59",0,0,0,0,0,1,0,
"H60",0,0,0,0,1,1,0,"a"
"H61",0,0,0,0,1,1,1,"a"
"H63",0,0,0,0,1,0,1,"a"
"H65",0,0,0,0,1,1,1,
"H66",1,0,1,0,1,0,1,"a"
"H67",0,0,0,1,1,1,1,"a"
"H68",1,0,1,0,0,0,0,"a"
"H69",0,0,0,0,1,1,1,"a"
"H70",1,0,1,0,1,0,0,"a"
"H71",0,0,0,0,1,1,1,"a"
"H72",0,0,0,0,1,0,0,"a"
"H73",0,0,0,0,1,1,1,"a"
"H74",0,0,0,0,1,1,1,"a"
"H75",1,0,1,0,1,1,1,"a"
"H76",0,0,0,0,1,1,1,"a"
"H77",0,0,0,0,1,1,1,"a"
"H78",1,0,0,0,1,1,1,"a"
"H79",0,0,0,0,1,1,1,"a"
"H80",0,0,0,0,1,1,1,"a"
"H81",0,0,0,0,1,1,1,"a"
"H82",1,0,1,0,1,1,1,"a"
"H83",0,0,0,0,1,1,0,"a"
"H84",0,0,0,0,1,1,1,"a"
"H85",0,0,0,0,1,1,1,"a"
"H86",0,0,0,0,1,1,1,"a"
"H87",0,0,0,0,1,1,1,"a"
"H88",0,0,0,0,1,1,1,"a"
"H89",0,0,1,1,0,1,0,"a"
"H91",0,0,0,0,0,1,1,
"H93",0,0,0,0,1,1,1,"a"
"H94",0,0,0,0,1,1,1,"a"
"H95",0,0,1,0,1,1,1,"a"
"H96",0,0,0,0,1,1,1,"a"
"H98",0,0,0,0,0,1,1,
"H99",1,0,0,1,1,1,1,"a"
"HY31",0,0,0,0,0,0,1,
"HY32",0,0,0,0,1,0,0,
"HY42",0,0,1,0,1,0,1,"a"
"HY53",0,0,0,0,1,0,0,
"J00",0,0,0,0,0,0,1,
"J01",0,0,0,0,1,1,1,"a"
"J02",0,0,0,0,0,1,1,
"J03",0,0,0,0,1,1,1,"a"
"J04",1,0,1,0,1,1,1,"a"
"J05",0,0,1,0,0,1,1,"a"
"J06",0,0,1,0,1,1,0,"a"
"J07",0,0,0,0,1,0,0,"a"
"J08",0,0,0,0,1,1,1,"a"
"J09",0,0,0,0,0,1,0,
"J11",0,0,0,0,1,1,1,"a"
"J12",0,0,0,0,1,1,1,"a"
"J13",0,0,0,0,0,1,0,
"J14",0,0,0,0,1,1,0,"a"
"J15",0,0,0,0,0,1,0,
"J16",0,0,0,0,0,1,0,
"J17",1,0,1,1,0,1,0,"a"
"J18",1,0,1,1,1,1,1,"a"
"J19",0,0,0,0,1,0,1,"a"
"J21",0,0,0,0,1,1,0,"a"
"J22",0,1,0,1,1,1,0,"a"
"J24",0,0,0,0,0,1,1,
"J25",0,0,0,0,0,1,1,
"J26",0,0,0,0,1,1,1,"a"
"J27",0,0,0,0,1,1,1,
"J28",0,0,0,0,1,1,0,"a"
"J29",0,0,0,0,0,1,1,
"J31",0,0,0,0,0,0,1,
"J32",1,0,0,0,1,1,1,"a"
"J33",0,0,1,1,1,1,1,"a"
"J34",0,0,0,1,1,1,0,"a"
"J35",0,0,0,0,1,1,1,"a"
"J36",0,0,0,1,1,1,1,"a"
"J37",0,0,1,0,1,1,1,"a"
"J38",0,0,0,0,1,1,1,
"J39",0,0,0,0,0,0,1,
"J43",0,0,0,0,1,1,1,"a"
"J44",0,0,0,0,1,1,1,"a"
"J45",0,0,0,1,0,1,0,"a"
"J46",0,0,0,0,0,1,1,
"J47",0,0,1,1,1,1,1,"a"
"J48",1,0,1,0,1,1,1,"a"
"J49",1,0,1,0,1,1,1,"a"
"J54",0,0,0,1,1,1,1,"a"
"J55",1,0,1,1,1,1,1,"a"
"J56",0,0,0,1,1,1,1,"a"
"J57",0,0,0,0,1,1,1,"a"
"J58",1,0,1,0,0,1,1,"a"
"J66",0,0,0,0,1,1,0,"a"
"J67",1,0,1,0,0,0,1,"a"
