"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C30",1,0,0,0,0,0,0,"n"
"C40",1,0,0,0,1,1,0,"n"
"C62",1,0,0,1,0,1,1,"n"
"C63",1,0,0,0,0,0,0,"n"
"C73",1,0,0,1,1,0,0,"n"
"C80",0,0,0,0,1,0,0,
"C81",1,0,0,0,1,1,1,"n"
"C90",0,0,0,0,0,0,1,
"C91",0,0,0,0,1,0,1,"n"
"D00",1,0,0,0,0,0,1,"n"
"D04",0,0,0,0,1,0,0,"n"
"D10",1,0,0,1,0,0,1,"n"
"D12",0,0,0,0,0,0,1,
"D20",0,0,0,1,1,0,1,"n"
"D21",0,0,0,0,1,0,1,"n"
"D22",0,0,1,1,1,0,1,"n"
"D30",0,0,0,0,1,1,1,"n"
"D31",0,1,0,1,1,1,1,"n"
"G20",0,0,0,0,0,0,1,
"G60",0,0,0,0,0,0,1,
"G80",0,0,0,0,1,1,1,"n"
"G95",0,0,0,0,1,0,1,"n"
"G98",0,0,0,0,0,0,1,
"H01",0,0,0,0,1,0,0,"n"
"H03",0,0,0,0,0,1,0,
"H04",0,0,0,1,1,1,1,"n"
"H05",0,0,0,0,1,0,0,"n"
"H06",0,0,0,1,1,1,1,"n"
"H13",0,0,0,1,1,1,1,"n"
"H14",1,0,0,0,1,0,1,"n"
"H15",0,1,0,1,0,1,0,"n"
"H16",0,1,0,0,1,0,1,"n"
"H20",0,0,0,0,0,0,1,
"H23",0,1,0,0,0,0,0,"n"
"H26",0,0,0,0,1,1,1,"n"
"H30",0,0,0,0,1,0,0,"n"
"H32",1,0,1,0,1,1,1,"n"
"H33",0,0,0,0,1,0,1,"n"
"H34",1,0,0,0,1,1,1,"n"
"H37",0,0,0,0,0,1,1,
"H39",1,0,0,1,1,0,1,"n"
"H41",0,0,0,0,1,1,0,"n"
"H42",0,0,0,0,0,1,1,
"H44",0,0,0,0,1,1,1,"n"
"H45",0,0,0,0,0,1,0,
"H52",1,0,0,0,0,1,0,"n"
"H55",1,0,1,0,0,0,0,"n"
"H64",0,0,0,0,0,1,1,
"H65",0,0,1,0,0,1,0,"n"
"H74",0,0,0,1,0,1,1,"n"
"H75",0,0,0,0,1,1,1,"n"
"H76",1,0,0,0,1,1,1,"n"
"H77",0,0,0,0,1,1,1,"n"
"H79",0,0,0,0,0,0,1,
"H84",0,0,1,1,0,1,1,"n"
"H85",0,0,1,1,1,1,1,"n"
"H86",1,1,0,0,1,1,1,"n"
"H87",0,0,1,0,1,1,1,"n"
"H88",1,0,0,1,1,1,1,"n"
"H89",1,0,0,0,1,1,1,"n"
"H93",0,0,1,0,0,0,0,"n"
"H94",0,0,1,1,1,1,1,"n"
"H95",1,0,1,0,0,1,1,"n"
"H97",1,0,0,1,1,1,1,"n"
"H99",1,0,0,1,1,1,1,"n"
"J03",0,0,0,0,0,1,1,
"J04",0,0,1,0,1,1,1,"n"
"J05",0,0,0,1,0,1,1,"n"
"J08",0,0,0,0,0,1,1,
"J09",1,0,0,1,1,1,0,"n"
"J11",0,0,0,1,1,0,0,"n"
"J12",0,0,0,0,1,0,0,"n"
"J16",0,0,0,1,0,0,1,"n"
"J17",0,1,0,1,1,1,1,"n"
"J18",1,0,0,1,1,1,1,"n"
"J19",0,0,0,0,0,1,1,
"J24",0,0,0,0,1,0,0,"n"
"J25",0,0,0,0,1,0,1,"n"
"J26",1,0,1,0,0,1,1,"n"
"J27",1,1,1,1,1,1,1,"n"
"J33",0,0,1,1,0,1,1,"n"
"J35",1,0,0,0,0,1,0,"n"
"J36",1,1,1,1,1,1,1,"n"
"J37",1,1,1,1,1,0,1,"n"
"J38",1,0,0,1,1,0,1,"n"
"J39",0,0,0,1,1,0,1,"n"
"J45",0,1,0,0,0,0,0,"n"
"J47",1,0,1,1,1,1,1,"n"
"J49",0,0,0,1,0,1,1,"n"
"M04",0,0,0,0,0,0,1,
"M08",0,0,0,0,0,0,1,
"M15",1,0,0,0,0,1,1,"n"
"M17",0,0,0,0,1,0,1,"n"
"M23",0,0,0,0,0,0,1,
"M24",0,0,0,0,1,0,1,"n"
"M40",0,0,0,0,1,0,1,"a"
"M41",0,0,0,0,1,0,1,"n"
"M50",0,0,0,0,1,0,0,"n"
"M63",0,0,0,0,0,0,1,
"M69",0,0,0,0,0,1,1,
"M79",0,0,0,0,0,1,1,
"M80",0,0,0,1,0,0,0,"n"
"M86",0,0,0,1,1,0,1,"n"
"M95",0,0,0,0,1,1,1,"n"
"N00",0,0,0,0,0,0,1,
"N05",0,0,0,0,0,0,1,
"N09",1,0,0,1,1,0,1,"n"
"N22",0,0,0,0,1,0,1,"n"
"N23",0,0,0,0,1,0,1,"n"
"N32",0,0,0,0,0,0,1,
"N33",0,0,0,0,0,1,1,
"N41",0,0,0,0,0,0,1,
"N42",1,0,0,0,0,0,1,"n"
"N44",0,0,0,0,0,0,1,
"N60",0,0,0,0,0,1,0,
"N62",0,0,0,0,1,0,1,"n"
"N72",0,0,0,0,0,0,1,
"N79",0,0,0,0,1,0,0,"n"
"N84",0,0,0,0,0,0,1,
"N93",0,0,0,1,1,0,1,"n"
"N96",0,0,0,0,0,0,1,
"NH55",1,0,1,0,1,1,1,"n"
"NH56",0,0,1,0,0,0,0,"n"
"NN53",0,0,0,1,0,0,1,"n"
"NN72",1,0,1,0,0,1,1,"n"
"NN74",0,1,1,1,0,1,0,"n"
"NN75",0,0,1,0,0,0,0,"n"
"NN84",0,0,0,0,0,1,0,
"NN86",1,0,0,1,0,0,1,"n"
"NN92",0,0,0,0,0,0,1,
"NN96",0,0,0,0,0,0,1,
"NO01",1,0,0,1,0,0,1,"n"
"NO02",0,0,1,1,1,1,1,"n"
"NO12",1,0,0,0,1,0,0,"n"
"NO13",1,0,1,0,0,0,0,"n"
"NO14",1,0,0,1,0,0,1,"n"
"NO15",0,0,0,1,0,0,0,"n"
"NS28",1,0,0,0,0,0,0,"n"
"NS31",1,0,1,0,0,0,0,"n"
"NS32",0,0,0,0,0,0,1,
"NS33",1,0,0,1,0,1,0,"n"
"NS37",0,0,0,1,1,0,0,"n"
"NS38",0,0,1,1,1,0,0,"n"
"NS42",0,0,0,1,0,0,0,"n"
"NS43",1,0,1,0,0,0,0,"n"
"NS46",1,0,0,0,0,0,0,"n"
"NS47",1,0,0,0,0,0,0,"n"
"NS48",0,0,0,0,1,0,0,"n"
"NS52",1,0,0,0,0,0,0,"n"
"NS55",0,0,0,1,1,1,1,"n"
"NS56",0,0,0,1,0,1,0,
"NS59",0,0,0,1,0,0,0,"n"
"NS61",0,0,0,0,0,1,0,
"NS67",1,0,0,0,0,0,0,"n"
"NS68",0,0,0,0,1,0,0,"n"
"NS71",0,0,1,0,0,0,1,"n"
"NS75",1,0,1,0,0,1,1,"n"
"NS78",0,0,0,0,0,0,1,
"NS79",0,0,0,0,0,0,1,
"NS80",0,0,0,1,1,0,0,"n"
"NS83",0,0,1,0,0,1,0,"n"
"NS84",0,0,1,0,1,0,0,"n"
"NS97",0,0,0,0,0,0,1,
"NS99",0,0,1,0,1,1,1,"n"
"NT09",0,0,0,1,0,0,0,"n"
"NT15",0,0,0,1,0,0,0,"n"
"NT26",0,1,1,1,1,0,1,"n"
"NT32",0,0,0,1,0,0,1,"n"
"NT33",1,0,0,1,1,1,1,"n"
"NT35",1,0,1,1,0,1,1,"n"
"NT36",0,0,1,1,1,0,1,"n"
"NT37",0,0,1,1,1,0,1,"n"
"NT41",0,0,1,1,1,1,1,"n"
"NT42",0,0,0,1,1,1,1,"n"
"NT43",0,0,1,1,1,1,1,"n"
"NT46",1,0,1,0,0,1,1,"n"
"NT50",0,0,1,1,1,1,1,"n"
"NT51",0,1,1,1,1,1,1,"n"
"NT52",0,1,0,1,1,0,1,"n"
"NT53",1,0,1,1,1,1,1,"n"
"NT54",0,0,1,0,1,0,1,"n"
"NT56",0,0,1,0,1,1,0,"n"
"NT57",1,0,0,1,0,0,0,"n"
"NT61",1,0,0,1,1,1,1,"n"
"NT62",0,0,0,1,0,0,0,
"NT63",1,1,0,1,1,1,1,"n"
"NT67",1,0,1,0,0,1,0,"n"
"NT73",1,1,1,0,0,1,0,"n"
"NT76",1,0,1,0,1,1,0,"n"
"NT77",0,0,0,1,0,0,0,"n"
"NT80",1,0,0,1,0,0,0,"n"
"NT83",1,0,1,1,1,0,1,"n"
"NT84",1,0,1,1,0,0,0,"n"
"NT94",0,0,0,1,0,0,0,"n"
"NT95",1,1,1,1,1,1,1,"n"
"NU11",1,0,1,1,0,0,1,"n"
"NU12",1,0,0,0,0,0,1,"n"
"NU20",0,0,1,1,0,0,0,"n"
"NX67",1,0,0,0,1,0,0,"n"
"NX79",0,0,0,1,1,1,0,"n"
"NX87",0,0,0,1,1,0,0,"n"
"NX97",1,0,0,0,1,0,0,"n"
"NX98",0,0,0,1,0,0,0,"n"
"NY13",0,0,1,0,0,0,0,"n"
"NY18",0,0,0,0,1,0,1,"n"
"NY19",0,0,0,0,1,0,1,"n"
"NY24",0,0,1,0,0,0,0,"n"
"NY25",0,0,1,1,0,0,0,"n"
"NY29",0,0,0,0,0,0,1,
"NY30",0,0,1,1,1,0,0,"n"
"NY31",0,0,0,1,0,0,0,"n"
"NY32",0,0,0,0,0,1,0,
"NY33",0,0,0,1,1,1,1,"n"
"NY34",0,0,1,1,1,1,1,"n"
"NY35",0,0,1,1,1,1,1,"n"
"NY36",0,0,1,1,0,0,0,"n"
"NY37",0,0,0,1,0,0,1,"n"
"NY38",0,0,1,0,1,0,1,"n"
"NY39",0,0,0,0,0,0,1,
"NY40",0,1,1,1,1,0,1,"n"
"NY42",0,0,1,1,0,1,1,"n"
"NY43",0,0,1,0,0,0,0,"n"
"NY44",0,0,0,0,0,0,1,
"NY45",0,0,1,1,0,0,0,"n"
"NY46",0,0,0,1,1,1,1,"n"
"NY47",0,0,1,0,0,1,1,"n"
"NY50",0,0,0,0,0,1,0,
"NY52",0,0,1,1,0,1,0,"n"
"NY53",0,0,1,0,0,0,0,"n"
"NY54",0,0,1,1,1,1,1,"n"
"NY55",0,0,0,1,1,0,0,"n"
"NY56",0,0,1,1,1,1,1,"n"
"NY57",0,0,0,1,1,0,0,"n"
"NY61",0,0,0,0,0,0,1,
"NY62",0,0,1,1,0,1,1,"n"
"NY63",0,0,0,1,0,0,0,"n"
"NY65",0,0,1,1,0,0,1,"n"
"NY66",0,0,1,1,0,0,1,"n"
"NY70",0,0,1,1,1,1,1,"n"
"NY74",0,0,1,1,1,1,0,"n"
"NY75",1,0,1,1,0,1,0,"n"
"NY76",1,0,1,1,1,1,1,"n"
"NY78",0,0,1,1,0,0,0,"n"
"NY80",0,1,0,0,1,0,0,"n"
"NY81",0,0,0,1,1,0,1,"n"
"NY82",1,0,1,1,0,0,1,"n"
"NY83",1,0,0,0,0,0,0,
"NY84",0,0,1,1,0,0,0,"n"
"NY85",0,0,0,0,0,0,1,
"NY86",0,0,1,1,1,1,0,"n"
"NY87",1,0,1,1,1,0,1,"n"
"NY88",0,0,1,1,0,1,1,"n"
"NY91",0,0,0,0,1,0,0,
"NY92",1,0,1,1,1,0,1,"n"
"NY93",0,0,0,1,1,1,1,"n"
"NY94",0,0,0,1,0,1,1,"n"
"NY95",0,0,1,0,0,0,1,
"NY96",0,0,1,1,1,1,1,"n"
"NY97",0,0,1,1,0,1,0,"n"
"NY98",0,0,1,1,0,0,0,"n"
"NZ00",0,0,1,1,1,0,0,"n"
"NZ01",0,1,1,1,1,1,1,"n"
"NZ02",1,0,0,1,1,0,1,"n"
"NZ03",0,0,1,1,1,1,1,"n"
"NZ04",0,0,1,0,1,0,0,"n"
"NZ05",0,0,0,1,0,0,1,"n"
"NZ08",0,0,0,1,0,1,0,"n"
"NZ09",0,0,1,1,1,0,1,"n"
"NZ10",0,0,1,1,1,1,1,"n"
"NZ11",0,1,1,1,1,1,1,"n"
"NZ13",0,0,0,0,0,1,1,"n"
"NZ14",0,0,0,0,0,0,1,
"NZ15",0,0,1,1,1,1,1,"n"
"NZ16",1,0,0,1,1,1,1,"n"
"NZ18",0,0,0,1,1,0,1,"n"
"NZ19",1,0,0,1,0,0,0,"n"
"NZ20",0,0,0,0,0,1,0,
"NZ21",1,0,0,1,1,0,1,"n"
"NZ23",0,0,0,1,0,0,1,"n"
"NZ24",1,0,0,1,1,1,0,"n"
"NZ25",1,1,1,1,1,1,0,"n"
"NZ27",0,0,0,1,0,0,0,"n"
"NZ28",0,0,1,1,0,1,1,"n"
"NZ29",0,0,1,1,0,0,0,"n"
"NZ30",1,0,1,0,0,0,0,"n"
"NZ31",0,0,0,1,0,0,0,"n"
"NZ41",0,0,0,0,0,1,0,
"NZ43",0,0,0,0,1,0,1,"n"
"NZ50",0,0,0,1,1,0,0,"n"
"NZ51",0,0,0,0,0,0,1,
"NZ61",0,0,1,0,1,0,0,"n"
"NZ62",0,0,0,0,1,0,0,"n"
"NZ70",0,0,0,0,1,1,1,
"NZ71",0,0,1,1,1,1,1,"n"
"NZ80",0,0,1,1,1,1,1,"n"
"NZ81",0,0,1,1,1,1,0,"n"
"NZ90",0,0,1,1,1,0,1,"n"
"O03",0,0,1,1,1,1,1,"n"
"O12",0,0,0,1,0,0,0,"n"
"O13",0,0,1,0,1,0,1,"n"
"O14",0,0,0,0,1,0,0,"n"
"O21",0,0,0,0,1,0,1,"n"
"R25",1,0,0,0,0,0,0,"n"
"R28",0,0,0,0,1,1,0,"n"
"R29",0,0,0,0,0,0,1,
"R33",1,0,0,0,0,0,0,"n"
"R34",0,0,0,0,1,1,0,"n"
"R35",1,0,0,0,0,0,0,"n"
"R38",0,0,0,0,0,0,1,
"R39",0,0,0,0,1,0,0,
"R44",0,0,0,1,1,0,1,"n"
"R45",0,0,0,1,1,0,1,"n"
"R59",0,0,0,0,0,1,0,
"R65",1,0,0,0,0,0,0,
"R66",0,0,0,0,0,0,1,
"R75",0,0,0,0,0,0,1,
"R78",0,0,0,1,0,0,0,"n"
"S09",0,0,0,0,0,1,0,
"S12",0,0,0,0,0,0,1,
"S23",0,0,0,0,0,0,1,
"S46",0,0,0,0,0,0,1,
"S48",0,0,0,0,0,0,1,
"S55",0,0,0,0,1,1,1,"n"
"S57",1,0,0,0,0,0,1,"n"
"S58",0,0,0,0,0,0,1,
"S65",0,0,1,0,0,1,1,"n"
"S85",0,0,1,0,0,0,0,"n"
"S86",1,0,0,0,0,0,0,"n"
"S95",0,0,1,0,0,0,0,
"SD29",0,0,1,1,0,0,0,"n"
"SD37",0,0,1,1,1,1,1,"n"
"SD38",0,0,1,1,1,0,1,"n"
"SD39",0,0,1,1,1,1,1,"n"
"SD47",0,0,1,1,1,1,1,"n"
"SD48",0,0,1,1,1,1,1,"n"
"SD49",0,0,0,1,1,1,1,"n"
"SD52",0,0,1,0,1,1,1,"n"
"SD53",1,0,1,0,0,0,0,"n"
"SD54",0,0,1,0,0,0,0,
"SD56",0,0,1,1,0,0,1,"n"
"SD57",0,0,1,1,1,0,1,"n"
"SD58",0,0,0,1,1,1,1,"n"
"SD59",0,0,1,1,1,1,1,"n"
"SD63",0,0,1,1,1,0,1,"n"
"SD64",0,0,1,1,1,1,1,"n"
"SD66",0,0,1,1,1,1,0,"n"
"SD67",0,0,1,1,1,0,0,"n"
"SD68",0,0,0,1,1,0,0,"n"
"SD69",0,0,0,1,1,1,1,"n"
"SD70",1,0,0,0,0,0,0,
"SD73",1,0,1,1,1,1,1,"n"
"SD74",1,0,0,1,1,1,0,"n"
"SD75",0,0,1,1,1,1,1,"n"
"SD76",0,0,1,1,1,1,0,"n"
"SD78",0,0,0,1,0,0,0,"n"
"SD81",1,0,1,0,0,0,0,"n"
"SD83",1,0,0,0,0,0,0,"n"
"SD84",0,0,0,1,1,0,1,
"SD86",1,0,1,0,0,0,0,"n"
"SD87",0,0,0,0,1,0,0,"n"
"SD89",0,0,0,0,1,0,0,"n"
"SD92",1,0,1,1,1,0,0,"n"
"SD93",0,0,1,1,1,0,0,"n"
"SD94",0,0,1,0,0,0,0,"n"
"SD95",0,0,1,0,1,1,1,"n"
"SD96",0,0,0,0,1,0,0,
"SD97",0,0,1,0,0,1,1,"n"
"SD98",0,0,1,0,1,0,1,"n"
"SD99",0,0,1,1,1,0,1,"n"
"SE01",0,0,1,1,0,0,0,"n"
"SE02",0,0,1,1,1,0,0,"n"
"SE03",0,0,0,1,1,0,0,"n"
"SE04",0,0,1,1,1,1,1,"n"
"SE05",0,0,1,0,1,1,1,"n"
"SE07",0,0,0,0,1,0,0,"n"
"SE08",0,0,0,1,1,0,1,"n"
"SE09",0,0,1,0,1,0,1,"n"
"SE12",0,0,1,1,1,0,0,"n"
"SE13",1,0,1,1,1,0,1,"n"
"SE14",0,0,1,1,1,1,1,"n"
"SE16",0,0,0,0,0,1,0,
"SE18",0,0,1,0,1,1,1,"n"
"SE19",1,1,0,0,0,1,1,"n"
"SE20",0,0,1,1,0,0,1,"n"
"SE24",0,0,0,1,1,1,1,"n"
"SE26",0,0,1,1,1,0,1,"n"
"SE27",1,0,1,1,1,0,1,"n"
"SE28",0,0,0,1,0,0,0,"n"
"SE29",0,0,0,0,0,0,1,
"SE30",0,0,1,0,0,1,1,"n"
"SE34",0,0,1,1,1,0,0,"n"
"SE35",1,0,1,0,1,0,1,"n"
"SE37",0,0,1,0,1,0,1,"n"
"SE43",0,0,0,1,1,1,0,"n"
"SE44",0,0,0,0,1,0,0,"n"
"SE48",0,0,0,0,1,0,0,"n"
"SE50",1,0,1,0,0,0,0,"n"
"SE55",0,0,1,0,0,0,0,"n"
"SE57",0,1,1,1,1,0,1,"n"
"SE58",0,0,1,1,1,1,1,"n"
"SE67",1,0,0,0,0,0,1,"n"
"SE68",0,0,1,1,1,1,1,"n"
"SE72",0,0,0,0,1,0,0,"n"
"SE76",1,0,1,1,0,0,0,"n"
"SE78",0,0,1,1,1,1,1,"n"
"SE79",0,0,1,0,0,0,0,
"SE85",0,0,0,0,1,0,0,"n"
"SE88",0,0,1,1,1,0,0,"n"
"SE89",0,0,1,1,1,0,1,"n"
"SE90",1,0,0,0,0,0,0,"n"
"SE91",1,0,0,0,0,0,0,"n"
"SE93",0,0,1,1,0,0,0,"n"
"SE98",0,0,1,1,1,1,1,"n"
"SE99",0,0,1,1,1,0,1,"n"
"SH70",0,0,0,0,0,0,1,
"SH75",1,0,0,0,0,0,0,"n"
"SH77",1,0,0,0,1,0,0,"n"
"SH82",0,0,1,0,0,0,0,"n"
"SH86",0,0,0,0,0,1,0,
"SH87",1,0,0,1,1,0,0,"n"
"SH93",1,0,0,0,0,0,0,"a"
"SH96",0,0,0,1,0,0,0,"n"
"SJ00",0,0,0,1,1,0,0,"n"
"SJ04",0,0,0,1,1,0,1,"n"
"SJ06",0,0,0,1,1,0,0,"n"
"SJ07",0,0,1,0,0,0,0,"n"
"SJ10",0,1,0,1,0,0,0,"n"
"SJ11",0,0,0,1,0,1,1,"n"
"SJ12",0,0,1,1,1,1,1,"n"
"SJ14",0,0,0,1,1,0,0,"n"
"SJ15",0,0,1,0,1,1,1,"n"
"SJ16",1,0,1,1,1,1,1,"n"
"SJ18",0,0,1,0,0,0,0,"n"
"SJ20",0,0,1,1,0,1,1,"n"
"SJ21",0,0,0,1,1,0,0,"n"
"SJ22",0,0,1,1,1,1,1,"n"
"SJ23",0,0,0,1,1,0,0,"n"
"SJ24",0,0,1,1,1,1,1,"n"
"SJ25",0,0,1,1,1,0,0,"n"
"SJ26",0,0,1,1,1,1,1,"n"
"SJ30",1,1,0,1,1,0,1,"n"
"SJ32",1,0,0,0,0,0,0,"n"
"SJ34",0,1,1,1,1,0,0,"n"
"SJ35",0,1,1,1,1,0,0,"n"
"SJ40",1,1,1,1,1,1,0,"n"
"SJ41",1,0,0,0,0,1,1,
"SJ49",0,0,0,0,1,0,0,"n"
"SJ50",1,1,1,1,0,0,1,"n"
"SJ51",1,0,0,0,0,0,0,"n"
"SJ52",1,1,0,0,0,0,0,"n"
"SJ57",0,0,1,0,1,1,0,"n"
"SJ58",0,0,1,0,0,0,0,"n"
"SJ60",1,1,1,1,1,1,1,"n"
"SJ66",0,0,0,0,1,1,1,"n"
"SJ71",0,0,0,1,0,1,0,"n"
"SJ73",0,0,0,1,0,0,0,"n"
"SJ78",0,0,1,0,0,0,0,"n"
"SJ79",1,0,1,0,0,0,0,"n"
"SJ82",0,0,1,1,1,0,0,"n"
"SJ83",1,0,1,0,0,0,0,"n"
"SJ86",1,0,1,0,1,1,1,"n"
"SJ88",1,0,1,0,1,0,1,"n"
"SJ89",1,0,1,0,0,0,0,"n"
"SJ93",0,0,0,0,0,1,1,
"SJ94",1,0,1,0,0,1,0,"n"
"SJ98",1,0,1,0,1,0,1,"n"
"SJ99",1,0,0,0,1,1,0,"n"
"SK03",0,0,1,1,1,1,1,"n"
"SK04",1,0,1,0,0,1,0,"n"
"SK05",0,0,1,1,0,1,1,"n"
"SK07",1,0,1,0,0,0,0,"n"
"SK09",0,0,1,0,0,0,0,"n"
"SK11",1,0,0,0,0,0,1,"n"
"SK12",0,0,1,1,1,1,1,"n"
"SK14",0,1,1,0,1,1,1,"n"
"SK15",1,0,1,1,0,1,1,"n"
"SK16",0,0,1,1,1,1,1,"n"
"SK17",0,0,1,1,1,1,1,"n"
"SK18",0,0,0,0,1,0,0,"n"
"SK21",0,0,0,1,0,0,0,"n"
"SK24",1,0,1,0,0,1,0,"n"
"SK25",0,0,1,1,1,1,1,"n"
"SK26",0,0,0,1,0,1,1,"n"
"SK28",0,0,0,0,0,1,0,
"SK29",0,0,0,0,0,1,0,
"SK32",1,0,0,0,1,1,1,"n"
"SK33",0,0,1,1,1,1,1,"n"
"SK35",1,0,0,1,1,1,1,"n"
"SK36",0,0,1,1,0,1,1,"n"
"SK37",1,0,1,1,0,1,0,"n"
"SK38",0,0,1,1,1,1,1,"n"
"SK39",0,0,0,1,0,0,0,
"SK41",0,1,0,0,0,0,1,"n"
"SK43",0,1,1,0,1,1,1,"n"
"SK44",0,0,1,1,1,1,1,"n"
"SK45",0,0,1,1,1,1,1,"n"
"SK46",0,0,1,1,1,0,1,"n"
"SK47",1,0,1,1,0,0,0,"n"
"SK48",0,0,1,0,0,0,0,"n"
"SK50",0,0,1,1,1,1,1,"n"
"SK54",0,0,0,1,1,1,1,"n"
"SK55",1,0,0,0,1,0,0,"n"
"SK56",0,0,1,1,1,1,1,"n"
"SK57",0,0,1,1,1,1,1,"n"
"SK58",1,0,1,1,1,1,1,"n"
"SK59",1,0,0,1,0,1,1,"n"
"SK64",0,0,0,1,1,0,0,"n"
"SK65",0,0,1,0,1,1,1,"n"
"SK66",1,0,1,0,0,0,0,"n"
"SK70",0,0,1,1,1,1,1,"n"
"SK75",0,0,0,0,0,0,1,
"SK76",1,0,0,0,0,0,0,"n"
"SK77",0,0,1,0,1,0,0,"n"
"SK80",0,0,1,0,0,1,1,
"SK90",0,0,1,0,0,0,0,"n"
"SK91",1,1,1,1,1,1,1,"n"
"SK92",0,0,1,1,0,0,0,"n"
"SK93",1,0,1,0,0,0,0,"n"
"SN46",0,0,0,1,1,0,1,"n"
"SN51",0,0,1,0,1,1,1,"n"
"SN61",0,0,1,1,1,0,1,"n"
"SN62",0,0,1,0,1,0,1,"n"
"SN69",1,0,1,0,1,0,1,"n"
"SN70",0,0,1,0,0,0,0,"n"
"SN71",0,0,1,1,0,1,0,"n"
"SN73",0,0,0,1,0,0,0,"n"
"SN80",0,0,0,0,0,1,1,
"SN81",0,0,0,0,1,0,0,"n"
"SN90",0,0,0,1,0,0,1,"n"
"SN91",0,0,0,0,1,0,1,"n"
"SN92",0,0,0,1,1,0,0,"n"
"SN93",0,0,1,1,0,0,0,"n"
"SO00",0,0,1,1,0,1,1,"n"
"SO01",0,0,1,1,1,1,1,"n"
"SO02",0,0,1,1,1,0,1,"n"
"SO03",0,0,1,1,1,1,1,"n"
"SO04",0,0,1,1,1,0,0,"n"
"SO05",0,0,0,1,1,0,1,"n"
"SO06",0,0,0,1,1,0,1,"n"
"SO08",0,0,0,0,0,0,1,
"SO11",0,0,1,0,1,1,1,"n"
"SO12",0,0,1,0,1,0,1,"n"
"SO13",1,0,1,1,1,0,1,"n"
"SO14",1,0,1,1,1,1,1,"n"
"SO15",0,0,0,1,0,0,1,"n"
"SO18",0,0,0,1,1,1,0,"n"
"SO19",0,0,0,1,1,1,1,"n"
"SO20",0,0,1,1,1,1,1,"n"
"SO21",0,0,1,1,1,1,1,"n"
"SO22",0,0,1,1,1,1,1,"n"
"SO23",0,0,1,1,1,1,1,"n"
"SO24",1,0,1,1,1,1,1,"n"
"SO25",1,0,1,1,1,1,1,"n"
"SO26",0,0,0,1,0,0,1,"n"
"SO27",0,0,0,1,0,0,0,"n"
"SO28",0,0,0,1,1,0,1,"n"
"SO29",0,0,1,1,0,1,1,"n"
"SO31",0,0,0,1,1,1,1,"n"
"SO32",0,0,1,1,1,1,1,"n"
"SO33",0,0,1,1,1,0,1,"n"
"SO34",0,0,0,0,1,0,0,"n"
"SO35",0,0,1,0,1,1,0,"n"
"SO36",0,0,0,0,1,0,1,"n"
"SO37",1,0,0,0,0,0,0,"n"
"SO39",0,0,0,0,0,1,1,
"SO41",0,0,0,1,1,0,1,"n"
"SO42",0,0,0,1,0,0,1,
"SO43",0,0,0,0,0,0,1,
"SO44",0,0,0,0,1,0,0,"n"
"SO46",0,0,0,0,1,0,1,"n"
"SO47",1,0,1,1,1,1,0,"n"
"SO48",1,0,1,1,1,1,1,"n"
"SO49",1,1,0,1,1,1,1,"n"
"SO50",0,1,1,1,1,1,1,"n"
"SO51",0,0,1,1,1,1,1,"n"
"SO53",0,0,1,1,1,1,1,"n"
"SO56",0,0,1,1,1,1,0,"n"
"SO57",1,0,1,1,1,1,1,"n"
"SO58",0,0,0,1,1,0,1,"n"
"SO59",1,1,0,1,0,1,0,"n"
"SO60",0,0,1,1,0,0,1,"n"
"SO61",1,0,1,1,1,1,0,"n"
"SO62",0,0,0,0,1,0,0,"n"
"SO63",0,0,1,0,1,0,1,"n"
"SO65",0,0,0,0,1,0,0,"n"
"SO66",1,0,1,1,1,1,1,"n"
"SO67",0,0,1,1,1,1,1,"n"
"SO68",0,0,0,1,1,1,1,"n"
"SO69",0,0,1,1,1,1,1,"n"
"SO72",0,0,0,0,1,0,0,"n"
"SO73",1,0,1,1,1,0,0,"n"
"SO74",1,0,1,1,1,1,1,"n"
"SO75",1,0,1,1,1,1,1,"n"
"SO76",1,0,1,1,1,1,0,"n"
"SO77",1,0,1,1,1,1,1,"n"
"SO78",1,1,0,1,1,1,1,"n"
"SO79",1,0,1,1,1,0,0,"n"
"SO80",0,0,1,1,0,0,0,"n"
"SO81",0,0,1,0,0,0,0,"n"
"SO86",1,0,1,1,0,0,1,"n"
"SO87",1,1,1,1,1,1,0,"n"
"SO88",1,0,1,1,1,0,1,"n"
"SO89",0,0,0,0,1,0,0,"n"
"SO90",0,0,1,1,1,1,1,"n"
"SO91",0,0,1,1,1,1,1,"n"
