"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C54",0,0,0,0,1,0,0,"n"
"G54",0,0,0,0,1,0,0,"n"
"G61",0,0,0,0,0,0,1,"n"
"G62",0,0,0,0,1,0,0,"n"
"G64",0,0,0,0,1,1,0,"n"
"H00",0,0,0,0,1,0,0,"n"
"H05",0,0,1,0,1,0,0,"n"
"H06",0,1,0,0,0,0,0,"n"
"H08",0,0,0,0,1,0,0,"n"
"H16",0,0,0,1,0,0,1,"n"
"H23",0,0,0,1,1,0,0,"n"
"H27",0,0,0,0,1,0,0,"n"
"H31",0,0,0,1,0,0,0,"n"
"H32",0,0,0,1,1,1,1,"n"
"H33",0,0,0,1,0,0,0,"n"
"H37",0,0,0,0,1,0,0,"n"
"H41",0,0,0,1,1,0,0,"n"
"H42",0,1,0,1,1,0,0,"n"
"H44",0,0,0,0,1,0,0,"n"
"H46",0,0,0,0,1,0,0,"n"
"H47",1,0,0,0,0,0,0,"n"
"H52",0,0,0,1,0,1,0,"n"
"H53",0,1,0,0,1,0,0,"n"
"H55",0,0,0,0,1,1,0,"n"
"H70",0,0,0,0,0,1,0,
"H76",0,0,0,0,1,1,0,"n"
"H77",0,0,0,1,0,0,0,"n"
"H86",0,0,0,1,0,0,0,"n"
"H89",0,0,0,1,0,0,0,"n"
"H96",0,0,0,1,0,0,0,"n"
"H97",0,0,0,1,0,0,0,"n"
"H98",0,0,0,1,0,1,0,"n"
"HP61",0,0,0,0,0,1,0,"n"
"HU24",0,0,0,0,0,1,0,"n"
"HU25",0,0,0,0,0,1,0,"n"
"HU31",0,0,0,0,0,1,0,"n"
"HU38",0,0,1,0,0,1,0,"n"
"HU44",0,0,0,0,0,1,0,"n"
"HU45",0,0,0,0,0,1,0,"n"
"J12",0,0,0,0,1,0,0,"n"
"J23",0,0,0,0,1,0,0,"n"
"J33",0,0,0,0,1,0,0,"n"
"J35",1,0,0,0,1,0,0,"n"
"J43",0,0,0,0,1,1,0,"n"
"J44",0,0,0,0,1,0,0,"n"
"J45",0,0,0,0,1,0,0,"n"
"J53",0,0,0,0,1,0,0,"n"
"J54",0,0,0,1,1,1,1,"n"
"J55",0,0,0,0,1,1,1,"n"
"L54",0,0,0,1,0,0,1,"n"
"L63",0,0,0,1,0,0,0,
"L64",0,0,0,1,0,0,1,"n"
"M04",0,0,0,0,1,0,0,"n"
"M16",0,0,0,0,1,1,1,"n"
"M17",0,0,0,0,0,1,1,"n"
"M22",0,0,0,1,0,1,1,"n"
"M23",0,0,0,0,0,0,1,"n"
"M24",0,0,1,0,0,0,0,"n"
"M33",0,0,0,0,0,0,1,"n"
"M37",1,0,0,0,0,0,0,"n"
"M40",1,0,0,0,0,0,0,"n"
"M55",0,0,0,0,1,0,0,"n"
"M64",0,0,0,0,0,0,1,
"M69",0,0,0,0,1,0,0,"n"
"M79",0,0,0,0,1,0,0,"n"
"M85",0,0,0,0,0,0,1,
"M95",0,0,0,0,0,0,1,"n"
"N04",1,0,0,0,1,0,0,"n"
"N34",0,0,0,0,0,0,1,
"N35",1,0,0,0,0,0,0,"n"
"N45",1,0,0,1,0,0,1,"n"
"N57",0,0,0,0,0,1,0,
"N66",0,0,0,1,0,0,0,"n"
"N99",1,0,0,0,0,0,0,"n"
"NC26",0,0,0,1,0,0,0,"n"
"NC50",0,0,0,1,0,0,0,"n"
"NG42",0,0,0,1,0,0,0,"n"
"NH70",0,0,0,1,0,0,0,"n"
"NH80",0,0,0,1,0,0,0,"n"
"NH94",0,0,0,0,1,0,0,"n"
"NN79",0,0,0,1,0,0,0,
"NN98",1,0,0,0,0,0,0,"n"
"NS38",1,0,0,0,0,0,0,"n"
"NS55",0,0,1,0,0,0,0,
"NT27",0,0,0,0,1,0,0,"a"
"NT31",0,0,0,1,0,1,0,"n"
"NT41",0,0,0,0,0,1,0,"n"
"NT42",0,0,1,1,0,0,1,"n"
"NT48",1,1,1,0,1,0,1,"n"
"NT51",0,0,0,0,0,0,1,"n"
"NT52",0,0,0,0,0,1,0,"n"
"NU12",1,0,1,0,0,0,0,"n"
"NU13",1,0,0,0,0,0,0,"n"
"NU21",1,0,0,0,0,0,0,"n"
"NX66",0,0,0,0,1,0,0,"n"
"NX67",0,0,0,0,1,0,0,"n"
"NX76",0,0,0,0,1,0,0,"n"
"NX77",1,0,0,0,0,0,0,"n"
"NY43",1,0,0,0,0,0,0,"n"
"NY59",1,0,0,0,0,0,0,"n"
"NZ16",1,0,0,1,1,1,0,"n"
"NZ17",1,0,0,0,0,0,0,"n"
"NZ21",1,0,0,0,0,0,0,"n"
"NZ24",1,0,0,0,0,0,0,"n"
"O03",0,0,0,1,0,0,0,"n"
"O16",1,0,0,0,0,0,0,"n"
"O20",0,0,1,0,0,0,0,"n"
"O23",1,0,0,0,0,0,0,"n"
"O30",0,0,0,0,0,0,1,"n"
"Q61",0,0,0,0,1,0,0,"n"
"R24",1,0,0,0,0,0,0,"n"
"R34",0,0,0,0,1,0,1,"n"
"R35",0,0,0,0,0,1,0,
"R39",0,0,0,1,0,0,1,"n"
"R55",1,0,0,0,0,0,0,"n"
"R63",0,0,0,0,1,0,0,"n"
"R78",0,0,0,1,0,0,0,"n"
"R89",0,0,0,0,1,0,0,"n"
"S04",0,0,0,1,0,0,0,"n"
"S06",0,0,0,0,1,0,0,"n"
"S15",0,0,0,0,1,0,0,"n"
"S26",1,0,0,0,0,0,0,"n"
"S40",0,0,1,0,0,0,0,
"S50",0,0,1,0,1,0,0,
"S61",1,1,0,0,0,0,0,"n"
"S72",0,1,0,0,0,0,0,
"SC39",0,0,0,0,0,0,1,"n"
"SD30",1,0,0,0,0,0,0,"n"
"SD46",0,0,0,1,1,1,0,"n"
"SD47",0,0,1,1,1,0,1,"n"
"SD54",0,0,1,0,0,0,0,"n"
"SD86",0,0,0,0,1,0,0,"n"
"SE37",1,0,0,0,0,0,0,"n"
"SE47",0,1,0,0,0,0,0,"n"
"SE55",1,0,1,0,0,0,0,"n"
"SE57",0,0,0,0,1,0,0,"n"
"SE65",0,0,0,0,1,1,0,"n"
"SE66",1,0,0,0,0,0,0,"n"
"SE70",1,0,1,0,0,0,0,"n"
"SE71",1,0,0,1,0,0,1,"n"
"SE90",0,0,0,0,1,1,0,"n"
"SH23",0,0,0,0,1,0,0,"n"
"SH44",0,0,0,0,1,0,0,"n"
"SH54",0,0,0,0,1,0,0,"n"
"SH55",0,0,0,0,0,0,1,"n"
"SH65",0,0,0,0,0,0,1,"n"
"SH66",0,0,0,0,1,0,0,"n"
"SH75",0,0,0,1,0,0,0,"n"
"SH78",1,0,0,0,0,0,0,"n"
"SJ22",1,1,0,0,0,0,0,"n"
"SJ28",1,0,0,0,0,0,0,"n"
