"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J37",1,0,0,0,0,0,0,"a"
"NO41",0,0,1,0,0,0,0,"a"
"NS56",1,0,0,0,0,0,0,"a"
"NT17",1,0,0,0,0,0,0,"a"
"NT18",1,1,0,0,0,0,0,"a"
"NT27",1,0,1,0,0,0,0,"a"
"NT36",1,0,1,0,0,0,0,"a"
"NZ53",1,0,0,0,0,0,0,"a"
"SD70",1,0,0,0,0,0,0,"a"
"SD95",0,0,1,0,0,0,0,"a"
"SJ38",1,1,0,0,0,0,0,"a"
"SJ39",0,0,0,0,0,1,1,"n"
"SS79",0,0,1,1,1,1,1,"a"
"ST17",1,0,0,0,0,0,0,"a"
"ST27",1,0,0,0,0,0,0,"a"
"SX05",0,1,0,0,0,0,0,"a"
"TA02",1,0,0,0,0,0,0,"a"
"TG01",0,0,0,1,1,0,0,"a"
"TG03",0,1,0,0,0,0,0,"n"
"TG04",0,0,1,0,0,0,0,"n"
"TG12",1,0,0,0,0,0,0,"n"
"TG21",1,0,0,0,0,0,0,"n"
"TL67",1,0,0,0,0,0,0,"n"
"TL76",1,0,0,0,0,0,0,"n"
"TL77",1,0,0,0,1,0,1,"a"
"TL78",1,1,1,1,1,1,1,"n"
"TL79",1,1,0,0,0,0,0,"n"
"TL86",1,0,1,0,0,0,0,"n"
"TL87",1,1,1,0,0,0,0,"n"
"TL88",1,0,1,1,1,1,0,"n"
"TL89",0,1,0,1,1,1,1,"a"
