"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,0,0,1,0,0,"n"
"B90",0,0,0,0,1,0,0,"n"
"C41",0,0,0,1,0,0,0,"n"
"C70",0,0,0,0,1,0,0,"n"
"C71",0,0,0,0,1,0,0,"n"
"C72",0,0,0,0,1,0,0,"n"
"C80",0,0,0,0,1,1,0,"n"
"C81",0,0,0,0,1,0,0,"n"
"C91",0,0,0,0,1,0,0,"n"
"D01",0,0,0,1,0,0,0,"n"
"D02",0,0,0,0,1,0,0,"n"
"D11",0,0,0,1,1,0,0,"n"
"D12",0,0,0,1,1,0,1,"n"
"D13",0,0,0,0,1,0,0,"n"
"D14",0,0,0,0,1,0,0,"n"
"D20",0,0,0,0,0,1,0,
"D21",0,0,0,0,1,1,0,"n"
"D22",0,0,0,0,1,1,0,"n"
"D23",0,0,0,0,1,0,0,"n"
"D30",0,0,0,0,1,0,1,"n"
"G20",0,0,0,0,0,0,1,
"G32",0,0,0,0,0,0,1,
"G62",0,0,0,0,0,0,1,
"G99",0,0,0,0,0,1,0,
"H04",0,1,0,0,0,0,0,"n"
"H05",1,1,0,0,0,1,0,"n"
"H07",0,0,0,0,1,0,0,"n"
"H13",1,0,0,0,0,0,0,"n"
"H14",0,0,0,1,0,0,0,"n"
"H16",1,1,0,0,0,0,0,"n"
"H17",0,0,0,0,1,0,0,"n"
"H23",0,0,1,0,0,0,0,
"H27",0,0,0,0,1,1,0,"n"
"H29",0,0,0,0,0,1,0,
"H35",1,0,1,0,0,0,0,"n"
"H43",0,1,0,0,0,0,0,"n"
"H47",0,0,0,0,1,0,0,"n"
"H54",0,0,0,0,1,1,0,"n"
"H58",0,0,0,0,1,0,0,"n"
"H59",0,0,0,0,1,0,0,"n"
"H68",0,0,0,0,1,0,1,"n"
"H69",0,0,0,1,1,0,0,"n"
"H75",0,0,0,0,1,0,0,"n"
"H77",0,0,0,0,0,1,0,
"H78",0,0,0,0,0,1,0,
"H79",0,0,0,1,0,1,0,"n"
"H96",0,0,0,0,1,0,0,"n"
"H99",0,0,0,1,0,0,0,"n"
"HU32",0,0,0,0,0,1,0,
"HU45",0,0,0,0,0,1,0,"n"
"HY20",1,0,0,0,0,0,1,"n"
"HY22",1,0,0,0,1,0,0,"n"
"HY30",1,0,0,0,0,0,0,"n"
"HY31",0,0,0,1,0,0,1,"n"
"HY32",0,0,0,0,1,0,0,"n"
"HY41",1,0,0,0,0,0,1,"n"
"HY42",0,0,0,0,0,1,0,"n"
"HY43",0,0,0,0,0,0,1,
"HY62",1,0,0,0,0,0,0,"n"
"J10",0,0,0,0,0,0,1,
"J26",0,0,0,0,1,0,0,"n"
"L95",1,0,0,0,0,0,1,"n"
"L99",1,0,0,0,0,0,0,"n"
"M05",0,0,0,0,0,1,0,
"M17",0,0,0,0,0,0,1,
"M38",0,0,0,0,0,0,1,
"M93",0,0,1,0,0,0,0,"n"
"N05",0,0,0,1,0,0,0,"n"
"N44",0,0,0,0,1,0,0,"n"
"N56",0,0,0,0,1,0,0,"n"
"N82",0,0,0,0,0,0,1,
"N92",0,0,0,0,0,0,1,
"NB24",0,0,0,0,0,1,0,
"NC24",0,0,0,0,0,0,1,
"NC25",0,0,0,0,0,0,1,
"NC33",0,0,0,0,0,0,1,
"NC36",0,0,0,0,0,0,1,
"NC55",1,0,0,0,0,0,0,"n"
"NC60",0,0,0,0,0,0,1,"n"
"NC63",0,0,0,0,0,0,1,
"NC64",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC73",0,0,0,0,0,0,1,"n"
"NC83",0,0,0,0,0,0,1,"n"
"NC84",0,0,0,0,0,0,1,
"ND25",0,1,0,0,0,0,0,"n"
"ND34",0,0,0,0,0,0,1,
"ND35",1,0,0,0,0,0,0,"n"
"ND49",0,0,0,0,0,0,1,
"NF19",0,0,0,0,0,0,1,
"NG20",0,0,0,0,0,0,1,"n"
"NG32",0,0,0,0,0,0,1,
"NG42",0,0,0,0,0,1,0,"n"
"NG45",0,0,0,0,0,0,1,
"NG46",0,0,0,0,0,0,1,
"NG51",0,1,0,0,0,1,1,"n"
"NG54",0,0,0,0,0,0,1,
"NG55",0,0,0,0,1,0,0,"n"
"NG56",0,0,0,0,0,0,1,
"NG61",0,0,0,0,0,0,1,
"NG62",0,0,0,0,1,0,0,"n"
"NG71",0,0,0,0,0,0,1,
"NG76",0,0,0,0,0,0,1,
"NG81",0,0,0,0,0,0,1,
"NG82",0,0,0,0,0,0,1,"n"
"NH09",0,1,0,0,0,0,0,"n"
"NH13",0,0,0,1,0,0,0,"n"
"NH18",0,0,0,0,0,1,0,
"NH25",0,0,0,0,0,1,0,"n"
"NH28",0,0,1,0,0,0,0,"n"
"NH34",0,0,0,0,1,0,0,"n"
"NH43",0,0,0,1,1,0,0,"n"
"NH55",1,0,0,0,0,0,0,"n"
"NH64",0,0,0,1,0,0,0,"n"
"NH79",0,0,0,0,0,0,1,
"NH80",0,0,0,1,0,0,0,"n"
"NH81",1,0,0,0,0,0,0,"n"
"NH91",1,0,0,0,0,0,0,"n"
"NJ11",1,0,0,0,0,0,0,"n"
"NJ12",0,0,0,0,0,0,1,"n"
"NJ40",0,0,0,0,0,0,1,
"NJ54",0,0,0,0,0,0,1,
"NJ71",0,0,0,0,0,1,0,
"NM04",0,1,0,0,1,0,0,"n"
"NM21",0,0,0,0,0,0,1,
"NM22",0,0,0,0,0,0,1,"n"
"NM25",0,0,0,0,1,0,0,"n"
"NM26",0,0,0,0,1,0,0,"n"
"NM43",0,0,0,0,0,0,1,
"NM46",0,0,0,0,0,1,1,
"NM56",0,0,1,0,0,0,0,"n"
"NM57",0,0,0,0,0,1,0,
"NM65",1,0,0,0,0,0,0,"n"
"NM66",0,0,1,0,0,0,0,"n"
"NM68",1,1,0,0,0,0,0,"n"
"NM69",0,1,0,0,0,0,0,"n"
"NM80",0,0,0,0,0,0,1,"n"
"NM82",0,0,0,0,0,1,1,
"NM84",0,0,0,0,0,0,1,"n"
"NM85",0,0,0,0,0,0,1,"n"
"NM93",0,0,0,0,0,0,1,
"NM95",0,0,0,0,0,1,0,
"NM96",0,0,0,0,0,0,1,
"NN01",0,0,0,0,0,0,1,
"NN05",0,0,0,0,0,0,1,
"NN06",0,0,1,0,0,0,0,"n"
"NN07",0,1,0,0,0,0,0,"n"
"NN10",1,0,0,0,0,0,0,"n"
"NN15",0,0,0,0,0,0,1,
"NN21",1,0,0,1,0,0,0,"n"
"NN22",1,0,0,0,0,1,1,"n"
"NN30",0,0,0,1,0,0,0,"n"
"NN33",0,0,0,0,0,0,1,"n"
"NN38",1,0,0,0,0,0,0,"n"
"NN40",0,0,0,0,0,0,1,
"NN43",1,0,0,0,0,0,1,"n"
"NN53",1,0,0,0,0,0,0,"n"
"NN54",1,0,0,0,0,1,0,"n"
"NN61",0,0,0,0,0,0,1,
"NN62",0,0,0,0,0,0,1,
"NN64",1,0,1,1,0,0,0,"n"
"NN74",1,0,0,0,0,0,0,"n"
"NN75",1,0,0,0,0,0,1,"n"
"NN85",1,1,0,0,0,0,0,"n"
"NN86",0,0,0,0,0,0,1,
"NN96",0,0,0,0,0,1,0,"n"
"NO03",0,0,0,0,0,1,0,
"NO07",0,0,0,0,0,0,1,
"NO08",0,0,0,0,0,0,1,
"NO15",0,0,0,0,0,1,0,
"NO16",1,0,0,0,0,1,0,"n"
"NO17",0,0,0,0,0,1,0,"n"
"NO19",1,0,0,0,0,0,0,"n"
"NO27",1,0,0,0,0,1,0,"n"
"NO47",0,0,0,0,0,0,1,
"NR27",1,0,0,0,0,0,0,"n"
"NR35",1,0,0,0,0,0,0,"n"
"NR46",0,0,1,0,0,0,0,"n"
"NR62",0,0,0,0,0,0,1,"n"
"NR67",0,0,1,0,0,0,1,"n"
"NR72",0,0,0,0,1,0,0,"n"
"NR73",0,0,0,0,0,0,1,
"NR76",1,0,0,0,1,0,0,"n"
"NR77",0,0,0,0,0,0,1,
"NR78",0,0,0,0,0,0,1,"n"
"NR88",1,0,0,0,0,0,1,"n"
"NR89",0,0,0,0,0,0,1,
"NS06",0,0,0,0,0,1,0,
"NS09",0,0,0,0,0,0,1,
"NS26",0,0,0,0,1,0,0,"n"
"NS27",0,0,0,0,0,1,0,
"NS28",0,0,0,1,0,0,0,"n"
"NS29",0,0,0,1,0,0,0,"n"
"NS36",0,0,0,0,1,1,0,"n"
"NS37",0,0,0,1,0,0,0,
"NS38",0,0,0,1,0,0,0,"n"
"NS39",0,0,0,1,0,0,0,
"NS45",0,0,0,0,1,0,0,"n"
"NS48",0,0,0,1,0,0,0,"n"
"NS55",0,0,0,0,0,1,0,
"NS57",0,0,0,0,1,0,0,"n"
"NT00",1,0,0,0,0,0,1,
"NT01",0,0,0,0,0,0,1,"n"
"NT10",0,0,0,0,0,0,1,
"NT11",0,0,0,1,0,0,1,"n"
"NT12",0,0,0,0,1,0,0,"n"
"NT19",0,0,0,1,0,0,0,
"NT22",0,0,0,0,0,0,1,
"NT23",0,0,0,0,0,0,1,
"NT24",0,0,0,1,0,0,0,"n"
"NT25",0,0,0,0,1,0,0,"n"
"NT30",0,0,0,0,1,0,0,"n"
"NT31",0,0,0,0,0,1,0,
"NT42",1,0,0,0,0,0,0,
"NT45",0,0,0,0,0,1,0,"n"
"NT53",0,0,0,0,0,0,1,
"NT70",0,0,0,0,1,0,0,"n"
"NT73",0,0,0,0,0,1,0,
"NW97",0,0,0,0,0,0,1,
"NX59",0,0,0,0,0,0,1,
"NX69",0,0,0,0,0,0,1,
"NX78",0,0,0,0,0,0,1,
"NX79",1,0,0,0,0,0,0,"n"
"NX89",0,0,0,0,0,0,1,
"NY07",0,0,0,0,0,0,1,
"NY11",0,0,0,0,0,1,0,
"NY21",1,0,0,0,0,0,1,"n"
"NY23",0,0,0,0,0,1,0,
"NY30",0,0,1,0,0,0,0,"n"
"NY31",0,0,0,0,0,0,1,"n"
"NY33",0,0,0,0,0,0,1,
"NY40",0,0,0,0,0,0,1,
"NY41",1,0,0,0,0,0,0,"n"
"NY50",0,0,0,0,0,1,1,
"NY55",0,0,0,0,0,0,1,
"NY60",0,0,0,0,0,1,1,
"NY63",1,0,0,0,0,0,0,"n"
"NY66",1,0,0,0,0,0,0,
"NY68",0,0,0,0,0,1,0,
"NY70",0,0,0,0,0,1,0,"n"
"NY72",0,1,0,0,0,0,1,"n"
"NY73",0,0,0,0,0,0,1,
"NY76",0,0,0,1,0,0,0,"n"
"NY82",0,0,0,0,0,0,1,
"NY83",0,1,0,0,0,0,0,"n"
"NY93",0,0,0,0,0,0,1,
"NY95",0,0,0,1,0,0,0,"n"
"NZ71",0,0,0,0,0,0,1,
"Q40",0,0,0,0,0,0,1,
"R24",1,0,0,0,0,0,0,"n"
"R25",1,0,0,0,0,0,0,
"R34",1,0,0,0,0,0,0,
"S84",0,0,0,0,0,0,1,
"SD28",0,0,0,0,0,0,1,"n"
"SD38",0,0,0,0,0,0,1,
"SD49",0,0,1,0,0,0,0,"n"
"SD59",1,0,0,0,0,0,0,"n"
"SD68",0,0,0,1,0,0,0,
"SD69",0,0,0,0,0,1,0,
"SD72",0,0,0,0,0,0,1,
"SD77",0,0,1,0,0,1,1,"n"
"SD86",0,1,0,0,0,1,1,"n"
"SD87",0,0,0,0,0,1,0,
"SD95",0,0,0,0,0,0,1,
"SD96",0,0,0,1,0,0,1,
"SD98",0,1,0,0,0,0,1,"n"
"SE08",1,0,0,0,0,0,0,"n"
"SE27",0,1,0,0,0,0,0,"n"
"SE37",0,1,0,0,0,0,1,"n"
"SE58",1,0,0,0,0,0,0,"n"
"SE88",0,0,0,0,0,0,1,
"SE89",0,0,0,0,0,0,1,
"SH12",0,0,0,0,0,1,0,
"SH33",0,0,0,0,0,1,0,"n"
"SH34",0,0,0,0,0,0,1,
"SH48",0,0,1,0,0,0,1,"n"
"SH49",0,0,0,0,1,0,0,"n"
"SH54",0,0,0,0,0,1,0,"n"
"SH55",1,0,0,0,0,0,0,"n"
"SH57",0,0,1,0,0,0,0,"n"
"SH58",0,1,0,0,0,0,0,"n"
"SH62",0,0,0,0,0,0,1,
"SH63",0,0,0,0,0,0,1,"n"
"SH66",1,0,0,0,0,1,0,"n"
"SH71",0,0,0,0,1,0,1,"n"
"SH75",1,0,0,0,0,0,0,"n"
"SH76",0,0,0,0,0,1,0,"n"
"SH77",0,0,0,0,0,1,0,
"SH84",0,0,0,0,1,0,1,"n"
"SH86",0,0,0,0,0,1,0,
"SJ03",0,0,0,0,0,1,0,
"SJ06",0,0,0,0,0,0,1,
"SJ13",0,0,0,0,1,0,0,
"SJ17",0,0,0,0,1,0,0,
"SJ26",0,0,0,0,0,1,0,
"SJ30",0,0,0,0,0,0,1,
"SJ50",1,0,0,0,0,0,0,"n"
"SK29",0,0,0,0,0,1,0,
"SM70",0,0,0,0,0,1,0,
"SM72",0,0,0,0,0,1,0,"n"
"SM81",0,0,0,0,0,1,0,
"SM82",0,0,0,0,0,1,0,
"SM83",0,0,0,0,0,1,0,
