"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NT29",0,0,0,0,0,0,1,
"NY46",0,0,0,0,0,1,0,
"SD27",0,0,0,0,0,0,1,
"SD51",0,0,0,0,0,0,1,
"SD62",0,0,0,0,0,0,1,
"SD69",0,0,0,0,0,1,0,
"SD86",0,0,0,0,0,0,1,
"SD90",0,0,0,0,0,0,1,
"SE08",0,0,0,0,0,0,1,
"SE13",0,0,0,0,1,0,1,"a"
"SE22",0,0,0,0,0,0,1,
"SE32",0,0,0,0,0,0,1,
"SE42",0,0,0,0,0,0,1,
"SE51",0,0,0,0,0,0,1,
"SH87",0,0,0,0,0,0,1,
"SH88",0,0,0,0,0,0,1,
"SJ89",0,0,0,0,0,0,1,
"SJ99",0,0,0,0,0,0,1,
"SK38",0,0,0,0,1,0,0,
"SK39",0,0,0,0,0,0,1,
"SK43",0,0,0,0,0,0,1,
"SK45",0,0,0,0,0,1,0,
"SK50",0,0,0,0,0,0,1,
"SK53",0,0,0,0,0,1,1,
"SK85",0,0,0,0,0,0,1,
"SN51",0,0,0,0,0,0,1,
"SN83",0,0,0,0,0,0,1,
"SO10",0,0,0,0,0,0,1,
"SO63",0,0,0,0,0,0,1,
"SO74",0,0,0,0,0,1,0,
"SO87",0,0,0,0,0,1,0,
"SO98",0,0,0,0,0,1,0,
"SO99",0,0,0,0,1,0,0,
"SP03",0,0,0,0,0,0,1,
"SP08",0,0,0,0,1,0,0,"a"
"SP18",0,0,0,0,0,0,1,
"SP49",0,0,0,0,0,0,1,
"SS63",0,0,0,0,0,0,1,
"SS79",0,0,0,0,0,0,1,
"SS84",0,0,0,0,1,0,0,"a"
"ST64",0,0,0,0,1,0,0,"a"
"SU06",0,0,0,0,0,0,1,
"SU30",0,0,0,0,0,0,1,
"SU41",0,0,0,0,0,0,1,
"SU50",0,0,0,0,0,1,0,
"SU59",0,0,0,0,0,0,1,
"SU72",0,0,0,0,0,0,1,
"SU83",0,0,0,0,1,0,0,
"SU85",0,0,0,0,0,0,1,
"SU86",0,0,0,0,1,0,1,"a"
"SU89",0,0,0,0,0,1,0,
"SU94",0,0,0,0,1,0,1,"a"
"SW74",0,0,1,0,0,0,0,"a"
"SW84",0,0,0,0,1,0,0,
"SW86",0,0,0,0,0,0,1,
"SX05",0,0,0,0,0,0,1,
"SX06",0,0,0,0,0,0,1,
"SX17",0,0,0,0,0,0,1,
"SX25",0,0,0,0,0,0,1,
"SX28",0,0,0,0,0,0,1,
"SX44",0,0,0,0,1,0,0,
"SX76",0,0,0,0,0,0,1,
"SY98",0,0,0,0,1,0,0,"a"
"SZ08",0,0,0,0,1,1,0,"a"
"SZ09",0,0,0,0,0,0,1,
"SZ19",0,0,0,0,0,0,1,
"TF14",0,0,0,0,0,0,1,
"TF61",0,0,0,0,0,1,1,
"TG01",0,0,0,0,0,0,1,
"TG14",0,0,0,0,0,1,0,
"TG20",0,0,0,0,0,0,1,
"TG21",0,0,0,0,0,0,1,
"TG30",0,0,0,0,0,0,1,
"TL50",0,0,0,0,0,0,1,
"TL62",0,0,0,0,0,0,1,
"TL66",0,0,0,0,0,0,1,
"TL71",0,0,0,0,0,0,1,
"TL73",0,0,0,0,0,0,1,
"TL77",0,0,0,0,0,1,0,
"TL92",0,0,0,0,0,0,1,
"TM15",0,0,0,0,0,1,0,
"TQ04",0,0,0,0,1,0,0,"a"
"TQ05",0,0,0,1,0,0,0,"a"
"TQ06",0,0,0,1,1,0,0,"a"
"TQ07",0,0,0,0,0,1,0,
"TQ23",0,0,0,0,0,0,1,
"TQ25",0,0,0,1,0,0,0,"a"
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ30",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,1,0,
"TQ54",0,0,0,0,0,0,1,
"TQ58",0,0,0,0,0,0,1,
"WV65",0,0,0,0,1,0,0,"a"
