"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NJ05",0,0,0,0,0,0,1,
"NS65",0,0,0,1,0,0,0,
"NS74",0,0,0,0,0,0,1,
"NT37",0,0,0,0,0,1,1,
"NU12",0,0,0,0,0,0,1,
"NX76",0,0,0,0,1,0,0,"a"
"NY42",0,0,0,0,0,1,0,
"NY43",0,0,0,0,0,1,0,
"NZ41",0,0,0,0,1,0,0,"a"
"NZ42",0,0,0,0,0,1,0,
"SD26",0,0,0,0,0,1,0,
"SD31",0,0,0,0,0,1,0,
"SD33",0,0,0,0,0,0,1,
"SD34",0,0,0,0,0,0,1,
"SD45",0,0,0,0,0,0,1,
"SD52",0,0,0,0,0,1,0,
"SD60",0,0,0,0,0,0,1,
"SD66",0,0,0,0,0,0,1,
"SD70",0,0,0,0,0,0,1,
"SD71",0,0,0,0,0,0,1,
"SD75",0,0,0,0,0,1,0,
"SD80",0,0,0,0,0,0,1,
"SE13",0,0,0,0,1,0,1,"a"
"SE14",0,0,0,0,1,0,0,
"SE24",0,0,0,0,0,1,0,
"SE25",0,0,0,0,0,0,1,
"SE33",0,0,0,0,0,0,1,
"SH57",0,0,0,0,0,1,1,
"SJ07",0,0,0,0,0,0,1,
"SJ24",0,0,0,0,0,0,1,
"SJ79",0,0,0,0,0,0,1,
"SJ85",0,0,0,0,0,0,1,
"SJ89",0,0,0,0,0,1,1,
"SJ90",0,0,0,0,0,0,1,
"SJ91",0,0,0,0,0,1,0,
"SJ98",0,0,0,0,1,0,0,"a"
"SK16",0,0,0,0,1,0,0,
"SK26",0,0,0,0,0,0,1,
"SK56",0,0,0,0,0,1,1,
"SN12",0,0,0,0,0,1,0,
"SO82",0,0,0,0,0,0,1,
"SO84",0,0,0,0,0,1,0,
"SP08",0,0,0,0,1,0,0,"a"
"SP18",0,0,0,0,0,0,1,
"SS58",0,0,0,0,0,1,0,
"ST22",0,0,0,0,0,1,1,
"ST90",0,0,0,0,1,0,0,
"SU10",0,0,0,0,1,0,0,"a"
"SU41",0,0,0,0,0,1,0,
"SU48",0,0,0,0,0,0,1,
"SU50",0,0,0,0,0,0,1,
"SU58",0,0,0,0,0,0,1,
"SU76",0,0,0,0,0,0,1,
"SU87",0,0,0,0,0,0,1,
"SU88",0,0,0,0,0,1,0,
"SU89",0,0,0,0,0,1,1,
"SU95",0,0,0,0,0,0,1,
"SZ07",0,0,0,0,0,1,0,
"SZ39",0,0,0,0,1,1,1,"a"
"SZ69",0,0,0,0,1,1,0,"a"
"TF82",0,0,0,0,0,1,0,
"TL09",0,0,0,0,0,1,0,
"TL18",0,0,0,0,0,1,1,
"TL19",0,0,0,0,0,1,1,
"TL28",0,0,0,0,0,1,1,
"TL38",0,0,0,0,0,0,1,
"TL45",0,0,0,0,0,1,0,
"TL83",0,0,0,0,0,0,1,
"TM19",0,0,0,0,0,0,1,
"TM28",0,0,0,0,0,0,1,
"TM59",0,0,0,1,0,0,0,"a"
"TQ05",0,0,0,0,1,0,0,"a"
"TQ12",0,0,0,0,1,0,0,"a"
"TQ15",0,0,0,0,1,0,1,"a"
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,0,1,
"TQ23",0,0,0,0,0,0,1,
"TQ31",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,1,0,
"TQ79",0,0,0,0,0,0,1,
