"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NH91",0,0,0,0,0,1,0,
"NJ15",0,0,0,0,0,0,1,
"NM49",0,0,1,0,0,0,0,
"NO42",0,0,0,0,0,0,1,
"NT27",0,0,0,0,0,0,1,
"NY42",0,0,0,0,0,0,1,
"SD17",0,0,0,0,0,0,1,
"SD47",0,0,0,1,1,0,0,
"SH28",0,0,0,1,0,0,0,
"SN31",0,0,0,0,0,0,1,
"SP08",0,0,0,0,0,0,1,
"SP40",0,0,0,0,1,0,0,
"SP87",0,0,0,0,0,0,1,
"SS68",0,0,0,0,0,0,1,
"SS69",0,0,0,0,0,0,1,
"ST17",0,0,0,0,0,0,1,
"SU29",0,0,0,0,1,0,0,
"SU38",0,0,0,0,1,0,0,
"SU39",0,0,0,0,1,0,0,
"SU47",0,0,0,0,1,0,0,
"SU56",0,0,0,0,1,0,0,
"SU57",0,0,0,0,1,0,0,
"SU59",0,0,0,0,1,0,0,
"SU67",0,0,0,0,1,0,0,
"SU76",0,0,0,0,1,0,0,
"SU82",0,0,0,0,0,0,1,
"SU83",0,0,0,0,1,0,0,
"SU84",0,0,0,0,1,0,0,
"SU85",0,0,0,0,0,1,0,
"SU95",0,0,0,0,1,0,0,
"SU96",0,0,0,0,1,0,0,
"SU97",0,0,0,0,1,0,0,
"SV81",1,0,0,0,0,0,0,
"SZ09",0,0,0,0,0,0,1,
"TL10",0,0,0,0,0,1,0,
"TQ06",0,0,0,0,0,1,0,
"TQ08",0,0,0,0,0,1,0,
"TQ15",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,1,0,
"TQ55",0,0,0,0,0,1,0,
"TQ57",0,0,0,0,0,0,1,
"WV38",0,0,0,0,0,0,1,
