"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",0,0,0,0,0,0,1,"n"
"B70",0,0,0,0,1,1,1,"n"
"B71",0,0,0,0,1,0,1,"n"
"B72",0,0,0,0,1,1,0,"n"
"B80",0,0,0,0,0,0,1,"n"
"B82",0,0,0,0,0,0,1,"n"
"B83",0,0,0,0,1,0,0,"n"
"B93",0,0,0,0,1,1,1,"n"
"C03",0,0,0,0,0,0,1,"n"
"C13",0,0,0,0,0,1,0,"n"
"C14",0,0,0,0,1,1,1,"n"
"C21",0,0,0,0,1,0,0,"n"
"C23",0,0,0,0,0,0,1,"n"
"C24",0,0,0,0,1,0,1,"n"
"C32",0,0,0,0,0,1,1,"n"
"C33",0,0,0,0,1,0,0,"n"
"C34",0,0,0,0,1,0,0,"n"
"C63",0,0,0,0,1,0,1,"n"
"C73",1,1,0,0,1,0,1,"n"
"C94",1,0,0,0,1,0,1,"n"
"D04",1,0,1,0,0,0,0,"n"
"D05",0,0,0,0,1,0,0,"n"
"D15",0,0,0,0,1,0,0,"n"
"D21",1,0,0,0,0,0,0,"n"
"D22",1,1,0,1,1,0,1,"n"
"D23",1,0,0,0,1,0,0,"n"
"D40",0,0,0,0,1,1,1,"n"
"F61",0,0,0,0,0,0,1,"n"
"F62",0,0,0,0,0,0,1,"n"
"F63",0,0,0,0,1,0,1,"n"
"F71",0,0,0,0,0,0,1,"n"
"F72",0,0,0,0,0,0,1,"n"
"F73",0,0,0,0,0,0,1,"n"
"G13",0,0,0,0,1,0,1,"n"
"G22",0,0,0,0,0,0,1,"n"
"G23",0,0,0,0,0,0,1,"n"
"G53",0,0,0,0,0,1,1,"n"
"G54",0,0,0,0,0,1,1,"n"
"G57",0,0,0,0,0,0,1,"n"
"G63",1,0,0,0,0,1,1,"n"
"G64",0,0,0,1,1,1,1,"n"
"G65",0,0,0,0,1,1,1,"n"
"G67",0,0,0,0,0,0,1,"n"
"G69",0,0,0,0,1,0,1,"n"
"G75",0,0,0,0,0,0,1,"n"
"G77",0,0,0,0,0,0,1,"n"
"G79",0,0,0,0,1,0,1,"n"
"G86",0,0,0,0,0,1,0,"n"
"G87",0,0,0,0,0,0,1,"n"
"HU30",0,0,0,0,0,0,1,"n"
"HU31",1,0,0,0,0,0,1,"n"
"HU32",0,0,0,0,0,0,1,"n"
"HU42",0,0,0,0,0,0,1,"n"
"HY50",1,0,0,1,1,1,1,"n"
"HY62",0,0,0,0,0,0,1,"n"
"HY63",1,0,0,0,1,1,1,"n"
"HY64",1,0,0,0,1,0,0,"n"
"HY73",0,0,0,0,0,1,1,"n"
"HY74",0,0,0,0,0,0,1,"n"
"J00",0,0,0,0,0,1,0,"n"
"J10",0,0,0,0,1,0,1,"n"
"J20",0,0,0,0,1,0,1,"n"
"J21",0,0,0,1,1,1,1,"n"
"J31",0,0,0,0,1,1,0,"n"
"J32",0,0,0,0,1,0,0,"n"
"J33",1,0,1,1,1,0,1,"n"
"J38",0,0,0,0,0,0,1,"n"
"J43",0,0,1,0,1,1,1,"n"
"J44",0,0,1,0,0,0,0,"n"
"J47",0,0,0,0,1,0,1,"n"
"J48",0,0,0,0,1,1,1,"n"
"J49",0,0,0,0,0,0,1,"n"
"J53",0,0,0,0,0,1,0,"n"
"J54",0,0,0,0,0,1,1,"n"
"J55",0,0,0,0,1,0,0,"n"
"J57",0,0,0,0,1,0,1,"n"
"J58",0,0,0,0,1,1,0,"n"
"J64",0,0,0,0,1,1,1,"n"
"J65",0,0,0,1,1,1,1,"n"
"J66",0,0,0,0,1,1,1,"n"
"J67",0,0,0,0,1,1,0,"n"
"L54",0,0,0,0,1,0,1,"n"
"L55",0,0,0,0,0,0,1,"n"
"L56",0,0,0,0,0,1,0,"n"
"L63",0,0,0,1,1,1,1,"n"
"L64",0,0,0,0,0,0,1,"n"
"L65",0,0,0,0,0,0,1,"n"
"L66",0,0,0,0,0,0,1,"n"
"L72",0,0,0,0,1,0,1,"n"
"L76",0,0,0,0,0,0,1,"n"
"L80",0,0,0,1,0,0,1,"n"
"L81",0,0,0,0,0,0,1,"n"
"L82",0,0,0,0,0,0,1,"n"
"L90",0,0,0,0,1,1,1,"n"
"M10",0,0,0,0,1,1,1,"n"
"M20",0,0,0,0,1,1,1,"n"
"M21",0,0,0,0,0,1,1,"n"
"M31",0,0,0,0,0,1,0,"n"
"NA91",0,1,1,0,1,0,0,"n"
"NB00",0,1,0,0,0,0,0,"n"
"NB03",0,1,1,0,0,1,0,"n"
"NB10",0,1,0,0,0,0,0,"n"
"NB13",0,1,0,0,0,0,1,"n"
"NB14",0,1,0,0,0,0,0,"n"
"NB43",0,0,0,0,0,0,1,"n"
"NB56",0,0,1,0,0,0,0,"n"
"NB91",0,0,0,0,0,1,0,"n"
"NC56",0,0,0,0,1,0,0,"n"
"NC66",0,0,0,0,0,0,1,"n"
"NC76",1,0,0,0,0,0,0,"n"
"NC80",1,0,0,1,0,0,0,"n"
"ND16",0,0,0,1,0,1,0,"n"
