"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NS16",0,0,0,0,0,0,1,
"NS25",0,0,0,0,0,1,0,
"NS28",0,0,0,1,1,0,0,"a"
"NS38",0,0,0,0,0,0,1,
"NS47",0,0,0,0,0,0,1,
"NS59",0,0,0,0,0,0,1,
"NZ28",0,0,0,0,0,0,1,
"S30",0,0,0,0,0,0,1,
"S60",0,0,0,0,0,0,1,
"S70",0,0,0,0,0,0,1,
"S71",0,0,0,0,0,0,1,
"S80",0,0,0,0,0,0,1,
"S81",0,0,0,0,0,0,1,
"S82",0,0,0,0,0,0,1,
"S91",0,0,0,0,0,0,1,
"S92",0,0,0,0,0,0,1,
"S93",0,0,0,0,0,0,1,
"S94",0,0,0,0,0,0,1,
"SC27",1,0,0,0,1,0,0,"a"
"SC28",0,0,0,0,1,0,0,"a"
"SC37",0,0,0,0,1,0,0,"a"
"SC39",0,0,0,0,0,0,1,
"SC48",0,0,0,0,0,0,1,
"SC49",0,0,0,0,1,0,0,"a"
"SD42",0,0,0,0,1,0,0,
"SD94",0,0,0,0,0,0,1,
"SE05",0,0,0,0,0,0,1,
"SE13",0,0,0,0,0,1,1,
"SE21",0,0,0,0,0,0,1,
"SE23",0,0,0,0,0,0,1,
"SE24",0,0,0,0,0,0,1,
"SE30",0,0,0,0,0,0,1,
"SE32",0,0,0,0,0,0,1,
"SE33",0,0,0,0,0,0,1,
"SE44",0,0,0,0,0,0,1,
"SH61",0,1,0,0,0,0,0,"a"
"SJ08",0,0,0,0,1,0,0,"a"
"SJ84",0,0,0,0,0,0,1,
"SJ89",0,0,0,0,0,0,1,
"SK14",0,0,0,0,0,0,1,
"SK22",0,0,0,0,0,0,1,
"SK39",0,0,0,0,0,0,1,
"SK44",0,0,0,0,0,0,1,
"SK53",0,0,0,0,0,0,1,
"SK54",0,0,0,0,1,0,0,"a"
"SK57",0,0,0,0,0,0,1,
"SK60",0,0,0,0,0,0,1,
"SK67",0,0,0,0,0,0,1,
"SK98",0,0,0,0,0,0,1,
"SN68",0,0,0,0,0,1,1,
"SN96",0,0,0,0,0,0,1,
"SO70",0,0,0,0,1,0,0,"a"
"SO84",0,0,0,0,1,0,0,
"SO88",0,0,0,0,0,1,0,
"SO89",0,0,0,0,0,1,1,
"SO99",0,0,0,0,0,1,0,
"SP49",0,0,0,0,0,0,1,
"SS54",0,0,0,0,0,0,1,
"SS63",0,0,0,0,0,0,1,
"SS70",0,0,0,0,0,0,1,
"ST17",0,0,0,0,0,0,1,
"ST43",0,0,0,0,0,0,1,
"ST57",0,0,0,0,0,0,1,
"ST67",0,0,0,1,0,0,0,"a"
"ST76",0,0,0,0,0,0,1,
"SU18",0,0,0,0,0,0,1,
"SU42",0,0,0,0,0,0,1,
"SU66",0,0,0,0,0,0,1,
"SU68",0,0,0,0,0,0,1,
"SU74",0,0,0,0,0,0,1,
"SU76",0,0,0,0,0,0,1,
"SU77",0,0,0,0,1,0,1,
"SU82",0,0,0,0,0,0,1,
"SU86",0,0,0,0,0,0,1,
"SU88",0,0,0,0,0,0,1,
"SU97",0,0,0,0,0,0,1,
"SU99",0,0,0,0,1,0,0,
"SX45",0,0,0,0,0,0,1,
"SX56",0,0,0,0,0,0,1,
"SX85",0,0,0,0,1,0,0,"a"
"SZ09",0,0,0,0,0,0,1,
"SZ29",0,0,0,0,0,0,1,
"T00",0,0,0,0,0,0,1,
"T01",0,0,0,0,0,0,1,
"T02",0,0,0,0,0,0,1,
"T03",0,0,0,0,0,0,1,
"T04",0,0,0,0,0,0,1,
"T10",0,0,0,0,0,0,1,
"T11",0,0,0,0,0,0,1,
"T12",0,0,0,0,0,0,1,
"T13",0,0,0,0,0,0,1,
"T14",0,0,0,0,0,0,1,
"T15",0,0,0,0,0,0,1,
"T25",0,0,0,0,0,0,1,
"T26",0,0,0,0,0,0,1,
"TA20",0,0,0,0,0,0,1,
"TA21",0,0,0,0,0,0,1,
"TF25",0,0,0,0,0,0,1,
"TF27",0,0,0,0,0,0,1,
"TF32",0,0,0,0,0,0,1,
"TF34",0,0,0,0,0,0,1,
"TF42",0,0,0,0,0,0,1,
"TG11",0,0,0,0,0,0,1,
"TG31",0,0,0,0,0,0,1,
"TL16",0,0,0,0,0,0,1,
"TL20",0,0,0,0,0,0,1,
"TL30",0,0,0,0,0,0,1,
"TL40",0,0,0,0,0,0,1,
"TL41",0,0,0,0,0,1,0,
"TL49",0,0,0,0,0,0,1,
"TL70",0,0,0,0,0,0,1,
"TL80",0,0,0,0,0,0,1,
"TM02",0,0,0,0,0,0,1,
"TQ07",0,0,0,0,0,0,1,
"TQ10",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,0,1,0,
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,0,1,
"TQ19",0,0,0,0,0,0,1,
"TQ20",0,0,0,0,0,1,0,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,1,1,
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,0,1,
"TQ39",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,0,1,
"TQ46",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ49",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,1,1,
"TQ58",0,0,0,0,0,1,1,
"TQ59",0,0,0,0,0,1,1,
"TQ64",0,0,0,0,0,0,1,
"TQ65",0,0,1,0,0,0,0,"a"
"TQ68",0,0,0,0,0,1,1,
"TQ78",0,0,0,0,0,0,1,
"TQ88",0,0,0,0,0,0,1,
"TQ89",0,0,0,0,0,0,1,
"TQ98",0,0,0,0,0,0,1,
"TR34",0,0,1,0,0,0,0,"a"
"X79",0,0,0,0,0,0,1,
