"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J37",0,0,0,0,0,0,1,
"SD33",0,0,0,1,0,0,0,
"SH97",0,0,0,1,0,0,0,"a"
"SP01",0,1,0,0,0,0,0,"a"
"SU77",0,0,0,0,1,0,0,"a"
"SU86",0,0,0,1,0,0,0,"a"
"SZ19",0,0,0,0,1,0,0,"a"
"TF04",0,0,0,0,0,0,1,
"TF52",0,0,0,0,1,0,0,
"TF74",0,0,0,1,1,0,0,"a"
"TF92",0,0,0,1,1,0,0,"a"
"TL24",0,0,0,1,0,0,0,"a"
"TL44",0,0,0,1,0,0,0,"a"
"TL70",0,0,0,0,0,0,1,
"TL77",0,0,0,0,1,0,0,"a"
"TL80",0,0,1,1,1,1,1,"a"
"TL81",0,0,0,1,0,0,1,"a"
"TL84",0,0,0,0,0,1,0,
"TL90",0,0,0,0,0,0,1,
"TM02",0,0,0,0,0,1,0,
"TM03",0,0,0,0,0,0,1,
"TQ30",0,0,0,0,0,1,0,
"TQ38",0,0,0,0,1,0,0,"a"
"TQ79",0,0,0,0,0,1,1,
"TQ88",0,0,0,1,0,0,0,"a"
"TQ89",0,0,0,0,0,0,1,
"TQ94",1,0,1,1,1,1,1,"a"
"TQ99",0,0,0,0,0,1,0,
