"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C41",0,0,0,0,1,0,0,"n"
"C63",1,1,1,1,0,0,0,"n"
"F92",0,0,1,1,0,0,0,"n"
"G68",0,0,0,0,1,0,0,"n"
"G71",0,0,1,0,1,1,1,"n"
"G80",1,0,0,0,0,0,0,"n"
"G95",1,0,0,0,0,0,0,"n"
"H14",0,0,1,0,0,0,0,"n"
"H15",0,1,0,1,1,1,1,"n"
"H30",1,0,0,0,0,0,0,"n"
"H31",1,0,0,0,1,0,1,"n"
"H32",1,1,1,1,1,1,1,"n"
"H41",0,0,0,1,0,0,1,"n"
"H42",1,0,1,1,0,0,0,"n"
"H47",1,0,0,0,0,0,0,"n"
"H48",1,0,0,0,0,0,0,"n"
"H53",0,1,1,1,0,0,0,"n"
"H61",0,0,0,0,0,1,0,
"H63",0,0,0,0,0,0,1,"n"
"H73",0,0,0,1,1,1,1,"n"
"H74",1,0,0,0,1,1,1,"n"
"J16",1,0,0,0,0,0,0,"n"
"J18",1,0,0,0,0,0,0,
"J29",1,0,0,0,0,0,0,"n"
"L87",0,0,0,0,0,0,1,"n"
"M16",1,0,0,0,0,0,0,"n"
"M17",1,0,0,0,0,0,0,"n"
"M20",0,0,0,1,0,0,0,"n"
"M32",1,0,0,0,0,0,0,"n"
"M40",1,0,0,0,0,0,0,"n"
"M41",1,0,0,0,1,0,1,"n"
"M55",0,0,0,1,0,0,1,"n"
"M80",1,1,1,1,0,1,1,"n"
"N04",1,0,0,0,1,1,0,"n"
"N05",1,0,0,0,0,0,0,"n"
"N14",1,0,0,1,1,0,0,"n"
"N15",1,0,0,0,0,0,0,"n"
"N35",0,0,0,1,1,0,0,"n"
"N36",0,0,1,1,1,0,0,"n"
"N39",1,0,0,0,0,0,0,"n"
"N45",1,0,0,1,1,0,0,"n"
"N54",0,0,0,0,1,0,0,"n"
"N62",1,1,0,0,0,0,0,"n"
"N65",1,0,0,0,0,0,0,"n"
"N89",1,0,0,0,0,0,0,"n"
"N98",0,0,1,0,1,0,1,"n"
"NO19",1,0,0,0,0,0,0,"n"
"NO45",1,0,0,1,0,0,0,"n"
"NO55",1,1,0,0,0,0,0,"n"
"NR35",0,0,1,1,0,0,0,"n"
"NT19",0,0,0,0,0,0,1,"n"
"NT83",1,0,0,0,0,0,0,"n"
"NX64",0,0,0,1,0,0,0,"n"
"NX74",0,0,1,1,1,1,1,"n"
"NX95",0,0,1,1,1,1,1,"n"
"NY00",1,0,0,0,0,0,0,"n"
"NY01",1,0,0,0,0,0,0,"n"
"NY55",0,0,0,1,1,1,1,"n"
"NY71",1,0,0,0,0,0,0,"n"
"O11",1,0,0,0,0,0,0,"n"
"O20",0,0,1,0,0,0,0,"n"
"O30",0,1,0,0,0,0,0,"n"
"R28",1,0,0,0,0,0,0,"n"
"R29",1,0,0,1,0,0,0,"n"
"R37",1,0,0,0,0,0,1,"n"
"R38",1,0,0,0,0,1,0,"n"
"R39",0,0,0,1,1,1,1,"n"
"R46",0,0,0,1,0,0,0,"n"
"R47",0,0,0,0,0,1,0,"n"
"R49",0,0,0,0,0,0,1,"n"
"SD38",0,0,1,0,1,1,1,"n"
"SD47",0,0,0,0,1,0,1,"n"
"SD48",1,0,0,0,0,0,0,"n"
"SD58",0,0,0,0,1,0,0,"n"
"SD59",0,0,0,1,1,0,1,"n"
"SE06",0,0,0,0,0,0,1,"a"
"SE14",0,0,0,1,1,1,1,"n"
"SE24",0,0,0,0,0,0,1,"a"
"SE26",0,0,0,1,0,0,0,
"SE50",1,0,0,0,0,0,0,"n"
"SE51",1,0,1,0,0,0,1,"n"
"SE54",1,1,1,1,1,1,1,"n"
"SE62",0,0,0,0,1,0,0,"n"
"SE64",1,0,0,0,0,0,0,"n"
"SE67",1,0,0,0,0,0,0,"n"
"SE71",0,0,0,1,1,0,0,"n"
"SE74",0,0,0,1,0,0,0,"n"
"SE75",1,0,0,0,0,0,0,"n"
"SE90",1,0,0,0,0,0,0,"n"
"SE95",0,1,0,0,0,0,0,"n"
"SH23",0,0,0,0,0,1,0,"n"
"SH29",0,0,0,0,0,0,1,"n"
"SH33",0,0,0,1,0,0,0,"n"
"SH37",1,0,1,1,1,1,1,"n"
"SH39",0,0,1,1,0,1,1,"n"
"SH48",0,0,1,1,1,1,1,"n"
"SH56",1,0,0,0,0,0,0,"n"
"SH57",1,0,1,0,1,0,1,"n"
"SJ08",0,0,0,0,0,0,1,
"SJ25",1,0,0,0,0,0,0,"n"
"SJ31",0,0,1,0,0,0,0,"n"
"SJ32",0,0,0,1,1,1,0,"n"
"SJ33",1,0,0,0,0,0,0,"n"
"SJ40",1,0,0,1,0,0,0,"n"
"SJ42",1,0,1,1,1,0,0,"n"
"SJ43",1,0,1,1,0,1,1,"n"
"SJ50",1,0,1,1,1,1,1,"n"
"SJ54",1,0,1,1,1,1,1,"n"
"SJ56",1,0,0,0,0,0,0,"n"
"SJ65",1,0,1,1,1,1,1,"n"
"SJ66",1,0,0,0,0,0,0,"n"
"SJ67",1,0,0,0,1,0,0,"n"
"SJ72",1,0,0,0,0,0,0,"n"
"SJ74",1,0,1,1,0,1,0,"n"
"SJ75",1,0,1,0,0,0,0,"n"
"SJ77",1,0,0,0,0,1,0,"n"
"SJ78",1,0,0,1,0,1,0,"n"
"SJ91",0,0,1,1,1,1,1,"n"
"SK02",1,0,1,1,0,1,0,"n"
"SK27",0,0,0,0,1,1,1,"n"
"SK65",1,1,0,0,0,0,0,"n"
"SK89",1,0,0,0,0,0,0,"n"
"SM93",0,0,0,1,1,1,1,"n"
"SN00",0,0,0,1,1,0,0,"n"
"SN01",0,0,0,0,0,0,1,"a"
"SN63",1,0,0,0,0,0,0,"n"
"SN83",0,0,0,0,1,0,1,"n"
"SO14",1,0,0,0,0,0,0,"n"
"SO22",1,0,0,1,1,1,1,"n"
"SP09",1,0,0,0,0,0,0,"n"
"SP19",1,0,0,0,0,0,0,"n"
"SP27",1,0,0,0,0,0,0,"n"
"SP28",1,0,0,0,0,0,0,"n"
"SP40",1,0,0,0,0,0,0,"n"
"SP70",1,0,0,0,0,0,0,"n"
"SP92",1,0,0,1,1,1,1,"n"
"SP93",1,0,0,0,0,0,0,"n"
"SS19",1,1,0,1,1,1,1,"n"
"SS21",1,0,0,0,0,1,1,"n"
"SS41",1,0,0,0,0,0,0,"n"
"SS43",1,0,0,0,0,0,0,"n"
"SS69",1,0,0,0,0,0,0,"n"
"SS79",0,0,0,0,0,1,0,"n"
"SS88",0,0,0,0,1,0,1,"n"
"ST43",1,1,1,1,1,1,1,"n"
"ST44",1,0,1,1,1,1,1,"n"
"ST47",1,0,0,0,0,0,0,"n"
"ST49",1,0,0,0,0,0,0,"n"
"ST54",1,0,0,1,1,1,0,"n"
"SU15",0,1,0,0,0,0,0,"n"
"SU20",1,0,1,1,1,1,0,"n"
"SU30",0,0,1,1,1,1,1,"n"
"SU31",0,0,1,1,1,1,0,"n"
"SU40",0,0,1,1,1,1,0,"n"
"SU42",1,0,0,0,0,0,0,"n"
"SU43",1,0,0,0,0,0,0,"n"
"SU72",1,0,0,0,0,0,0,"n"
"SU74",0,0,0,0,1,1,0,"n"
"SU75",1,1,1,1,1,1,1,"n"
"SU77",0,0,1,0,0,0,0,"n"
"SU78",0,0,1,0,0,0,0,"n"
"SU83",0,1,1,1,1,0,1,"n"
"SU84",0,0,0,1,1,0,0,"n"
"SU85",0,0,0,0,1,1,1,"n"
"SU89",0,0,1,0,0,0,0,"n"
"SU90",1,0,0,0,0,0,0,"n"
