"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"D21",0,1,0,0,0,0,0,"n"
"H30",0,0,0,1,0,0,0,"n"
"H32",0,0,0,0,0,1,0,
"J10",0,0,0,0,0,0,1,
"J38",0,1,0,0,0,0,0,"n"
"J46",0,1,0,0,0,0,0,"n"
"J49",0,0,0,1,0,0,0,"n"
"M87",1,0,0,0,0,0,0,"n"
"M98",1,0,0,0,0,0,0,"n"
"M99",1,0,0,0,0,0,0,"n"
"N08",1,0,0,0,0,0,0,"n"
"N40",1,0,0,0,0,0,0,
"NH53",0,0,0,0,1,0,0,
"NJ35",1,0,0,0,0,0,0,
"NJ36",1,0,0,0,0,0,0,
"NS97",1,0,0,0,0,0,0,"n"
"NT16",1,0,0,0,0,0,0,"n"
"NT26",1,0,0,0,0,0,0,"n"
"NT36",1,0,0,0,0,0,0,"n"
"NT46",1,0,0,0,0,0,0,"n"
"NU20",1,0,0,0,0,0,0,"n"
"NX91",0,0,0,1,0,1,0,"n"
"NZ10",1,0,0,0,0,0,0,"n"
"O03",1,0,0,0,0,0,0,"n"
"O24",1,1,0,0,1,0,0,"n"
"R55",1,0,0,0,0,0,0,
"R79",0,1,0,0,0,0,0,"n"
"S51",0,0,0,0,1,0,0,"n"
"SD27",0,0,0,0,0,1,0,
"SD30",0,0,0,0,0,1,0,
"SD31",0,0,0,0,0,1,0,
"SD37",0,0,0,0,0,1,1,
"SD42",0,0,0,0,1,0,0,
"SD43",0,0,0,0,1,0,0,"n"
"SD46",0,0,1,0,0,1,0,
"SD47",0,0,0,0,0,1,0,
"SD54",1,0,0,0,0,0,0,"n"
"SD60",1,0,0,0,0,0,0,"n"
"SE12",1,0,0,0,0,0,0,"n"
"SE13",0,0,0,0,1,0,0,"n"
"SE28",0,1,1,1,0,0,0,"n"
"SE29",0,0,0,0,0,1,0,
"SE30",1,0,0,0,0,0,0,
"SE35",0,0,1,0,0,0,0,"n"
"SE36",1,0,0,0,0,0,0,"n"
"SE37",1,0,0,0,0,0,0,"n"
"SE38",0,1,0,0,0,0,0,"n"
"SE55",1,0,0,0,0,0,0,"n"
"SE57",1,0,0,0,0,0,0,"n"
"SE61",0,1,0,0,0,0,1,"n"
"SE76",1,0,1,1,0,0,0,"n"
"SE77",0,0,1,0,0,0,0,
"SE88",1,0,0,0,0,0,0,"n"
"SH53",0,0,0,1,0,0,0,"n"
"SH61",0,0,1,1,0,0,0,"n"
"SH65",1,0,0,0,0,0,0,"n"
"SH67",1,0,0,0,0,0,1,
"SH70",0,0,0,0,1,0,0,
"SJ07",1,0,0,1,0,1,0,"n"
"SJ17",1,0,0,0,0,0,0,"n"
"SJ22",1,0,0,0,0,0,0,"n"
"SJ34",0,0,0,0,0,1,0,
"SJ37",1,0,0,0,0,0,0,"n"
"SJ40",1,0,0,0,0,0,0,
"SJ41",1,0,0,0,0,0,0,
"SJ44",0,0,0,1,1,0,1,"n"
"SJ45",1,0,0,0,0,0,0,"n"
"SJ46",1,0,0,0,1,1,0,"n"
"SJ47",1,0,1,0,0,0,0,"n"
"SJ48",1,0,0,0,0,0,0,
"SJ50",1,0,0,0,0,0,0,
"SJ60",1,0,0,0,0,1,1,
"SJ64",0,0,1,0,0,0,0,"n"
"SJ65",1,0,1,0,0,0,0,"n"
"SJ66",1,0,0,0,1,0,0,"n"
"SJ67",0,0,0,0,1,0,0,"n"
"SJ68",0,0,0,0,0,0,1,
"SJ69",1,0,0,0,0,0,0,
"SJ77",0,0,0,0,1,0,0,"n"
"SJ78",1,0,0,0,0,0,0,"n"
"SJ88",1,0,0,0,0,0,0,"n"
"SJ99",0,0,0,0,1,0,0,"n"
"SK31",1,0,0,0,0,0,0,"n"
"SK37",1,0,0,0,0,0,0,"n"
"SK43",0,0,0,0,0,1,1,
"SK47",0,0,0,0,1,1,1,"n"
"SK49",1,0,0,0,0,1,0,"n"
"SK50",0,0,0,0,0,0,1,
"SK70",0,0,1,0,0,1,1,"n"
"SK80",0,0,0,0,0,1,0,
"SK91",0,1,0,0,0,0,1,"n"
"SK93",1,0,1,0,0,0,0,"n"
"SN10",0,1,0,0,0,0,0,"n"
"SN14",0,0,0,1,0,0,0,"n"
"SN40",0,0,0,0,0,1,0,
"SN69",0,0,0,0,0,1,0,
"SO01",0,0,0,1,0,0,0,"n"
"SO10",0,0,0,0,1,0,0,
"SO45",1,0,0,0,0,0,0,"n"
"SO46",0,1,0,0,0,0,0,"n"
"SO55",1,0,0,0,0,0,0,"n"
"SO60",1,0,0,0,0,0,0,"n"
"SO61",0,0,0,0,0,0,1,
"SO62",1,0,0,0,0,0,0,"n"
"SO66",1,0,0,0,0,0,0,
"SO67",1,0,0,0,0,0,0,"n"
"SO70",0,1,0,0,0,0,0,
"SO71",0,0,1,1,1,0,0,"n"
"SO72",0,0,0,1,0,0,0,"n"
"SO73",1,0,0,0,0,1,0,"n"
"SO74",1,0,0,0,1,0,0,"n"
"SO75",1,0,0,0,1,0,0,"n"
"SO80",0,1,0,0,0,0,0,"n"
"SO83",1,1,0,0,0,0,0,"n"
"SO84",1,0,0,0,0,0,0,"n"
"SO85",1,0,0,0,1,0,0,"n"
"SO87",1,0,0,0,0,0,0,"n"
"SO93",0,1,0,0,0,0,0,"n"
"SO94",1,0,0,0,0,0,0,"n"
"SO95",1,0,0,0,0,0,0,"n"
"SO96",0,0,0,0,1,1,1,"n"
"SO97",1,0,1,0,0,0,0,"n"
"SP02",1,0,0,0,0,0,0,"n"
"SP03",1,0,0,0,0,0,0,"n"
"SP17",1,0,1,0,0,0,0,"n"
"SP22",0,0,1,0,0,0,0,"n"
