"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,0,0,1,1,1,"n"
"B71",0,0,1,0,0,0,0,"n"
"B72",0,0,0,0,0,1,0,
"B80",1,0,0,0,1,0,1,"n"
"B81",0,0,1,0,1,0,0,"n"
"B82",0,0,0,0,0,1,0,
"B90",0,0,0,0,1,0,1,"n"
"B91",1,0,1,0,1,0,1,"n"
"B92",0,0,1,0,1,0,1,"n"
"B93",0,0,0,0,0,0,1,
"B94",0,0,0,0,0,0,1,
"C00",0,0,0,0,0,0,1,
"C01",1,0,0,0,1,0,0,"n"
"C02",0,0,1,0,1,0,1,"n"
"C03",0,1,1,0,1,1,1,"n"
"C04",0,0,0,0,0,0,1,
"C10",0,0,0,0,0,0,1,
"C11",0,0,0,0,0,0,1,
"C12",0,0,0,0,0,1,1,
"C13",0,0,1,0,0,0,1,"n"
"C14",1,0,0,0,0,0,1,"n"
"C21",0,0,0,0,0,0,1,
"C22",0,0,1,0,0,0,0,"n"
"C23",0,0,0,0,1,1,0,"n"
"C24",1,0,1,0,1,0,1,"n"
"C31",0,0,0,0,0,0,1,
"C32",0,0,0,0,1,1,0,"n"
"C33",0,0,1,0,0,1,0,"n"
"C34",0,0,0,0,1,0,1,"n"
"C40",0,0,0,0,1,1,0,"n"
"C43",0,0,1,0,1,0,1,"n"
"C44",0,0,1,0,0,0,0,"n"
"C45",0,0,0,0,1,0,0,"n"
"C50",0,0,0,0,0,1,1,
"C51",0,0,0,0,1,0,0,"n"
"C54",0,0,1,0,1,0,1,"n"
"C60",0,0,0,0,0,0,1,
"C61",0,0,0,0,1,0,0,"n"
"C62",0,0,0,0,1,0,0,"n"
"C63",0,0,0,0,0,0,1,
"C64",1,0,0,0,0,1,0,"n"
"C70",0,0,0,1,1,1,1,"n"
"C71",0,0,0,1,1,1,1,"n"
"C72",0,0,0,0,1,1,1,"n"
"C73",0,0,0,1,0,1,1,"n"
"C80",1,0,0,1,1,0,1,"n"
"C81",0,0,0,1,1,0,1,"n"
"C82",0,0,0,0,1,0,1,"n"
"C83",1,0,0,1,0,0,0,"n"
"C91",1,0,1,0,1,0,1,"n"
"C92",0,0,1,0,1,0,0,"n"
"C93",0,0,1,0,0,0,0,"n"
"C94",0,0,1,1,1,0,1,"n"
"D01",1,0,0,1,1,0,1,"n"
"D02",0,0,0,0,0,0,1,
"D03",0,0,0,0,1,0,0,"n"
"D04",0,0,1,0,1,1,1,"n"
"D05",0,0,0,0,1,0,1,"n"
"D11",1,0,1,0,1,1,1,"n"
"D12",0,0,1,1,1,1,1,"n"
"D13",0,0,0,0,1,0,1,"n"
"D14",1,0,1,1,1,0,1,"n"
"D15",0,0,1,0,1,0,1,"n"
"D20",0,0,0,0,1,1,1,"n"
"D21",0,0,1,1,1,1,1,"n"
"D22",0,0,1,1,1,1,0,"n"
