"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C22",1,0,0,0,0,0,0,"a"
"C42",0,0,0,0,0,0,1,
"C62",0,0,0,0,0,0,1,
"C63",0,0,0,0,0,0,1,
"C71",0,0,0,0,1,0,0,"a"
"C83",0,0,0,0,0,0,1,
"G33",0,0,0,0,0,0,1,
"G69",0,0,1,0,0,0,0,"a"
"G80",0,0,0,0,0,1,1,
"H15",0,0,0,1,0,0,0,"a"
"H16",0,0,0,0,0,0,1,
"H24",0,0,0,0,1,0,0,"a"
"H33",0,0,0,0,0,1,0,
"H34",0,0,0,0,0,0,1,
"H39",0,0,0,0,0,0,1,
"H48",0,0,0,0,0,0,1,
"H67",0,1,1,0,0,0,0,"a"
"H75",0,0,0,0,0,1,0,
"H76",0,0,0,0,0,0,1,
"H77",0,0,0,0,0,0,1,
"H81",0,0,0,0,0,0,1,
"H85",1,0,0,0,1,0,0,"a"
"H87",0,0,1,0,0,1,0,
"H88",0,0,0,0,1,0,0,"a"
"H89",0,0,0,0,1,0,0,"a"
"H99",0,0,0,0,0,0,1,
"HP61",0,0,0,0,0,0,1,
"HY20",0,0,1,0,0,0,0,"a"
"HY21",1,0,0,0,0,0,0,"a"
"HY31",0,0,1,1,0,0,0,"a"
"HY40",1,0,0,0,0,0,0,"a"
"HY41",0,1,0,0,1,0,0,"a"
"HY44",1,0,1,0,0,0,0,"a"
"HY45",0,0,1,0,0,0,0,"a"
"HY50",0,0,1,0,0,0,0,"a"
"HY62",0,0,1,0,0,0,0,"a"
"HY63",1,0,0,0,0,0,0,
"HZ27",0,0,0,0,0,0,1,
"J00",0,0,0,0,0,0,1,
"J01",0,0,1,0,0,0,0,"a"
"J03",1,0,0,0,0,0,0,"a"
"J06",0,0,0,0,0,0,1,
"J14",0,0,0,0,0,0,1,
"J15",1,0,0,0,0,0,0,"a"
"J16",0,0,0,1,1,0,0,"a"
"J17",0,0,0,0,1,0,1,"a"
"J18",0,0,0,0,0,0,1,
"J19",0,0,0,0,1,0,0,"a"
"J21",0,0,1,0,0,0,0,"a"
"J25",0,0,1,0,0,0,0,"a"
"J36",0,0,0,0,0,0,1,
"J37",0,0,0,0,1,0,1,"a"
"J47",0,0,0,0,0,1,1,
"J48",0,0,0,1,0,0,0,"a"
"J49",0,0,1,0,0,0,0,"a"
"J57",0,0,0,1,0,1,0,"a"
"J58",0,0,0,0,0,0,1,
"L77",0,0,0,0,0,0,1,
"M22",0,0,0,0,0,0,1,
"M32",0,0,0,0,0,0,1,
"M40",1,0,0,0,0,0,0,"a"
"N00",0,0,0,0,0,0,1,
"N01",0,0,0,0,0,0,1,
"N04",0,0,0,0,0,0,1,
"N10",0,0,0,0,0,0,1,
"N11",0,0,0,0,0,0,1,
"N13",0,0,0,0,0,0,1,
"N43",0,0,1,0,0,0,0,"a"
"N47",0,0,0,1,0,0,0,"a"
"N48",1,0,0,0,0,0,0,"a"
"N55",1,0,0,0,0,0,0,"a"
"N86",0,0,0,0,0,0,1,
"NB54",0,0,0,0,1,0,0,"a"
"NC96",0,0,0,1,0,0,0,"a"
"ND28",1,0,0,0,0,0,0,
"ND48",0,0,0,0,0,0,1,
"ND49",0,0,1,0,0,0,0,"a"
"NF70",0,0,0,1,0,0,0,"a"
"NF75",0,0,1,0,0,0,0,"a"
"NF76",0,0,0,1,0,0,0,"a"
"NF77",0,0,0,0,0,0,1,
"NF86",0,0,0,0,1,0,0,"a"
"NG09",0,1,1,0,0,0,0,"a"
"NG20",1,0,1,0,0,0,0,"a"
"NG47",0,0,1,0,0,0,0,
"NH52",0,0,1,0,0,0,0,"a"
"NH54",0,0,1,1,0,0,1,"a"
"NH55",0,0,0,0,0,0,1,
"NH58",0,0,1,0,0,0,0,"a"
"NH64",0,1,1,1,0,0,0,"a"
"NH66",0,0,1,0,0,0,0,"a"
"NH67",0,0,1,0,0,0,0,"a"
"NH68",1,0,1,0,0,0,0,"a"
"NH69",0,0,0,1,0,0,0,"a"
"NH74",0,0,0,1,0,0,0,"a"
"NH75",0,0,1,0,0,0,1,"a"
"NH78",1,0,1,0,0,0,0,"a"
"NH79",0,0,0,0,0,1,0,
"NH84",0,0,1,0,0,0,0,"a"
"NH85",0,0,1,1,0,0,0,"a"
"NH87",0,0,1,0,0,1,1,"a"
"NH88",0,0,1,0,0,0,0,"a"
"NH92",0,0,1,0,0,0,0,"a"
"NH95",0,1,1,0,1,0,0,"a"
"NH98",0,0,0,0,0,1,0,
"NJ02",0,0,0,0,1,0,0,"a"
"NJ05",1,1,1,0,0,0,1,"a"
"NJ06",1,1,1,1,0,0,0,"a"
"NJ14",1,0,0,0,0,0,0,
"NJ15",0,0,0,1,0,0,0,
"NJ16",1,1,1,0,0,0,1,"a"
"NJ24",1,0,0,0,0,1,0,
"NJ25",1,1,0,0,0,0,0,
"NJ26",0,1,1,1,0,0,1,"a"
"NJ27",1,0,0,0,0,0,0,
"NJ36",0,1,1,1,1,0,0,"a"
"NJ46",0,0,1,1,0,0,0,"a"
"NJ51",1,0,0,0,0,0,0,"a"
"NJ53",0,0,0,0,0,0,1,
"NJ54",1,1,0,0,0,0,0,"a"
"NJ55",1,0,0,0,0,0,0,
"NJ62",0,0,0,0,0,1,1,
"NJ64",1,0,0,0,0,0,0,"a"
"NJ65",1,0,0,0,0,0,0,
"NJ66",1,1,0,0,0,0,1,"a"
"NJ71",1,0,0,0,0,0,0,"a"
"NJ72",0,0,0,0,0,1,0,
"NJ76",1,0,0,0,0,0,0,
"NJ80",0,0,0,0,0,0,1,
"NJ86",1,0,0,0,0,0,0,
"NJ90",1,0,1,0,0,1,0,"a"
"NJ92",0,0,0,0,0,0,1,
"NK03",0,0,0,0,0,0,1,
"NM04",0,0,1,0,0,0,0,"a"
"NM15",0,0,0,0,0,1,0,
"NM16",0,0,0,0,0,1,0,
"NM22",0,0,1,1,0,0,0,"a"
"NM25",0,0,0,0,0,1,0,
"NM26",0,0,0,0,0,0,1,
"NM35",1,0,1,0,0,0,0,"a"
"NM48",1,0,0,0,0,0,0,"a"
"NM55",1,0,1,0,0,0,0,"a"
"NM81",0,0,0,0,1,0,0,"a"
"NM84",1,0,1,0,0,0,0,"a"
"NN50",0,0,0,0,1,0,0,"a"
"NN74",0,0,1,0,0,0,0,"a"
"NN81",0,0,1,0,0,0,0,"a"
"NN91",0,0,0,0,0,0,1,
"NN95",0,0,1,0,1,0,0,"a"
"NO01",1,0,0,0,0,0,0,
"NO02",1,0,0,0,0,0,0,
"NO03",0,0,0,0,1,0,0,"a"
"NO04",0,0,0,0,0,0,1,
"NO10",0,1,0,1,0,0,0,"a"
"NO30",1,1,1,0,0,0,1,"a"
"NO31",1,0,0,0,0,0,0,"a"
"NO32",0,0,0,0,1,0,1,"a"
"NO33",0,0,0,0,1,0,0,"a"
"NO34",0,0,1,0,0,0,1,"a"
"NO40",1,1,0,0,0,0,0,"a"
"NO42",0,0,1,0,0,0,1,"a"
"NO45",0,0,0,1,0,0,0,"a"
"NO47",0,0,0,0,0,0,1,
"NO49",1,0,0,0,0,0,0,"a"
"NO51",0,1,1,1,0,0,0,"a"
"NO53",0,0,0,1,0,0,1,"a"
"NO54",0,0,1,0,0,0,0,"a"
"NO57",0,0,0,0,0,0,1,
"NO60",0,1,1,0,0,0,0,"a"
"NO64",0,0,1,0,0,0,0,"a"
"NO65",0,0,0,0,1,0,0,"a"
"NO66",0,0,0,0,0,0,1,
"NO69",1,1,0,0,0,0,0,"a"
