"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NO02",1,0,0,0,0,0,0,
"NO60",1,1,0,0,0,0,0,"a"
"NO61",1,1,0,0,0,0,0,"a"
"NT07",1,0,0,0,0,0,0,"a"
"NT08",1,0,0,0,0,0,0,"a"
"NT18",1,1,0,0,0,0,0,"a"
"NZ10",0,0,0,0,1,0,0,"n"
"NZ26",0,0,0,0,1,0,0,"n"
"NZ33",0,0,1,1,1,1,0,"n"
"NZ34",1,0,0,0,0,0,0,"n"
"NZ35",1,0,0,0,0,0,0,"n"
"NZ36",1,0,0,0,0,0,0,"n"
"NZ42",0,0,0,0,0,0,1,"n"
"NZ43",1,0,0,0,0,0,0,"n"
"NZ53",1,0,0,0,0,0,0,"a"
"NZ80",0,0,0,1,1,0,0,"n"
"SD31",0,0,1,0,0,0,0,"n"
"SD75",0,0,1,0,0,0,0,"n"
"SE01",0,0,1,0,0,0,0,"n"
"SE14",0,0,0,1,1,0,0,"n"
"SE25",0,0,0,0,1,0,0,"n"
"SE29",0,0,0,0,1,0,0,"n"
"SE34",0,0,1,1,1,0,1,"n"
"SE41",0,0,1,0,0,0,0,"n"
"SE44",0,0,0,1,1,0,0,"n"
"SE46",0,0,0,0,0,0,1,"n"
"SE50",0,0,0,1,1,1,0,"n"
"SE51",0,0,1,0,0,0,0,"n"
"SE58",0,1,1,1,1,1,1,"n"
"SE67",0,0,0,0,1,1,0,"n"
"SE68",1,0,1,0,0,0,0,"n"
"SE70",1,0,0,0,0,0,0,"n"
"SE74",0,0,1,0,0,0,0,"n"
"SE75",0,0,1,0,0,0,0,"n"
"SE76",0,0,1,1,0,0,1,"n"
"SE78",1,0,1,1,1,1,1,"n"
"SE83",0,0,1,1,0,0,1,"n"
"SE84",1,0,1,1,1,0,0,"n"
"SE85",0,0,1,1,1,1,1,"n"
"SE86",0,0,1,1,1,1,1,"n"
"SE87",0,0,1,1,0,0,0,"n"
"SE88",0,0,1,1,1,1,1,"n"
"SE89",0,0,1,0,1,0,0,"n"
"SE92",0,0,1,1,0,0,0,"n"
"SE93",0,0,1,1,0,0,1,"n"
"SE96",0,0,1,1,0,0,1,"n"
"SE97",0,0,1,1,0,0,1,"n"
"SE98",1,0,0,1,1,0,1,"n"
"SE99",0,0,0,1,1,0,0,"n"
"SH87",0,0,1,0,0,0,0,
"SJ16",0,0,1,1,0,0,0,"n"
"SJ17",0,0,0,0,0,0,1,"n"
"SJ26",0,0,0,1,1,0,0,"n"
"SJ30",1,0,0,0,0,0,0,"n"
"SJ50",1,0,0,0,0,0,0,"n"
"SJ60",1,0,1,1,0,1,1,"n"
"SJ71",1,0,0,0,0,0,0,"n"
"SJ76",1,0,0,0,0,0,0,"n"
"SK07",1,0,0,0,0,0,0,"n"
"SK15",1,0,1,0,0,1,1,"n"
"SK16",0,0,0,0,1,0,0,"n"
"SK17",0,0,1,1,0,0,1,"n"
"SK18",0,1,1,0,1,1,0,"n"
"SK24",0,0,0,1,0,0,0,"n"
"SK25",1,0,1,0,0,0,0,"n"
"SK26",1,0,0,1,1,1,0,"n"
"SK27",0,1,1,1,1,1,1,"n"
"SK32",1,0,0,0,0,0,0,"n"
