"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H29",0,0,0,0,0,1,0,
"H65",0,0,0,0,0,0,1,
"J26",0,0,0,0,0,0,1,
"J29",0,0,0,0,0,1,1,
"J45",1,0,0,0,0,0,0,"a"
"J48",0,0,0,0,0,0,1,
"NH98",0,0,0,0,0,0,1,
"NJ24",0,0,0,0,0,0,1,
"NJ46",0,0,1,0,0,0,0,
"NJ65",1,0,0,0,0,0,0,
"NJ66",1,0,0,0,0,0,0,
"NJ75",1,0,0,0,0,0,0,
"NJ92",0,0,0,0,0,1,0,
"NN72",0,0,0,0,1,0,0,
"NN74",0,0,1,0,0,0,0,"a"
"NN95",0,0,0,0,1,0,0,
"NO01",1,0,1,0,0,0,0,"a"
"NO02",0,0,1,0,0,0,0,"a"
"NO03",0,0,1,0,0,0,0,"a"
"NO23",0,0,1,0,0,0,0,"a"
"NO34",0,0,0,0,1,1,0,"a"
"NO45",0,0,0,0,0,0,1,
"NO65",0,1,0,0,0,1,1,"a"
"NS28",0,0,0,1,0,0,0,
"NS29",0,0,0,0,0,1,0,
"NS53",0,0,0,0,1,0,0,"a"
"NS66",1,0,0,0,0,0,0,"a"
"NS98",1,0,0,0,0,0,0,"a"
"NT18",1,0,0,0,0,0,0,"a"
"NT23",1,0,0,0,0,0,0,"a"
"NT28",1,0,0,0,0,0,1,"a"
"NT29",0,1,1,0,1,0,0,"a"
"NT50",0,0,0,0,1,1,1,"a"
"NT51",0,0,0,0,0,0,1,
"NT53",1,0,1,0,0,0,0,"a"
"NT58",0,0,1,0,0,0,0,"a"
"NT73",1,0,1,0,0,0,0,"a"
"NU11",1,0,0,0,0,0,0,"a"
"NY22",0,0,0,0,0,1,0,
"NY55",0,0,0,1,1,0,0,"a"
"NZ41",0,0,0,0,1,0,0,"a"
"NZ71",0,0,0,0,1,0,0,
"R96",0,0,0,0,0,0,1,
"SC28",0,0,0,0,1,0,0,"a"
"SC37",1,0,1,0,0,0,0,"a"
"SC38",0,0,0,0,1,0,0,"a"
"SD27",0,0,1,0,0,0,0,"a"
"SD28",0,0,1,0,0,0,0,"a"
"SD30",1,0,1,0,0,0,0,"a"
"SD32",1,0,0,0,0,0,0,"a"
"SD39",0,0,1,0,0,0,0,"a"
"SD61",1,0,0,0,0,0,0,"a"
"SE23",0,0,0,0,0,0,1,
"SE93",1,0,0,0,0,0,0,"a"
"SE96",0,0,0,0,1,0,0,"a"
"SJ22",0,1,1,0,0,0,0,"a"
"SJ23",1,0,0,0,0,0,0,
"SJ24",0,1,0,0,0,0,0,"a"
"SJ39",1,0,0,0,0,0,0,"a"
"SJ48",1,0,1,0,0,0,0,"a"
"SJ49",1,0,0,0,0,0,0,"a"
"SJ89",0,0,0,0,0,1,0,
"SK07",1,0,1,0,0,0,0,"a"
"SK22",1,0,1,0,0,0,0,"a"
"SK25",0,0,1,0,0,0,0,"a"
"SK26",1,0,0,0,0,0,0,"a"
"SK34",1,0,0,0,0,0,0,"a"
"SK43",1,0,0,0,0,0,0,"a"
"SK44",1,0,1,0,0,0,0,"a"
"SK48",0,0,0,0,0,1,0,
"SK54",0,0,0,0,0,1,0,
"SK62",0,0,0,0,1,0,0,
"SK63",0,0,0,0,0,0,1,
"SK90",1,0,0,0,0,0,0,"a"
"SK95",0,0,0,0,0,1,0,
"SN13",0,0,0,0,0,1,0,
"SN24",1,0,0,0,1,1,0,"a"
"SN33",0,0,0,0,1,0,0,"a"
"SN34",1,0,0,0,1,1,0,"a"
"SN35",0,0,0,0,1,0,0,
"SN42",0,0,0,0,1,0,0,"a"
"SN43",0,0,0,0,1,0,0,"a"
"SN44",1,0,0,0,1,1,1,"a"
"SN45",0,0,0,0,1,1,1,"a"
"SN46",1,0,0,0,0,0,0,"a"
"SN54",1,0,0,0,1,0,1,"a"
"SN55",0,0,0,0,1,0,1,"a"
"SN56",0,0,0,0,1,1,1,
"SN57",0,0,0,0,0,0,1,
"SN61",0,0,0,0,0,1,1,
"SN62",1,1,0,0,0,0,0,"a"
"SN64",0,0,0,0,1,0,0,"a"
"SN66",0,0,0,0,1,0,0,
"SN67",1,0,0,0,0,0,0,
"SN68",0,0,0,0,1,1,1,
"SN69",1,0,0,0,1,1,0,"a"
"SN73",0,0,0,0,0,1,0,
"SN76",0,0,0,0,1,0,0,
"SN78",0,0,0,0,1,0,0,"a"
"SO12",1,0,0,1,0,0,0,"a"
"SO37",0,0,0,0,0,0,1,
"SO47",1,0,0,0,0,0,0,
"SO48",1,0,0,0,0,0,0,"a"
"SO51",1,1,0,0,0,0,0,"a"
"SO67",0,0,0,0,0,0,1,
"SO76",1,0,0,0,0,0,0,
"SO79",1,0,0,0,0,0,0,
"SO84",1,1,0,0,0,1,0,
"SO85",1,0,0,0,0,0,0,
"SP05",1,0,0,0,0,0,0,
