"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G58",0,0,0,0,0,0,1,
"HP40",1,0,1,0,0,0,1,"n"
"HP50",1,0,1,1,0,0,1,"n"
"HP51",0,0,1,0,0,0,1,"n"
"HP61",0,0,1,1,0,0,1,"n"
"HT93",1,0,1,1,0,0,1,"n"
"HT94",0,0,0,1,0,0,1,"n"
"HU15",1,0,1,0,0,0,0,"n"
"HU16",0,0,1,1,0,0,0,"n"
"HU24",1,0,1,1,0,0,0,"n"
"HU25",1,0,1,1,1,0,0,"n"
"HU27",0,0,1,1,0,0,0,"n"
"HU28",0,0,1,0,0,0,1,"n"
"HU30",0,0,0,0,0,0,1,
"HU31",1,0,1,0,0,0,0,"n"
"HU32",0,0,1,0,1,0,1,"n"
"HU33",1,0,1,1,1,0,1,"n"
"HU34",1,0,1,1,1,0,0,"n"
"HU35",1,0,1,0,1,0,0,"n"
"HU36",1,0,1,1,0,0,1,"n"
"HU37",1,0,1,0,0,0,0,"n"
"HU38",1,0,1,0,0,1,0,"n"
"HU39",0,0,1,1,0,0,0,"n"
"HU40",1,0,0,0,1,0,0,"n"
"HU41",1,0,1,0,1,0,0,"n"
"HU42",1,0,1,1,0,0,1,"n"
"HU43",1,0,1,0,0,0,1,"n"
"HU44",1,0,1,1,0,0,0,"n"
"HU45",0,0,1,1,0,0,1,"n"
"HU46",0,0,0,0,1,0,1,"n"
"HU48",0,0,1,0,1,0,1,"n"
"HU49",0,0,1,1,0,0,0,"n"
"HU53",0,0,1,1,0,0,0,"n"
"HU54",1,0,1,0,1,0,1,"n"
"HU56",0,0,1,1,0,0,1,"n"
"HU57",0,0,0,0,0,0,1,
"HU58",1,0,1,0,0,0,1,"n"
"HU59",0,0,1,0,1,0,1,"n"
"HU66",1,0,0,0,0,0,0,"n"
"HU67",0,0,1,1,0,0,0,"n"
"HU68",0,0,0,0,1,0,1,"n"
"HU69",1,0,1,0,1,0,1,"n"
"HY20",1,0,0,0,0,0,0,"n"
"HY21",1,0,1,0,1,0,1,"n"
"HY22",0,0,0,0,1,0,1,"n"
"HY30",0,0,1,0,1,0,1,"n"
"HY32",0,0,1,0,0,0,0,"n"
"HY33",0,0,1,0,1,0,1,"n"
"HY34",0,0,0,0,0,0,1,
"HY43",1,0,0,0,0,0,1,"n"
"HY44",1,0,1,0,0,0,1,"n"
"HY45",1,0,1,0,0,1,1,"n"
"HY50",0,1,1,0,1,0,1,"n"
"HY51",0,0,1,1,1,1,0,"n"
"HY52",0,0,1,1,0,0,1,"n"
"HY53",1,0,1,0,0,0,1,"n"
"HY54",0,0,0,0,0,0,1,
