"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NZ16",0,0,0,0,0,1,0,
"NZ36",0,0,0,0,1,0,0,
"NZ52",0,0,0,0,1,0,0,
"S45",0,0,0,0,1,0,0,
"SO73",0,0,0,0,0,1,1,
"SO76",0,0,1,0,1,0,1,
"SO90",0,0,1,1,0,1,1,
"SP10",0,0,0,0,1,0,0,
"SP66",0,0,0,0,1,0,0,
"SS97",0,0,0,0,0,1,1,
"ST45",0,1,0,0,1,1,0,
"ST52",0,0,1,0,1,1,0,
"ST62",0,0,1,0,1,0,1,
"ST68",0,0,0,0,1,1,0,
"ST77",0,0,0,0,0,0,1,
"ST87",0,0,1,0,0,0,0,
"SU24",0,1,0,0,0,0,0,
"SU35",0,0,0,0,0,1,0,
"SU41",0,0,0,0,0,0,1,
"SU42",0,0,1,1,0,0,0,
"SU60",0,0,0,0,0,1,0,
"SU64",1,0,0,0,0,0,0,
"SU67",0,0,0,1,0,0,0,
"SU88",0,1,0,0,0,0,0,
"SX35",0,0,1,1,0,0,0,
"SY09",0,0,0,1,0,0,1,
"SY58",1,0,0,0,0,0,0,
"SY67",1,1,0,1,1,0,0,
"SY97",0,0,0,0,0,0,1,
"SZ07",1,0,0,0,0,1,1,
"TF00",0,1,0,0,0,0,0,
"TF26",0,1,0,0,0,0,0,
"TL15",0,0,1,1,0,0,0,
"TL19",0,0,0,1,0,0,0,
"TL33",1,0,0,0,0,0,0,
"TL35",1,0,0,0,0,0,0,
"TL45",0,0,0,1,0,0,0,
"TL46",1,0,0,0,0,0,0,
"TQ06",1,1,0,0,0,0,0,
"TQ14",0,0,0,0,0,0,1,
"TQ25",0,0,1,1,1,0,1,
"TQ30",0,0,0,0,1,1,1,
"TQ35",1,0,0,0,0,0,0,
"TQ66",0,0,1,0,0,0,0,
"TQ75",0,0,0,0,1,1,1,
"TQ78",0,0,1,0,0,0,0,
"TQ89",0,0,1,0,0,0,0,
"TQ99",0,0,1,0,0,0,0,
"W33",0,0,0,0,1,0,0,
