"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC80",1,0,0,0,0,0,0,"n"
"NH22",0,0,0,1,1,1,1,"n"
"NH23",0,0,0,0,1,1,0,"n"
"NH33",0,0,0,1,1,1,0,"n"
"NH45",1,0,1,1,0,0,0,"n"
"NH79",1,1,1,0,1,0,0,"n"
"NH80",1,0,1,0,0,0,0,"n"
"NH89",1,1,1,1,1,1,1,"n"
"NH90",1,0,1,1,1,1,1,"n"
"NH91",1,0,0,0,0,0,0,"n"
"NH95",1,0,0,1,1,0,1,"n"
"NH96",1,1,1,1,1,1,1,"n"
"NJ01",0,0,0,0,1,1,1,"n"
"NJ02",0,0,1,0,1,1,1,"n"
"NJ03",0,0,1,0,0,0,0,"n"
"NJ05",1,0,1,1,0,0,0,"n"
"NJ06",1,1,1,1,1,1,1,"n"
"NJ15",1,0,1,1,1,1,1,"n"
"NJ16",0,0,0,1,1,1,1,"n"
"NJ26",1,0,0,0,0,0,0,"n"
"NJ33",1,0,0,0,0,0,0,"n"
"NJ34",1,0,0,0,0,0,0,"n"
"NJ44",1,0,0,0,0,0,0,"n"
"NJ50",1,0,0,0,0,0,0,"n"
"NJ52",1,0,0,0,0,0,0,"n"
"NJ54",1,0,0,0,0,0,0,"n"
"NJ83",1,0,0,0,0,0,0,"n"
"NO01",1,0,0,0,0,0,0,"n"
"NO02",1,0,0,0,0,0,0,"n"
"NO12",1,0,0,0,0,0,0,"n"
"NO57",1,0,0,0,0,0,0,"n"
"NR88",1,0,0,0,0,0,0,"n"
