"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C62",0,0,0,0,0,0,1,
"C81",0,0,0,0,1,0,0,"a"
"C83",0,0,0,0,0,0,1,
"C91",0,0,0,0,1,0,0,"a"
"D31",0,0,0,0,1,0,1,"a"
"D40",0,0,0,1,1,0,0,"a"
"G64",0,0,0,0,0,0,1,
"G73",0,0,0,0,0,0,1,
"G83",0,0,0,0,0,0,1,
"G95",0,0,0,0,1,0,0,"a"
"H03",0,0,0,0,1,0,0,"a"
"H19",0,0,0,0,0,0,1,
"H39",0,0,0,0,1,0,0,"a"
"H41",0,0,0,0,1,0,0,"a"
"H61",0,0,0,0,0,0,1,
"H63",0,0,0,0,0,0,1,
"H65",0,0,0,0,1,0,0,"a"
"H71",0,0,0,0,0,0,1,
"H74",0,0,1,0,1,0,0,"a"
"H75",0,0,0,0,1,0,0,"a"
"H80",0,0,0,0,1,0,0,"a"
"H84",0,0,0,0,0,0,1,
"H85",0,0,0,0,1,0,0,"a"
"H88",0,0,0,0,1,0,0,"a"
"H90",0,0,0,0,0,1,0,
"H95",0,0,0,0,0,0,1,
"H99",0,0,0,0,1,0,0,"a"
"HP50",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"J04",0,0,0,0,0,1,0,
"J09",0,0,0,0,1,0,0,"a"
"J10",0,0,0,0,0,0,1,
"J11",0,0,0,0,0,0,1,
"J17",0,0,0,0,1,0,0,"a"
"J18",0,0,0,0,1,0,0,"a"
"J21",0,0,0,0,0,0,1,
"J25",0,0,0,0,1,0,0,
"J28",0,0,0,0,1,0,0,"a"
"J29",0,0,0,0,1,0,0,"a"
"J37",0,0,0,0,1,0,0,"a"
"J38",1,0,0,0,0,0,0,"a"
"J39",0,0,0,0,1,0,0,"a"
"J46",0,0,0,0,0,1,0,
"J47",1,0,0,0,0,1,1,"a"
"J48",1,0,0,1,1,0,0,"a"
"J55",0,0,0,0,1,0,0,"a"
"J58",1,0,0,0,0,0,0,"a"
"J67",0,0,0,0,0,0,1,
"L88",0,0,0,0,0,0,1,
"L98",0,0,1,0,0,0,1,"a"
"M15",0,0,0,0,0,0,1,
"M31",0,0,0,0,0,1,0,
"M32",0,0,0,0,0,0,1,
"M40",0,0,0,0,0,1,0,
"M41",0,0,0,0,0,0,1,
"M44",0,0,0,0,0,0,1,
"M46",0,0,1,0,0,0,0,"a"
"M64",0,0,0,0,1,0,0,"a"
"M86",0,0,0,0,0,0,1,
"N00",0,0,0,0,1,0,0,"a"
"N01",0,0,0,0,0,0,1,
"N11",0,0,0,0,1,0,0,"a"
"N12",0,0,0,0,1,0,0,"a"
"N23",0,0,0,0,1,0,0,"a"
"N27",0,0,0,0,1,0,0,"a"
"N33",0,0,0,0,0,0,1,
"N35",0,0,0,0,1,0,1,"a"
"N42",0,0,0,0,0,0,1,
"N50",0,0,0,0,0,1,0,
"N51",0,0,0,0,0,0,1,
"N53",0,0,0,0,0,0,1,
"N55",0,0,0,0,0,0,1,
"N63",0,0,0,0,0,0,1,
"N65",0,0,0,0,0,0,1,
"N68",0,0,0,0,1,0,0,"a"
"N71",0,0,0,0,0,0,1,
"N74",0,0,0,0,1,1,0,"a"
"N77",0,0,0,0,1,0,0,"a"
"N78",0,0,0,0,1,0,1,"a"
"N80",0,0,0,0,0,1,0,
"N81",0,0,0,0,1,0,1,"a"
"N82",0,0,0,0,1,0,0,"a"
"N85",0,0,0,0,1,1,1,"a"
"N92",0,0,0,0,0,0,1,
"N93",0,0,0,0,1,0,1,"a"
"N94",0,0,0,0,0,0,1,
"N97",0,0,1,0,0,0,0,"a"
"N99",0,0,0,0,1,0,1,"a"
"NC30",0,0,0,0,1,0,0,
"NC40",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG36",0,0,0,0,0,0,1,
"NG75",0,0,0,0,0,0,1,
"NG83",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NG90",0,0,0,0,0,0,1,
"NG91",0,0,0,0,0,0,1,
"NH19",0,0,0,1,0,0,0,
"NH30",0,0,0,0,0,0,1,
"NH36",0,0,0,0,1,0,1,"a"
"NH45",0,0,0,0,1,0,1,"a"
"NH46",0,0,0,0,1,0,0,"a"
"NH54",0,0,0,0,0,0,1,
"NH55",0,0,0,0,1,0,0,"a"
"NH59",0,0,0,0,1,0,1,"a"
"NH64",0,0,1,0,0,0,1,"a"
"NH69",0,0,0,0,0,0,1,
"NH75",0,0,0,0,0,1,0,
"NH76",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH81",0,0,0,0,0,0,1,
"NH87",0,0,0,0,1,0,1,"a"
"NH88",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NH95",0,0,0,0,1,0,0,"a"
"NJ01",0,0,0,0,1,0,0,"a"
"NJ02",0,0,0,0,0,0,1,
"NJ05",0,0,1,1,1,1,1,"a"
"NJ06",0,0,0,0,0,0,1,
"NJ13",0,0,0,0,0,1,0,
"NJ14",0,0,0,0,0,1,0,
"NJ16",0,0,0,0,1,0,1,"a"
"NJ24",0,0,0,0,0,0,1,
"NJ26",0,0,1,0,1,1,1,"a"
"NJ27",0,0,1,0,1,0,0,"a"
"NJ35",0,0,0,0,0,0,1,
"NJ36",0,0,0,0,1,1,1,"a"
"NJ45",0,0,0,0,0,1,0,
"NJ46",0,0,0,0,0,1,1,
"NN07",0,0,0,0,0,0,1,
"NN50",0,0,1,1,1,0,0,"a"
"NN95",0,0,0,0,0,0,1,
"NO01",0,0,1,0,0,0,0,"a"
"NO11",1,0,1,0,0,0,0,"a"
"NO12",1,0,0,0,0,0,1,"a"
"NO19",0,0,0,0,0,0,1,
"NO20",0,0,0,1,1,0,0,"a"
"NO21",0,0,1,0,0,0,0,"a"
"NO22",1,0,0,0,0,0,0,"a"
"NO23",0,0,0,0,1,0,0,"a"
"NO31",0,0,0,0,1,0,0,"a"
"NO33",0,0,0,0,1,0,1,"a"
"NO41",0,0,1,0,0,0,0,"a"
"NO50",0,0,0,0,1,0,0,"a"
"NO51",0,0,0,0,0,0,1,
"NO55",0,0,0,0,0,0,1,
"NO61",0,0,0,1,0,0,0,"a"
"NS27",0,0,0,0,0,1,0,
"NS28",0,0,0,1,1,0,0,"a"
"NS31",0,0,0,0,0,1,1,
"NS32",0,0,0,0,0,0,1,
"NS37",1,0,0,0,0,0,1,"a"
"NS38",0,0,0,1,1,0,1,"a"
"NS39",0,0,0,0,1,0,0,
"NS45",0,0,0,0,0,0,1,
"NS47",0,0,0,0,0,0,1,
"NS55",0,0,0,1,0,0,1,
"NS56",0,0,0,1,1,0,1,"a"
"NS57",1,0,0,1,1,0,0,"a"
"NS65",0,0,0,1,1,0,0,"a"
"NS66",0,0,0,1,1,0,1,"a"
"NS75",1,0,0,0,0,0,0,"a"
"NS76",0,0,0,0,1,0,0,"a"
"NS84",0,0,0,0,1,0,1,"a"
"NS89",0,0,0,0,0,0,1,
"NS96",0,0,0,1,0,0,0,"a"
"NS97",1,0,0,1,0,0,0,"a"
"NS98",1,0,0,1,1,1,0,"a"
"NT07",0,0,0,1,0,1,0,"a"
"NT08",0,0,0,1,0,0,0,"a"
"NT17",1,0,0,1,0,1,1,"a"
"NT18",1,1,1,0,1,0,1,"a"
"NT26",0,1,0,1,1,0,0,"a"
"NT27",0,0,1,1,1,0,1,"a"
"NT28",1,1,1,0,1,0,1,"a"
"NT29",0,0,0,0,0,0,1,
"NT35",0,0,0,0,1,0,1,"a"
"NT36",0,0,1,0,1,0,0,"a"
"NT37",1,0,1,0,1,1,1,"a"
"NT43",1,0,1,0,0,0,0,"a"
"NT44",0,0,0,1,0,0,0,
"NT46",0,0,0,0,0,0,1,
"NT47",0,0,1,1,1,0,0,"a"
"NT48",0,0,0,1,1,1,1,"a"
"NT51",0,0,0,0,0,1,1,
"NT52",0,0,0,1,0,0,0,
"NT53",1,0,1,0,0,0,0,"a"
"NT56",0,0,0,0,1,0,0,
"NT57",0,0,0,0,1,1,0,"a"
"NT58",0,0,1,0,1,0,1,"a"
"NT61",0,0,0,0,0,1,0,
"NT64",0,0,0,0,0,1,0,
"NT67",0,0,1,0,1,0,0,"a"
"NT73",0,0,0,0,0,1,1,
"NT75",1,0,1,0,0,0,1,"a"
"NT77",1,0,0,1,0,1,1,"a"
"NT82",1,0,1,0,0,0,0,"a"
"NT83",0,0,0,0,0,0,1,
"NT84",1,0,1,0,0,0,0,"a"
"NT85",1,0,1,0,0,0,0,"a"
"NT90",0,0,0,0,0,0,1,
"NT92",0,0,0,0,0,0,1,
"NT93",0,0,0,0,0,0,1,
"NT95",0,0,0,0,0,0,1,
"NT96",0,0,0,0,0,0,1,
"NU00",0,0,0,0,0,0,1,
"NU04",0,0,0,0,0,0,1,
"NU11",1,0,0,1,0,0,0,"a"
"NU20",1,0,0,0,0,0,0,"a"
"NU21",0,0,0,1,0,0,1,"a"
"NU22",0,0,0,0,0,0,1,
"NX30",0,0,0,0,1,0,0,"a"
"NX40",0,0,0,0,1,1,0,"a"
"NX65",0,0,0,0,0,0,1,
"NX74",1,0,0,0,0,0,1,"a"
"NX76",0,0,0,0,1,0,1,"a"
"NX85",0,0,0,0,0,0,1,
"NX92",0,0,0,0,0,0,1,
"NX97",0,0,0,0,0,0,1,
"NY00",0,0,0,0,0,0,1,
"NY02",0,0,0,0,0,1,0,
"NY03",1,0,0,0,0,0,1,"a"
"NY04",0,0,0,1,0,0,0,"a"
"NY13",0,0,0,0,0,0,1,
"NY14",1,0,0,0,0,0,0,"a"
"NY22",0,0,0,0,0,1,1,
"NY23",0,0,0,0,0,1,0,
"NY24",0,0,0,0,0,1,1,
"NY33",0,0,0,1,0,1,0,"a"
"NY44",0,0,0,1,1,0,0,"a"
"NY45",0,0,0,1,1,0,0,"a"
"NY46",0,0,0,1,1,0,0,"a"
"NY52",0,0,0,1,1,0,0,"a"
"NY53",0,0,0,0,0,0,1,
"NY55",0,0,0,0,0,0,1,
"NY56",0,0,0,0,0,1,0,
"NY62",0,0,0,1,0,0,0,"a"
"NY76",1,0,1,0,0,1,1,"a"
"NY92",0,0,0,0,0,1,0,
"NY96",0,0,0,0,0,1,0,
"NZ01",1,0,0,0,0,1,0,"a"
"NZ03",0,0,0,0,0,1,0,
"NZ10",1,1,1,0,1,0,1,"a"
"NZ11",0,0,0,0,1,0,1,"a"
"NZ12",0,0,0,0,0,1,0,
"NZ13",0,0,1,1,0,0,1,"a"
"NZ14",0,0,0,1,0,0,1,"a"
"NZ15",0,0,0,0,0,1,0,
"NZ16",0,0,0,0,0,1,1,
"NZ20",0,0,0,0,1,0,0,"a"
"NZ21",0,0,0,0,1,1,1,
"NZ22",0,0,1,1,0,0,0,"a"
