"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B93",0,0,1,0,0,0,1,"n"
"C83",1,1,0,0,0,0,0,"n"
"F93",0,0,0,1,0,0,0,"n"
"G13",0,0,0,0,1,0,0,"n"
"G22",0,0,0,0,0,0,1,
"G51",0,0,0,0,1,0,0,"n"
"G53",0,0,0,0,0,0,1,
"G60",0,0,0,0,0,0,1,
"G61",1,0,1,0,1,1,0,"n"
"G62",0,0,0,0,1,1,1,"n"
"G63",0,0,0,0,0,0,1,
"G70",0,0,0,0,0,0,1,
"G71",0,0,0,0,1,1,1,"n"
"G72",0,0,1,0,1,0,0,"n"
"G74",1,0,0,0,0,0,0,"n"
"G77",0,0,0,0,0,1,0,
"G80",1,0,0,0,0,1,0,"n"
"G81",0,0,0,0,0,0,1,
"G90",0,0,0,0,0,1,1,
"G94",0,0,0,0,1,1,1,"n"
"G97",0,0,0,0,0,0,1,
"H03",0,1,0,0,1,1,1,"n"
"H05",1,0,1,0,1,0,1,"n"
"H06",0,1,0,1,0,0,0,"n"
"H10",0,0,0,0,0,1,0,
"H11",0,0,0,0,0,0,1,
"H15",1,1,0,0,0,1,0,"n"
"H16",0,0,0,0,1,1,0,"n"
"H21",0,0,0,0,0,0,1,
"H24",1,1,0,0,0,0,1,"n"
"H27",0,0,1,0,0,0,0,"n"
"H30",1,0,0,0,0,1,0,"n"
"H31",0,0,0,0,1,0,0,"n"
"H32",0,1,0,1,1,0,0,"n"
"H33",0,0,0,0,1,1,0,"n"
"H42",0,1,0,1,0,1,1,"n"
"H43",0,0,1,1,0,0,0,"n"
"H44",0,0,0,0,0,0,1,
"H52",0,0,0,0,0,1,0,
"H53",0,0,0,1,0,1,1,"n"
"H55",0,0,0,0,0,1,0,
"H61",0,0,0,0,0,1,1,
"H63",0,0,0,0,0,0,1,
"H65",0,0,0,0,0,0,1,
"H67",1,0,1,0,0,0,0,"n"
"H72",0,0,0,0,0,1,0,
"H73",0,0,0,0,1,1,0,"n"
"H74",1,0,0,0,1,1,1,"n"
"H75",0,0,0,1,0,1,1,"n"
"H77",0,0,0,0,0,0,1,
"H80",0,0,0,0,1,1,1,"n"
"H81",0,0,0,0,0,1,0,
"H84",0,0,1,1,1,0,0,"n"
"H85",0,0,1,1,1,0,1,"n"
"H87",0,1,0,0,0,0,0,"n"
"H90",0,0,0,1,1,1,1,"n"
"H91",0,0,0,1,0,0,0,"n"
"H94",1,0,1,0,1,0,1,"n"
"H95",1,0,1,1,1,0,1,"n"
"H97",1,1,0,0,1,0,0,"n"
"J00",0,0,0,0,0,1,0,
"J05",1,0,0,1,0,0,1,"n"
"J06",1,0,0,1,0,1,0,"n"
"J07",1,0,0,0,0,0,0,
"J10",0,0,0,0,0,0,1,
"J16",0,0,0,1,0,0,0,"n"
"J24",0,0,1,0,0,0,0,"n"
"J29",0,0,0,1,0,1,1,"n"
"J36",1,0,0,0,0,0,0,
"J37",0,0,0,0,0,0,1,
"J44",1,0,0,0,1,0,0,
"J46",1,0,1,0,0,0,0,"n"
"J47",1,0,0,0,0,0,0,
"J49",0,0,0,1,1,0,0,"n"
"J57",1,0,0,0,0,0,0,"n"
"J66",1,0,0,0,0,0,0,"n"
"L76",0,0,1,0,0,0,0,"n"
"L77",0,0,0,0,0,0,1,
"M04",1,0,1,0,0,0,0,"n"
"M13",0,0,0,0,1,0,0,"n"
"M24",1,0,0,0,0,0,1,"n"
"M27",0,0,0,0,0,0,1,
"M32",0,0,1,0,0,0,0,"n"
"M37",0,0,0,0,0,0,1,
"M41",1,0,0,0,0,0,0,"n"
"M46",0,0,0,0,0,0,1,
"M60",1,0,0,0,0,0,0,"n"
"M61",1,0,0,0,0,0,0,"n"
"M68",0,0,0,0,0,1,0,
"M79",0,0,0,0,0,1,0,
"M80",0,0,0,0,0,0,1,
"M82",0,0,0,0,1,1,0,"n"
"M88",0,0,1,0,1,1,1,"n"
"M90",0,0,1,0,1,0,1,"n"
"M91",0,0,0,1,0,1,1,
"M92",0,0,0,0,0,1,0,
"M95",0,0,0,0,0,1,0,
"M96",1,0,0,0,0,1,0,"n"
"M98",0,0,0,0,0,1,0,
"M99",0,0,1,0,0,0,1,"n"
"N00",0,0,1,0,0,1,1,"n"
"N01",0,0,0,0,1,1,1,
"N03",0,0,0,0,0,1,1,
"N04",0,0,0,0,1,0,0,"n"
"N06",0,0,0,0,0,1,0,
"N07",1,0,0,0,0,0,0,"n"
"N09",0,0,0,1,0,0,0,
"N10",0,0,0,0,0,0,1,
"N11",0,0,0,0,0,0,1,
"N12",0,0,1,0,0,0,0,"n"
"N13",1,0,0,0,0,0,0,"n"
"N14",0,0,0,0,1,1,1,"n"
