"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H76",0,0,0,0,0,1,0,
"H97",0,0,0,0,0,0,1,
"HP50",0,0,0,0,0,0,1,
"HU31",0,0,0,0,0,0,1,
"HU43",0,0,0,0,0,0,1,
"J33",0,0,0,0,1,0,0,
"J37",0,0,0,0,0,0,1,
"N90",0,0,0,0,0,1,0,
"N92",1,0,0,0,0,0,0,"a"
"NC90",0,0,0,0,0,0,1,
"NH64",0,0,0,1,0,0,0,"a"
"NH68",0,0,0,0,0,0,1,
"NH76",0,0,0,0,0,1,0,
"NH79",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NJ06",0,0,1,0,0,0,0,"a"
"NO41",0,0,1,0,0,0,0,"a"
"NS75",0,0,0,0,0,0,1,
"NT08",1,0,0,0,0,0,0,"a"
"NT18",1,0,0,0,0,0,0,"a"
"NT27",1,0,0,0,1,0,0,"a"
"NT28",1,0,0,0,0,0,0,"a"
"NT29",0,0,1,0,0,0,0,"a"
"NT37",0,0,0,0,0,1,0,
"NT73",1,0,0,0,1,0,0,"a"
"NT85",0,0,1,0,0,0,0,"a"
"NT96",0,0,0,0,0,0,1,
"NY15",1,0,0,0,0,0,0,"a"
"NZ24",1,0,0,0,0,0,0,"a"
"NZ50",0,0,0,0,0,1,0,
"O13",1,0,0,0,0,0,0,"a"
"O17",0,0,0,0,0,0,1,
"O20",1,0,0,0,0,0,0,"a"
"R55",1,0,0,0,0,0,0,"a"
"SC49",0,0,0,0,1,0,0,
"SD30",0,0,0,0,0,1,0,
"SD31",1,0,0,0,0,0,0,"a"
"SD32",1,0,1,0,1,1,0,"a"
"SD52",0,0,1,0,0,0,1,"a"
"SD53",0,0,1,0,1,0,0,"a"
"SD62",0,0,1,0,0,0,0,"a"
"SD71",0,0,1,0,0,0,0,"a"
"SD74",0,0,0,0,0,1,0,
"SE13",0,0,0,0,1,0,1,"a"
"SE22",0,0,1,0,0,0,1,"a"
"SE23",1,0,0,0,0,0,1,"a"
"SE33",0,0,0,0,0,0,1,
"SE37",1,0,0,0,0,0,0,"a"
"SE41",0,0,0,0,0,0,1,
"SE42",0,0,0,0,0,0,1,
"SE55",0,0,1,0,1,0,0,"a"
"SE65",1,0,0,0,0,0,0,"a"
