"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H05",0,1,0,0,0,0,0,
"H13",0,1,0,0,0,0,0,
"H14",0,1,0,0,1,0,0,
"H15",0,1,0,0,0,0,0,
"H23",0,1,0,0,0,0,0,
"H24",0,1,0,0,0,0,0,
"H31",0,0,1,0,0,0,0,"n"
"H32",0,0,1,0,0,1,0,
"H42",0,1,0,0,0,0,0,
"H87",0,0,0,0,0,1,0,
"J06",1,0,0,0,0,0,0,"n"
"J07",0,0,0,1,0,0,0,"n"
"J27",0,0,0,0,0,1,0,
"J36",0,0,0,0,1,0,0,
"J55",1,0,0,0,0,0,0,"n"
"M44",0,0,0,0,1,0,0,"n"
"M69",1,0,1,0,0,0,0,"n"
"M74",0,0,0,0,0,1,0,
"N07",1,0,1,0,0,0,0,"n"
"N38",1,0,0,0,0,0,0,"n"
"N43",0,0,1,0,0,0,0,"n"
"N80",1,0,0,0,0,0,0,"n"
"N94",0,0,0,0,0,0,1,
"NO22",0,0,0,0,1,0,0,
"NO30",0,0,0,0,0,1,0,
"NO33",1,0,0,0,0,0,0,"n"
"NO40",1,1,0,0,0,0,0,"n"
"NO51",0,0,0,0,1,0,0,"n"
"NO65",0,0,0,0,0,1,0,
"NS47",0,0,0,0,0,1,0,
"NS48",1,0,0,0,0,0,0,"n"
"NS56",0,0,0,1,0,0,0,
"NS66",0,0,0,0,1,0,0,"n"
"NS67",0,0,0,0,0,1,0,
"NS98",1,0,0,0,0,0,0,"n"
"NT18",0,0,0,0,0,0,1,
"NT40",0,0,0,0,1,0,0,"n"
"NT41",0,0,0,1,1,1,0,"n"
"NT42",0,0,0,1,1,0,0,"n"
"NT51",0,0,0,0,0,0,1,
"NT63",0,0,0,0,0,1,1,
"NT64",0,0,0,0,0,1,0,
"NT71",0,0,0,0,1,0,0,"n"
"NT84",0,0,0,0,0,1,0,
"NT85",0,0,0,0,0,0,1,
"NT90",1,0,0,0,0,0,0,"n"
"NU00",0,0,0,0,0,0,1,
"NU22",1,0,0,0,0,0,0,"n"
"NX46",0,0,0,0,0,0,1,
"NY01",0,0,0,1,1,0,0,"n"
"NY02",0,0,0,1,0,0,0,"n"
"NY23",0,0,0,1,0,0,0,"n"
"NY36",0,0,0,1,0,0,0,"n"
"NY43",0,0,0,1,1,0,1,"n"
"NY55",0,0,0,0,0,1,1,
"NY60",0,0,0,0,0,0,1,
"NY61",0,1,0,0,0,0,0,"n"
"NY71",0,0,0,1,1,1,0,"n"
"NY72",1,0,0,0,0,0,0,"n"
"NY76",1,0,0,0,0,0,0,"n"
"NY86",1,0,0,0,0,0,0,"n"
"NY91",0,0,0,0,0,0,1,
"NZ04",1,0,0,0,0,0,0,"n"
"NZ09",1,0,0,0,0,0,0,"n"
"NZ10",0,0,0,0,1,0,0,"n"
"NZ12",0,0,0,0,1,0,0,"n"
"NZ16",0,0,0,0,1,0,0,"n"
"NZ18",1,0,0,0,0,0,0,"n"
"NZ20",1,0,0,0,0,0,0,"n"
"NZ21",0,0,0,0,1,0,0,"n"
"NZ23",0,1,1,0,1,0,0,"n"
"NZ24",0,0,1,0,0,0,0,"n"
"NZ25",0,1,0,0,0,0,0,
"NZ26",1,0,0,0,0,0,0,"n"
"NZ27",1,0,0,0,0,0,0,"n"
"NZ31",0,0,0,1,0,0,0,"n"
"NZ34",0,0,1,0,0,0,0,
"NZ41",0,0,0,0,1,0,0,
"NZ43",0,0,0,1,0,0,0,"n"
"NZ50",1,0,0,0,0,0,0,"n"
