"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C83",1,0,0,0,1,0,0,"a"
"C94",0,0,0,0,0,0,1,
"D05",1,0,0,0,0,0,0,"a"
"G54",0,0,0,0,0,0,1,
"G95",1,0,0,0,0,0,0,"a"
"H14",1,0,0,0,0,0,0,"a"
"H24",0,1,0,0,0,0,0,"a"
"H84",0,0,1,0,0,0,0,"a"
"H85",0,0,0,1,0,0,0,"a"
"H87",0,0,1,0,0,0,0,"a"
"H96",1,0,0,0,0,0,0,"a"
"J00",1,0,0,0,0,0,0,"a"
"J21",0,0,1,0,0,0,0,"a"
"J33",0,0,1,0,0,0,0,"a"
"J49",1,0,0,0,0,0,0,"a"
"J53",1,0,0,0,0,0,1,"a"
"J54",1,0,1,0,0,0,0,"a"
"J65",1,0,0,0,0,0,0,"a"
"J67",1,0,0,0,0,0,0,"a"
"L56",1,0,0,0,0,0,0,"a"
"L71",0,0,0,1,0,0,0,"a"
"L80",1,0,1,1,0,0,0,"a"
"L81",0,0,0,1,0,0,0,"a"
"L90",0,0,0,1,1,0,0,"a"
"M11",0,0,0,0,1,0,0,"a"
"M12",0,0,0,1,0,0,0,
"M20",0,0,0,1,1,0,0,"a"
"M21",0,0,1,1,0,0,0,"a"
"M24",1,0,0,0,0,0,0,"a"
"M31",1,0,0,0,1,0,0,"a"
"M32",1,0,0,1,0,0,0,"a"
"M90",0,0,0,1,0,0,0,"a"
"N28",0,0,0,0,0,0,1,
"N90",0,0,1,0,0,0,0,"a"
"NC80",0,0,0,1,0,0,0,"a"
"ND01",1,0,1,1,0,0,0,"a"
"NH64",1,0,1,0,0,0,0,"a"
"NH66",0,0,1,0,0,0,0,"a"
"NH74",0,0,1,0,0,0,0,
"NH75",0,0,1,0,0,1,1,"a"
"NH76",0,0,1,0,0,1,1,"a"
"NH78",0,0,0,0,0,0,1,
"NH85",0,0,0,0,0,0,1,
"NH87",0,0,1,0,0,1,1,"a"
"NH88",0,0,1,0,1,1,1,"a"
"NH89",1,0,1,0,0,0,0,"a"
"NH95",0,1,0,0,0,0,0,
"NH98",0,0,1,0,1,1,0,"a"
"NJ05",1,1,0,0,0,0,0,
"NJ06",1,1,1,0,1,1,1,"a"
"NJ14",1,0,0,0,0,0,0,
"NJ16",0,1,0,1,1,0,1,"a"
"NJ26",1,1,0,1,1,1,0,"a"
"NJ27",1,0,1,0,0,0,1,"a"
"NJ36",0,1,0,0,0,0,0,
"NJ46",0,0,1,0,0,0,0,"a"
"NJ90",1,0,0,0,0,0,0,
"NM49",1,1,1,0,0,0,0,"a"
"NO12",1,0,0,0,0,0,0,"a"
"NO19",1,0,1,0,0,0,0,"a"
"NO21",0,0,0,1,1,0,0,"a"
"NO40",0,0,1,0,1,0,1,"a"
"NO42",0,0,0,0,1,0,1,"a"
"NO43",0,0,1,1,0,0,1,"a"
"NO50",0,0,0,1,1,0,0,"a"
"NO51",0,0,0,1,1,0,0,"a"
"NO53",0,0,1,0,1,1,1,"a"
"NO60",0,0,0,1,1,1,1,"a"
"NO64",0,0,1,0,0,0,0,"a"
"NO75",0,0,0,1,0,0,0,"a"
"NO76",1,0,0,0,0,0,0,"a"
"NR78",0,0,1,0,0,0,0,"a"
"NS20",0,0,0,0,1,0,0,"a"
"NS31",0,1,0,0,0,0,0,"a"
"NS32",0,0,1,0,0,0,0,"a"
"NS36",0,0,1,0,0,0,0,
"NS47",1,0,0,0,0,0,1,"a"
"NS56",1,0,0,0,0,0,0,"a"
"NS75",1,0,0,0,0,0,0,"a"
"NS89",1,0,0,1,0,0,0,"a"
"NS97",1,0,0,0,0,0,0,"a"
"NS98",1,0,1,1,0,0,0,"a"
"NS99",1,0,0,0,0,0,0,"a"
"NT08",1,0,1,1,0,0,0,"a"
"NT17",1,0,0,0,0,0,0,"a"
"NT18",0,0,1,0,1,0,1,"a"
"NT19",0,0,1,1,0,0,0,"a"
"NT24",0,0,0,1,0,0,0,"a"
"NT26",1,0,1,0,0,0,0,"a"
"NT27",0,0,0,1,1,0,0,"a"
"NT28",0,0,1,0,1,0,0,"a"
"NT29",0,0,1,0,0,0,0,"a"
"NT36",1,0,1,0,0,0,0,"a"
"NT37",0,0,1,1,1,1,1,"a"
"NT47",0,0,0,0,1,0,0,"a"
"NT48",0,0,1,0,1,1,1,"a"
"NT53",1,0,1,0,0,0,0,"a"
"NT57",0,0,1,0,1,1,1,"a"
"NT58",0,0,1,1,1,0,1,"a"
"NT61",1,0,0,0,0,1,0,
"NT67",1,0,0,0,0,0,1,"a"
"NT68",0,0,0,0,1,0,1,"a"
"NT72",0,0,0,0,0,0,1,
"NT73",0,0,1,1,1,0,1,"a"
