"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B71",0,0,0,0,0,1,0,"n"
"C02",1,0,0,0,0,0,0,"n"
"C03",1,0,0,0,1,0,1,"n"
"C23",0,0,0,0,1,0,0,"n"
"C24",1,0,0,0,0,0,0,"n"
"C44",0,0,0,0,1,0,0,"n"
"C60",0,0,0,0,1,0,0,"n"
"C62",0,1,0,0,0,0,0,"n"
"C73",1,0,1,1,1,0,1,"n"
"C83",0,1,0,1,1,1,1,"n"
"C94",1,0,1,0,1,0,1,"n"
"F62",0,0,1,0,1,0,0,"n"
"F63",0,0,1,0,1,1,0,"n"
"F71",0,0,0,0,1,1,0,"n"
"F72",0,0,0,0,1,0,0,"n"
"F80",0,0,1,0,0,0,0,"n"
"G22",0,0,0,0,1,1,1,"n"
"G23",1,0,0,0,1,0,1,"n"
"G33",0,0,0,0,0,0,1,
"G48",1,0,0,0,0,0,0,"n"
"G53",0,0,0,0,1,0,1,"n"
"G62",1,0,1,0,1,1,1,"n"
"G63",1,0,0,0,1,1,1,"n"
"G64",0,0,1,0,1,1,1,"n"
"G65",0,0,1,0,1,0,1,"n"
"G67",0,0,1,1,0,0,0,"n"
"G74",0,0,1,0,0,0,0,"n"
"G75",1,0,1,0,1,1,1,"n"
"G86",0,0,0,0,1,0,1,"n"
"G87",0,0,0,0,1,0,0,"n"
"G95",1,0,0,0,0,0,0,"n"
"G97",0,0,1,0,1,1,0,"n"
"H05",0,0,0,1,0,0,0,"n"
"J00",1,0,0,0,0,0,0,"n"
"J11",1,0,0,0,0,0,0,"n"
"J21",1,0,0,0,1,1,0,"n"
"J33",0,0,0,0,0,0,1,"n"
"J36",0,0,0,0,0,0,1,"n"
"J37",1,0,0,0,0,0,0,"n"
"J43",0,0,0,1,1,0,0,"n"
"J44",1,0,0,0,0,0,0,"n"
"J53",1,0,1,1,1,1,1,"n"
"J54",0,0,0,1,0,0,1,"n"
"J55",1,0,1,0,0,0,1,"n"
"J56",0,0,0,0,1,1,0,"n"
"J57",0,0,0,0,0,0,1,"n"
"J58",1,0,1,1,1,1,0,"n"
"J64",0,0,1,1,1,1,1,"n"
"J66",0,0,1,1,1,1,0,"n"
"L54",0,0,1,1,1,1,1,"n"
"L55",0,0,0,0,1,0,1,"n"
"L64",0,0,0,0,1,1,1,"n"
"L68",0,0,0,0,0,0,1,"n"
"L72",0,0,0,0,1,0,0,"n"
"L73",0,0,0,0,0,0,1,"n"
"L76",0,0,1,1,1,0,0,"n"
"L77",0,0,0,1,0,0,0,"n"
"L82",0,0,0,0,1,0,1,"n"
"L89",0,0,0,1,1,0,0,"n"
"L93",0,0,0,0,1,0,0,"n"
"M18",0,0,0,0,1,0,0,"n"
"M19",0,0,0,0,1,0,0,"n"
"M21",0,0,0,0,0,1,0,"n"
"M22",1,0,0,0,0,0,0,"n"
"M31",0,0,0,0,1,0,0,"n"
"M32",1,0,1,1,1,1,1,"n"
"M41",1,0,0,0,0,0,1,"n"
"M42",1,0,1,0,0,0,0,"n"
"NF66",0,1,0,0,1,0,0,"n"
"NF67",0,0,0,0,1,1,0,"n"
"NF72",0,0,1,1,0,0,0,"n"
"NF73",0,0,0,1,1,0,0,"n"
"NF74",1,0,0,1,1,1,1,"n"
"NF75",1,1,0,1,1,1,1,"n"
"NF76",1,1,1,1,1,1,1,"n"
"NF77",0,1,1,1,1,0,1,"n"
"NF82",0,1,0,0,0,0,0,"n"
"NF84",0,0,0,0,0,1,0,"n"
"NF85",0,1,1,0,0,0,0,"n"
"NF86",0,0,0,0,0,0,1,"n"
"NF87",0,0,1,0,0,0,0,"n"
"NG20",1,0,1,0,0,0,0,"n"
"NL94",0,0,0,0,1,1,1,"n"
"NM04",0,1,1,0,1,1,1,"n"
"NM05",0,0,0,1,1,1,1,"n"
"NM15",0,1,1,0,1,1,1,"n"
"NM16",0,0,0,0,0,0,1,"n"
"NM26",0,0,0,0,1,0,0,"n"
"NM34",0,0,0,0,1,0,1,"n"
"NM39",0,1,0,0,0,0,0,"n"
"NM40",0,0,0,0,1,0,0,"n"
"NM42",1,0,1,0,0,0,0,"n"
"NM43",1,1,1,0,0,1,1,"n"
"NM46",0,1,0,1,1,1,0,"n"
"NM54",1,0,1,0,0,0,0,"n"
"NM70",0,0,0,0,1,0,0,"n"
"NM73",1,0,1,0,0,0,0,"n"
"NM83",0,0,0,0,1,0,0,"n"
"NM84",0,0,0,0,1,0,1,"n"
"NR15",0,1,1,0,0,0,0,"n"
"NR16",0,0,0,1,1,1,1,"n"
"NR25",0,0,0,1,1,0,1,"n"
"NR26",0,0,1,1,1,1,1,"n"
"NR27",0,0,0,1,1,1,0,"n"
"NR34",0,0,0,0,1,0,0,"n"
"NR35",0,1,1,0,1,0,0,"n"
"NR36",0,1,1,1,1,0,1,"n"
"NR37",0,0,0,0,1,1,1,"n"
"NR38",1,0,0,1,1,0,1,"n"
"NR39",1,1,1,1,1,0,1,"n"
"NR49",0,1,0,0,0,0,0,
"NR56",0,0,0,0,0,1,0,
"NR62",0,0,1,1,0,0,0,"n"
"NR63",0,0,1,0,1,0,1,"n"
"NR64",0,0,1,1,1,0,1,"n"
"NR65",0,0,0,0,0,0,1,"n"
"NR67",0,0,1,0,1,0,1,"n"
"NR68",0,0,0,1,0,0,1,"n"
"NR70",0,0,1,0,1,0,0,"n"
"NR72",0,0,1,0,0,0,1,"n"
"NR73",0,0,1,0,0,1,0,"n"
"NR75",0,0,1,0,1,1,1,"n"
"NR76",0,0,1,1,1,0,1,"n"
"NR77",0,0,1,0,1,0,0,"n"
"NR78",0,0,1,1,1,0,1,"n"
"NR79",0,0,0,0,1,0,0,"n"
"NR82",0,0,1,0,1,1,1,"n"
"NR83",0,0,1,1,1,1,1,"n"
"NR84",0,0,1,1,1,1,1,"n"
"NR85",0,0,0,0,0,0,1,"n"
"NR86",0,1,1,0,1,0,1,"n"
"NR89",0,0,1,0,1,1,1,"n"
"NR92",0,0,1,1,1,1,1,"n"
"NR94",0,0,0,0,1,0,1,"n"
"NR95",0,0,0,1,1,1,1,"n"
"NR96",0,0,0,1,1,0,1,"n"
"NR98",1,0,0,0,0,0,0,"n"
"NS02",1,0,1,0,0,1,0,"n"
"NS03",0,0,1,0,1,1,1,"n"
"NS04",0,0,1,1,1,1,1,"n"
"NS05",1,0,0,0,1,1,1,"n"
"NS06",0,0,0,0,1,1,1,"n"
"NS14",0,0,1,0,1,0,1,"n"
"NS15",0,0,1,1,1,1,1,"n"
"NS16",1,0,1,1,1,0,1,"n"
"NS17",1,0,0,0,0,0,0,"n"
"NS23",0,0,0,0,0,0,1,"n"
"NS24",0,0,1,0,1,0,1,"n"
"NS27",1,0,0,0,0,0,0,"n"
"NS33",0,0,0,0,1,0,1,"n"
"NS37",1,0,0,1,1,0,0,"n"
"NS47",1,0,0,1,1,0,1,"n"
"NS48",1,0,0,0,0,0,0,
"NS97",1,0,0,0,0,0,0,"n"
"NT08",1,0,0,0,0,0,0,"n"
"NT48",0,0,0,0,1,1,0,"n"
"NT58",1,0,0,0,0,0,0,"n"
"NT67",1,0,0,0,0,0,1,"n"
"NT83",0,0,0,0,0,0,1,"n"
"NU03",1,0,0,0,0,0,0,"n"
"NU04",1,0,0,0,0,0,1,"n"
"NU12",1,0,1,1,0,1,0,"n"
"NU13",1,0,1,0,0,0,0,"n"
"NU14",0,0,0,1,0,0,1,"n"
"NU20",1,0,1,1,0,0,0,"n"
"NU21",1,0,1,1,1,1,0,"n"
"NU22",1,0,1,1,1,1,1,"n"
"NU23",0,0,1,1,0,0,0,"n"
"NW95",0,0,0,1,1,0,0,"n"
"NW96",0,0,1,0,1,1,1,"n"
"NW97",0,0,0,1,1,1,1,"n"
"NX03",0,0,0,0,1,0,0,"n"
"NX04",1,0,0,1,1,1,1,"n"
"NX05",1,0,0,0,0,0,0,"n"
"NX07",0,0,1,0,1,0,1,"n"
"NX08",0,0,1,0,1,0,0,"n"
"NX13",1,0,1,0,0,0,0,"n"
"NX15",0,0,0,0,1,0,1,"n"
"NX19",0,0,1,0,1,0,0,"n"
"NX24",0,0,0,0,1,1,0,"n"
"NX25",0,0,0,0,0,1,1,"n"
"NX33",0,0,0,0,0,0,1,"n"
"NX34",0,0,0,0,1,1,1,"n"
"NX35",0,0,0,0,0,1,1,"n"
"NX43",0,0,1,0,1,0,1,"n"
"NX44",1,0,1,0,0,0,1,"n"
"NX45",0,0,1,1,1,1,1,"n"
"NX46",0,0,1,1,1,0,1,"n"
"NX54",0,0,0,1,1,0,1,"n"
"NX55",0,0,1,1,1,1,1,"n"
"NX64",0,0,1,1,1,0,1,"n"
"NX65",0,0,1,0,1,0,1,"n"
"NX74",0,0,1,1,1,1,1,"n"
"NX84",0,0,0,1,1,1,1,"n"
"NX85",0,0,1,1,1,1,1,"n"
"NX95",0,0,1,1,1,1,1,"n"
"NX96",0,0,1,0,1,0,1,"n"
"NX97",0,0,0,1,1,0,1,"n"
"NY03",0,0,0,0,0,1,0,"n"
"NY04",0,0,1,0,0,0,0,"n"
"NY05",0,0,0,0,0,1,0,"n"
"NY06",0,0,1,1,1,1,1,"n"
"NY15",0,0,1,1,1,1,1,"n"
"NY16",0,1,1,1,1,1,1,"n"
"NY25",0,0,0,1,1,0,1,"n"
"NY26",0,0,1,1,1,1,1,"n"
"NY36",0,0,1,1,1,1,1,"n"
"NZ24",1,0,0,0,0,0,0,"n"
"NZ35",1,0,0,0,0,0,0,"n"
"NZ36",1,0,0,0,0,0,0,"n"
"NZ41",1,0,0,0,0,0,0,"n"
"NZ52",0,0,1,0,1,1,1,"n"
"O14",0,0,0,0,1,0,1,"n"
"O17",0,0,1,0,0,1,0,"n"
"O18",0,0,0,0,1,0,1,"n"
"O24",0,0,0,0,1,0,0,"n"
"O25",0,0,0,0,1,0,0,"n"
"O26",0,0,0,0,1,0,0,"n"
"O30",0,0,1,0,0,0,1,"n"
"O35",1,0,0,0,0,0,0,"n"
"Q30",0,0,0,0,1,0,0,"n"
"Q40",0,0,1,0,1,1,0,"n"
"Q51",0,0,0,0,0,1,0,"n"
"Q60",0,0,0,1,0,0,0,"n"
"Q61",0,0,1,0,1,1,0,"n"
"Q70",0,0,0,0,1,0,1,"n"
"Q71",1,0,1,1,1,1,0,"n"
"Q72",0,0,1,1,1,1,1,"n"
"Q81",1,0,0,0,0,0,0,"n"
"Q83",1,0,0,0,0,0,0,"n"
"Q94",0,0,0,0,1,0,0,"n"
"Q95",0,0,0,0,0,0,1,"n"
"R04",1,0,0,0,0,0,1,"n"
"R07",1,0,1,0,0,0,0,"n"
"R15",0,0,1,0,0,0,0,"n"
"R24",0,0,0,0,0,1,0,"n"
"R25",1,0,0,0,0,0,0,"n"
"R26",0,0,0,0,1,0,0,"n"
"R35",0,0,1,0,1,1,1,"n"
"R36",0,0,0,0,1,0,0,"n"
"R45",0,0,0,0,0,1,1,"n"
"R55",1,0,0,0,1,0,0,"n"
"S40",1,0,0,0,0,0,0,"n"
"S51",1,0,0,0,1,1,1,"n"
"S60",0,0,0,1,1,1,0,"n"
"S61",0,0,1,0,1,1,1,"n"
"S62",0,0,0,0,0,0,1,"n"
"S70",0,0,0,1,1,1,1,"n"
"S71",0,0,1,0,0,1,1,"n"
"S72",0,0,0,0,0,1,0,"n"
"S80",0,0,0,0,1,1,1,"n"
"S81",1,0,1,0,1,1,1,"n"
"S90",0,0,1,1,1,1,1,"n"
"S91",0,0,0,0,0,0,1,"n"
