"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J00",0,0,0,0,0,0,1,"n"
"M10",0,0,0,1,0,0,0,"n"
"NG30",0,0,0,0,0,1,0,"n"
"NM15",0,0,0,0,1,0,0,"n"
"NR51",0,0,1,1,0,0,0,"n"
"NR62",0,0,1,0,0,0,0,"n"
"NR67",0,0,1,1,0,0,0,"n"
"NS31",0,0,0,1,0,0,0,"n"
"NT53",1,0,0,0,0,0,0,"n"
"NX19",0,0,1,0,0,0,0,"n"
"NX34",0,0,0,1,0,0,0,"n"
"NX43",0,0,1,0,0,0,0,"n"
"NX91",0,0,0,0,0,0,1,"n"
"NY03",0,0,0,0,0,0,1,"n"
"NY41",0,0,0,0,0,0,1,
"NY58",0,0,0,0,0,0,1,
"S50",1,0,0,0,0,0,0,"n"
"S60",0,0,0,0,0,1,0,"n"
"S70",0,0,0,0,0,0,1,"n"
"S71",0,0,0,0,1,0,0,"n"
"S90",0,0,0,0,1,0,0,"n"
"SH12",1,0,0,0,0,0,0,"n"
"SH27",0,0,1,0,0,1,1,"n"
"SH28",0,0,1,0,1,0,1,"n"
"SH38",0,0,1,0,0,0,0,"n"
"SH39",0,0,0,0,1,0,1,"n"
"SH46",0,0,0,0,0,0,1,"n"
"SH49",0,0,0,0,1,0,0,"n"
"SH67",0,0,0,0,1,0,0,"n"
"SJ17",0,0,0,0,0,0,1,"n"
"SJ27",0,0,0,0,0,0,1,"n"
"SJ35",0,0,0,0,0,1,0,"n"
"SM70",0,0,1,0,1,0,0,"n"
"SM72",0,0,0,1,1,0,0,"n"
"SM80",0,0,1,1,1,0,0,"n"
"SM82",0,0,1,0,0,0,0,"n"
"SN04",0,0,1,0,0,0,0,"n"
"SN14",0,0,0,0,1,1,0,"n"
"SN15",0,0,1,0,1,0,0,"n"
"SN20",0,0,0,1,1,0,0,"n"
"SN25",0,0,0,1,1,0,0,"n"
"SN35",0,0,0,0,1,0,0,"n"
"SN46",0,0,0,0,1,0,0,"n"
"SN56",0,0,0,0,1,0,0,"n"
"SN58",0,0,0,0,1,0,1,"n"
"SR99",0,0,0,0,1,0,1,"n"
"SS09",0,0,0,0,0,0,1,"n"
"SS10",0,0,1,0,1,1,1,"n"
"SS11",0,0,0,0,0,0,1,"n"
"SS14",1,0,0,1,0,0,1,"n"
"SS19",0,0,0,0,1,1,0,"n"
"SS20",0,0,1,0,1,0,1,"n"
"SS21",0,1,1,0,0,1,1,"n"
"SS22",0,0,1,1,0,0,0,"n"
"SS32",0,0,1,0,0,0,0,"n"
"SS42",0,0,0,0,0,1,0,"n"
"SS43",0,0,1,0,0,0,0,"n"
"SS44",0,0,1,0,0,0,1,"n"
"SS48",0,0,0,1,1,1,1,"n"
"SS49",0,0,0,0,1,1,0,"n"
"SS53",0,0,0,0,0,1,0,"n"
"SS54",1,0,0,0,0,1,0,"n"
"SS58",1,0,0,0,1,1,1,"n"
"SS64",1,0,0,0,0,0,0,"n"
"SS68",0,0,0,0,0,0,1,"n"
"SS69",0,0,0,0,1,0,0,"n"
"SS78",0,0,0,0,0,0,1,"n"
"SS87",0,0,0,0,0,0,1,"n"
"SS94",1,0,0,0,0,0,0,"n"
"SS96",0,0,0,0,1,0,1,"n"
"SS97",0,0,0,0,1,0,0,"n"
"ST06",0,0,0,0,1,0,0,"n"
"ST24",1,0,0,0,0,0,0,"n"
"ST25",1,0,0,0,0,0,0,"n"
"ST35",1,0,0,0,0,0,1,"n"
"SU70",0,0,0,0,0,1,0,"n"
"SU80",0,0,0,0,0,1,0,"n"
"SV80",0,0,0,0,1,1,1,"a,n"
"SV81",0,0,1,1,1,1,1,"n"
"SV90",0,0,0,0,1,1,0,"n"
"SV91",1,0,0,0,1,1,1,"n"
"SW32",1,0,1,1,1,1,1,"n"
"SW33",1,0,1,0,1,0,1,"n"
"SW42",0,0,1,1,1,0,1,"n"
"SW43",1,0,1,1,0,1,1,"n"
"SW44",0,0,0,0,0,0,1,"n"
"SW52",0,0,1,0,0,1,1,"n"
"SW53",1,0,1,1,1,1,1,"n"
"SW54",1,0,1,1,0,1,1,"n"
"SW61",1,1,1,1,1,1,1,"n"
"SW62",1,0,1,0,1,1,1,"n"
"SW64",0,0,1,1,1,1,1,"n"
"SW65",0,0,0,0,0,1,1,"n"
"SW71",1,0,1,1,1,1,1,"n"
"SW72",0,0,1,0,1,1,0,"n"
"SW73",0,0,0,1,0,0,0,"n"
"SW75",0,0,1,1,1,1,1,"n"
"SW76",0,0,0,1,0,1,1,"n"
"SW81",0,0,0,0,0,1,0,"n"
"SW82",0,0,0,0,0,1,1,"n"
"SW83",0,0,1,1,1,1,1,"n"
"SW86",1,0,1,0,1,1,1,"n"
"SW87",0,0,1,1,0,1,1,"n"
"SW93",0,0,0,1,0,1,1,"n"
"SW94",0,0,1,0,1,0,1,"n"
"SW97",0,1,1,1,0,1,1,"n"
"SW98",0,0,1,1,0,1,1,"n"
"SX03",0,0,0,0,0,1,0,"n"
"SX04",1,0,1,0,1,1,1,"n"
"SX05",1,0,0,0,0,0,1,"a,n"
"SX08",0,0,1,1,1,1,1,"n"
"SX09",0,0,0,0,1,1,0,"n"
"SX15",0,0,1,1,1,1,1,"n"
"SX19",0,0,1,0,0,1,1,"n"
"SX25",0,0,0,0,0,1,1,"n"
"SX35",1,0,0,1,1,1,1,"n"
"SX44",0,0,1,1,1,1,0,"n"
"SX45",1,0,1,0,0,1,1,"n"
"SX46",0,0,0,0,0,1,0,"n"
"SX54",1,0,0,0,1,0,0,"n"
"SX55",0,0,0,0,1,0,0,"n"
"SX63",0,0,1,1,1,1,0,"n"
"SX64",0,0,1,1,1,0,1,"n"
"SX73",0,0,1,0,1,1,1,"n"
"SX83",1,0,0,0,1,0,1,"n"
"SX84",0,0,1,0,1,0,1,"n"
"SX85",0,0,1,0,0,0,0,"n"
"SX87",0,0,0,0,1,0,0,"n"
"SX94",0,0,0,0,1,0,0,"n"
"SX95",0,0,1,0,1,0,0,"n"
"SX96",0,0,0,0,1,1,0,"n"
"SX97",0,0,1,0,1,0,0,"n"
"SX98",0,0,0,0,1,0,0,"n"
"SY07",0,0,0,0,1,1,0,"n"
"SY08",0,0,1,0,1,0,0,"n"
"SY18",0,0,0,0,1,0,0,"n"
"SY28",0,1,1,0,1,0,0,"n"
"SY39",0,0,0,1,1,0,0,"n"
"SY48",0,0,0,1,1,0,0,"n"
