"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",0,0,0,0,0,0,1,
"C83",0,1,0,0,1,0,1,"a"
"C84",0,0,0,0,1,0,1,"a"
"C94",0,0,0,0,1,0,0,"a"
"F60",0,0,1,0,1,0,0,"a"
"G62",1,0,0,0,0,0,0,"a"
"G63",1,0,0,0,1,1,1,"a"
"G64",0,0,0,0,0,1,0,
"HY31",1,0,0,0,0,0,0,"a"
"J02",1,0,0,0,0,0,0,"a"
"J03",0,1,0,0,0,0,0,"a"
"J31",0,0,0,0,0,0,1,
"J33",0,0,0,0,0,0,1,
"J48",0,0,0,0,1,1,0,"a"
"J57",0,0,0,0,0,0,1,
"L90",0,0,0,0,1,0,1,"a"
"M21",0,0,0,0,0,0,1,
"M22",0,0,0,0,0,0,1,
"M32",0,0,0,0,0,0,1,
"M82",1,0,0,0,0,0,0,"a"
"N00",0,0,0,0,0,0,1,
"N01",0,0,1,0,1,0,0,"a"
"N03",1,0,1,0,0,0,0,"a"
"N11",0,0,0,0,0,0,1,
"N12",0,0,0,0,0,0,1,
"N13",1,0,0,0,0,0,0,"a"
"N38",0,0,0,0,1,0,0,"a"
"N41",0,0,0,0,0,0,1,
"N42",0,0,0,0,0,0,1,
"N43",0,0,0,0,0,0,1,
"N44",0,0,0,0,0,0,1,
"N52",0,0,0,0,0,1,1,
"N53",0,0,0,0,0,0,1,
"N62",0,0,0,0,1,0,1,"a"
"N72",0,0,0,0,0,1,0,
"N73",0,0,0,0,0,0,1,
"N80",1,1,0,0,0,0,0,"a"
"N82",0,0,0,1,1,0,0,"a"
"N84",0,0,0,1,1,0,0,"a"
"N93",0,0,0,1,1,0,0,"a"
"N98",1,0,0,0,0,0,0,"a"
"N99",1,0,0,0,0,0,0,"a"
"NC02",0,1,1,0,0,1,1,"a"
"NH75",0,0,0,0,0,1,0,
"NH76",0,0,0,1,0,0,0,"a"
"NH87",0,0,0,1,0,1,0,"a"
"NH95",0,0,0,1,0,0,0,"a"
"NH98",0,0,1,1,0,0,0,"a"
