"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B72",0,0,0,0,0,1,0,
"C62",0,0,0,0,1,0,1,"n"
"C63",1,1,0,0,1,1,1,"n"
"C73",1,1,1,0,0,0,0,"n"
"C83",0,1,0,1,1,0,0,"n"
"D04",0,1,1,0,0,0,0,"n"
"NH75",1,0,0,0,0,0,0,
"NH85",1,0,1,1,0,0,0,"n"
"NH95",0,0,1,1,0,0,0,"n"
"NH96",0,0,1,0,0,0,0,"n"
"NJ05",0,0,1,1,0,0,0,"n"
"NJ06",0,1,1,0,1,1,1,"n"
"NJ16",0,0,1,0,0,0,0,"n"
"NJ17",0,0,1,1,0,0,0,"n"
"NJ25",0,0,0,0,0,0,1,"n"
"NJ26",1,1,1,0,1,1,1,"n"
"NJ36",0,0,0,1,1,1,1,"n"
"NO42",0,1,1,0,1,0,1,"n"
"NO60",0,0,0,0,0,0,1,"n"
"NO69",1,0,0,0,0,0,0,
"NS24",0,0,0,0,0,1,0,
"NS32",1,0,0,1,0,0,0,"n"
"NS98",1,0,0,0,0,0,0,"n"
"NT53",1,0,1,1,0,0,0,"a"
"NX15",0,0,0,1,1,0,0,"n"
"NX30",0,0,0,0,1,0,0,"n"
"NX40",0,0,1,0,1,0,0,"n"
"NY14",0,0,0,0,0,1,0,"n"
"NY82",0,0,0,0,0,1,0,"n"
"NZ11",0,0,0,0,0,1,0,
"NZ45",1,0,0,0,0,0,0,"n"
"NZ52",0,0,0,0,0,1,1,"n"
"SC39",0,0,1,0,1,0,1,"n"
"SD09",0,0,1,1,1,0,1,"n"
"SD17",0,0,0,1,0,0,0,"n"
"SD18",0,0,0,1,0,0,0,"n"
"SD20",1,0,1,1,0,1,1,"n"
"SD21",1,0,1,1,0,1,1,"n"
"SD26",0,0,0,1,1,0,1,"n"
"SD31",1,1,1,0,0,0,1,"n"
"SD48",0,0,0,0,0,0,1,
"SE04",0,0,0,0,0,1,0,"n"
"SE13",0,0,1,0,0,0,0,"a"
"SE19",1,0,0,0,0,0,0,"a"
"SE22",0,0,0,1,0,0,0,"a"
"SE37",0,0,1,0,0,0,0,"n"
"SE38",0,0,1,0,0,0,0,"n"
"SE42",0,0,0,1,1,0,0,"a"
"SE47",1,1,1,0,0,0,0,"n"
"SE48",1,0,1,0,0,0,0,"n"
"SE49",1,0,0,0,0,0,0,"n"
"SE50",0,0,0,0,0,0,1,
"SE56",0,0,1,0,0,0,0,"n"
"SE57",1,0,1,0,0,0,0,"n"
"SE60",0,0,0,0,0,0,1,"n"
"SE61",0,0,0,0,0,0,1,
"SE62",0,0,0,0,0,0,1,
"SE63",1,0,1,0,0,0,0,"n"
"SE70",0,0,0,1,0,0,1,"n"
"SE74",1,0,1,0,0,0,0,"n"
"SE80",0,0,1,1,1,1,1,"n"
"SE81",0,0,0,1,1,1,1,"n"
"SE87",1,0,1,0,0,0,1,"n"
"SE90",0,0,1,1,1,1,1,"n"
"SE91",0,0,1,1,1,1,1,"n"
"SE92",0,0,0,0,0,1,0,
"SE97",0,0,0,0,0,1,1,"n"
"SH27",0,0,0,1,1,1,0,"n"
"SH33",1,0,0,0,0,0,0,"n"
"SH36",0,0,1,1,1,1,1,"n"
"SH37",0,0,1,0,1,1,1,"n"
"SH45",1,0,0,0,0,0,1,"n"
"SH46",0,0,1,0,1,1,1,"n"
"SH50",0,0,0,1,0,0,0,"n"
"SH52",0,0,1,1,0,0,1,"n"
"SH53",1,0,1,1,0,0,0,"n"
"SH58",0,0,0,1,0,0,0,"n"
"SH61",0,0,1,1,1,0,0,"n"
"SH78",0,0,0,0,0,1,0,
"SJ07",1,0,0,0,0,0,0,"n"
"SJ08",1,0,0,1,0,0,0,"n"
"SJ28",1,0,0,0,0,0,0,"n"
"SJ31",1,0,0,1,0,0,0,"n"
"SJ32",1,0,0,0,0,0,0,"n"
"SJ39",1,0,0,0,0,0,0,"n"
"SJ40",1,0,1,0,0,0,0,"n"
"SJ42",1,0,0,0,0,0,0,"n"
"SJ50",1,0,1,0,1,0,0,"n"
"SJ51",1,0,0,0,0,0,0,"n"
"SJ53",0,0,0,1,1,0,0,"n"
"SJ55",1,0,0,0,0,0,0,"n"
"SJ60",1,0,0,0,0,0,0,"n"
"SJ61",1,0,0,0,0,0,0,"n"
"SJ74",0,0,0,1,0,0,0,"n"
"SJ78",1,0,0,0,0,0,0,"n"
"SJ80",1,0,1,1,1,0,0,"n"
"SJ90",0,0,0,0,1,0,0,"n"
"SJ91",0,0,0,1,0,0,0,"n"
"SK11",0,0,0,1,0,0,0,"n"
"SK20",0,0,0,0,1,0,0,"n"
"SK51",1,0,0,0,0,0,0,"n"
"SK55",0,0,0,0,0,1,0,"n"
"SK58",0,0,0,1,1,0,1,"n"
"SK65",0,0,0,0,0,0,1,"n"
"SK66",0,0,0,0,0,0,1,"n"
"SK67",1,0,1,1,1,1,1,"n"
"SK68",1,0,1,0,0,1,1,"n"
"SK69",1,0,1,0,0,1,1,"n"
"SK74",0,0,0,0,0,0,1,
"SK78",0,0,0,0,0,1,1,"n"
"SK79",1,0,1,1,0,0,1,"n"
"SK82",1,0,1,0,0,0,0,"n"
"SK85",1,0,1,0,0,0,0,"n"
"SK86",1,0,1,1,1,1,1,"n"
"SK87",1,1,1,0,1,1,1,"n"
"SK88",1,0,1,0,0,0,1,"n"
"SK89",1,1,1,0,1,1,1,"n"
"SK94",1,0,1,1,0,0,0,"n"
"SK96",0,0,0,0,0,1,1,"n"
"SK97",0,1,0,0,0,0,0,"n"
"SN10",1,0,0,0,0,0,0,"n"
"SN14",0,0,0,0,1,1,1,"n"
"SN30",0,1,0,1,0,0,0,"n"
"SO02",1,0,0,0,0,0,0,"a"
"SO48",1,0,0,0,0,0,0,"n"
"SO49",1,0,0,0,0,0,0,"n"
"SO73",1,1,1,1,1,1,1,"n"
"SO74",1,1,1,0,0,1,0,"n"
"SO76",0,0,0,1,0,0,0,"n"
"SO77",0,0,0,0,0,0,1,
"SO78",1,0,0,0,0,0,0,"n"
"SO79",1,0,0,0,0,0,0,"n"
"SO86",0,0,0,0,1,0,1,"n"
"SO87",1,1,1,1,1,1,1,"n"
"SO88",0,0,0,1,1,1,1,"n"
"SO93",1,0,0,0,0,0,0,"n"
"SO94",1,0,0,0,0,0,0,"n"
"SO97",0,1,0,0,0,0,0,"n"
"SO98",1,0,0,0,0,0,1,"a"
"SP04",1,0,1,0,0,0,0,"n"
"SP09",0,0,0,1,0,0,0,"n"
"SP18",1,0,0,0,0,0,0,"n"
"SP19",1,0,0,0,0,0,0,"n"
"SP40",0,0,1,0,1,0,0,"n"
"SP51",1,0,0,0,0,0,0,"n"
"SP75",1,0,0,0,0,0,0,"n"
"SP92",0,0,0,1,0,0,0,"n"
"SP93",1,0,0,0,0,0,0,"n"
"SS20",1,0,0,0,0,0,0,"n"
"SS31",0,0,0,1,0,0,0,"n"
"SS41",1,0,0,0,0,0,0,"n"
"SS43",1,0,1,1,0,0,1,"n"
"SS44",0,0,1,1,0,0,0,"n"
"SS54",1,0,0,0,0,0,0,"n"
